group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Administration	prune-packed	-n	<empty>	duplicate packed object dry run	repository with loose duplicate of packed object	local	all	git prune-packed -n	closed	git_maintenance_compat::prune_packed_matches_stock_git_for_dry_run_and_prune	short dry-run output and no-delete behavior match stock Git
Administration	prune-packed	--dry-run	<empty>	duplicate packed object dry run	repository with loose duplicate of packed object	local	all	git prune-packed --dry-run	closed	tools/git-prune-packed-schema-oracle-smoke.sh::prune_packed_dry_run_long	long dry-run output and no-delete behavior match stock Git
Administration	prune-packed	<none>	<empty>	default prune duplicate packed object	repository with loose duplicate of packed object	local	all	git prune-packed	closed	git_maintenance_compat::prune_packed_matches_stock_git_for_dry_run_and_prune	default prune removes duplicate packed loose object like stock Git
Administration	prune-packed	--quiet	<empty>	duplicate packed object quiet prune	repository with loose duplicate of packed object	local	all	git prune-packed --quiet	closed	tools/git-prune-packed-schema-oracle-smoke.sh::prune_packed_quiet_long	quiet long form prunes duplicate packed loose object with stdout, stderr, status and loose objects matching stock Git
Administration	prune-packed	-q	<empty>	duplicate packed object quiet prune	repository with loose duplicate of packed object	local	all	git prune-packed -q	closed	tools/git-prune-packed-schema-oracle-smoke.sh::prune_packed_quiet_short	quiet short form prunes duplicate packed loose object with stdout, stderr, status and loose objects matching stock Git
Administration	prune-packed	-n	<empty>	repeated dry run	repository with loose duplicate of packed object	local	all	git prune-packed -n -n	closed	tools/git-prune-packed-schema-oracle-smoke.sh::prune_packed_dry_run_short_repeated	repeated short dry-run output and no-delete behavior match stock Git
Administration	prune-packed	-q	<empty>	repeated quiet prune	repository with loose duplicate of packed object	local	all	git prune-packed -q -q	closed	tools/git-prune-packed-schema-oracle-smoke.sh::prune_packed_quiet_short_repeated	repeated short quiet form prunes duplicate packed loose object like stock Git
Administration	prune-packed	--no-dry-run	<empty>	default prune duplicate packed object	repository with loose duplicate of packed object	local	all	git prune-packed --no-dry-run	closed	tools/git-prune-packed-schema-oracle-smoke.sh::prune_packed_no_dry_run	no-dry-run prunes duplicate packed loose object like stock Git
Administration	prune-packed	--no-quiet	<empty>	default prune duplicate packed object	repository with loose duplicate of packed object	local	all	git prune-packed --no-quiet	closed	tools/git-prune-packed-schema-oracle-smoke.sh::prune_packed_no_quiet	no-quiet prunes duplicate packed loose object like stock Git
Administration	prune-packed	--dry-run	true	duplicate packed object dry run	repository with loose duplicate of packed object	local	all	git prune-packed --dry-run=true	invalid-input	tools/git-prune-packed-schema-oracle-smoke.sh::prune_packed_dry_run_long_rejects_value	stock Git rejects dry-run value with exit 129 and matching stderr
Administration	prune-packed	-n	true	duplicate packed object dry run	repository with loose duplicate of packed object	local	all	git prune-packed -n=true	invalid-input	tools/git-prune-packed-schema-oracle-smoke.sh::prune_packed_dry_run_short_rejects_value	stock Git rejects short dry-run value with exit 129 and matching stderr
Administration	prune-packed	--quiet	true	duplicate packed object quiet prune	repository with loose duplicate of packed object	local	all	git prune-packed --quiet=true	invalid-input	tools/git-prune-packed-schema-oracle-smoke.sh::prune_packed_quiet_long_rejects_value	stock Git rejects quiet value with exit 129 and matching stderr
Administration	prune-packed	-q	true	duplicate packed object quiet prune	repository with loose duplicate of packed object	local	all	git prune-packed -q=true	invalid-input	tools/git-prune-packed-schema-oracle-smoke.sh::prune_packed_quiet_short_rejects_value	stock Git rejects short quiet value with exit 129 and matching stderr
