group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Inspection and Comparison	difftool	--extcmd	sh -c printf/cat	--no-prompt pathspec	modified tracked file	local	unix	git difftool --no-prompt --extcmd <cmd> a.txt	closed	git_diff_compat::difftool_extcmd_matches_stock_git_for_worktree_and_cached_changes	worktree difftool extcmd output matches stock Git without prompting
Inspection and Comparison	difftool	--cached	<empty>	--no-prompt --extcmd pathspec	staged file plus dirty worktree	local	unix	git difftool --cached --no-prompt --extcmd <cmd> a.txt	closed	git_diff_compat::difftool_extcmd_matches_stock_git_for_worktree_and_cached_changes	cached difftool extcmd compares index content against HEAD like stock Git while ignoring later worktree edits
Inspection and Comparison	difftool	--no-prompt	<empty>	configured diff.tool and difftool.<tool>.cmd	modified tracked file	local	unix	git difftool --no-prompt a.txt	closed	git_diff_compat::difftool_uses_configured_default_tool_like_stock_git	configured default difftool command output matches stock Git without prompting
Inspection and Comparison	difftool	--tool	zmintest	--no-prompt configured difftool command	modified tracked file	local	unix	git difftool --no-prompt --tool=zmintest a.txt	closed	git_diff_compat::difftool_uses_configured_default_tool_like_stock_git	explicit configured difftool command output matches stock Git without prompting
Inspection and Comparison	difftool	-x	sh -c printf/cat	-y pathspec	modified tracked file	local	unix	git difftool -y -x <cmd> a.txt	closed	tools/git-difftool-short-alias-oracle-smoke.sh::difftool_extcmd_short_alias	short extcmd alias output, exit code, stderr and status match stock Git
Inspection and Comparison	difftool	-t	zmintest	-y configured difftool command	modified tracked file	local	unix	git difftool -y -t zmintest a.txt	closed	tools/git-difftool-short-alias-oracle-smoke.sh::difftool_tool_short_alias	short tool alias output, exit code, stderr and status match stock Git
Inspection and Comparison	difftool	-y	<empty>	configured diff.tool and difftool.<tool>.cmd	modified tracked file	local	unix	git difftool -y a.txt	closed	tools/git-difftool-short-alias-oracle-smoke.sh::difftool_no_prompt_short_alias	short no-prompt alias output, exit code, stderr and status match stock Git
Inspection and Comparison	difftool	<positional:paths>	a.txt	-y -t zmintest	modified tracked file	local	unix	git difftool -y -t zmintest a.txt	closed	tools/git-difftool-short-alias-oracle-smoke.sh::difftool_positional_path	positional path selection output, exit code, stderr and status match stock Git
Inspection and Comparison	difftool	--prompt	<empty>	-t zmintest pathspec with yes response	modified tracked file	local	unix	printf 'y\n' | git difftool --prompt -t zmintest a.txt	closed	tools/git-difftool-short-alias-oracle-smoke.sh::difftool_prompt_long	prompted launch text, configured tool output, exit code, stderr and status match stock Git
Inspection and Comparison	difftool	--tool-help	<empty>	configured diff.tool plus user-defined tool	local configured tool listing	local	unix	git difftool --tool-help	closed	git_diff_compat::difftool_additional_documented_options_match_stock_git	tool-help listing matches stock Git for built-in and configured tool names without mutating repository state
Inspection and Comparison	difftool	--gui	<empty>	-y configured diff.guitool	modified tracked file	local	unix	git difftool --gui -y a.txt	closed	git_diff_compat::difftool_additional_documented_options_match_stock_git	gui tool selection prefers configured guitool like stock Git while preserving stdout, stderr, exit status and repository status
Inspection and Comparison	difftool	--no-gui	<empty>	-y configured diff.guitool plus diff.tool	modified tracked file	local	unix	git difftool --no-gui -y a.txt	closed	git_diff_compat::difftool_additional_documented_options_match_stock_git	no-gui falls back to the non-gui configured tool like stock Git while preserving stdout, stderr, exit status and repository status
Inspection and Comparison	difftool	-g	<empty>	-y configured diff.guitool	modified tracked file	local	unix	git difftool -g -y a.txt	closed	git_diff_compat::difftool_additional_documented_options_match_stock_git	short gui alias selects the configured guitool like stock Git with matching stdout, stderr, exit status and repository status
Inspection and Comparison	difftool	--rotate-to	b.txt	-y -t zmintest	multiple modified tracked files	local	unix	git difftool --rotate-to=b.txt -y -t zmintest	closed	git_diff_compat::difftool_additional_documented_options_match_stock_git	rotate-to reorders the difftool entry sequence like stock Git while preserving configured tool output and exit status
Inspection and Comparison	difftool	--skip-to	b.txt	-y -t zmintest	multiple modified tracked files	local	unix	git difftool --skip-to=b.txt -y -t zmintest	closed	git_diff_compat::difftool_additional_documented_options_match_stock_git	skip-to starts the difftool sequence at the selected path like stock Git while preserving configured tool output and exit status
Inspection and Comparison	difftool	--trust-exit-code	<empty>	-y -t fail pathspec	modified tracked file	local	unix	git difftool -y -t fail --trust-exit-code a.txt	closed	git_diff_compat::difftool_additional_documented_options_match_stock_git	trust-exit-code propagates the failing helper into the stock fatal exit shape with matching stderr and repository status
