group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Administration	filter-branch	--msg-filter	sed s/old/new/	message rewrite filter	one-commit branch	local	all	git filter-branch -f --msg-filter 'sed s/old/new/' HEAD	closed	git_filter_branch_compat::filter_branch_msg_filter_rewrites_head_like_stock_git	rewrites HEAD message, preserves tree, and writes refs/original/refs/heads/main like stock Git
Administration	filter-branch	--tree-filter	rm -f secret.txt	tree rewrite filter	two-commit branch	local	all	git filter-branch -f --tree-filter 'rm -f secret.txt' HEAD	closed	git_filter_branch_compat::filter_branch_tree_filter_rewrites_tree_like_stock_git	rewrites HEAD tree to remove the file from every rewritten commit and leaves the worktree matching stock Git
Administration	filter-branch	--index-filter	git rm --cached -f secret.txt	index rewrite filter	two-commit branch	local	all	git filter-branch -f --index-filter 'git rm --cached -f secret.txt' HEAD	closed	git_filter_branch_compat::filter_branch_index_filter_rewrites_index_like_stock_git	rewrites the index tree without requiring a checked-out tree filter and matches stock HEAD/tree output
Administration	filter-branch	--env-filter	author environment rewrite	environment filter	one-commit branch	local	all	git filter-branch -f --env-filter 'GIT_AUTHOR_NAME=Filtered; GIT_AUTHOR_EMAIL=filtered@example.test; export GIT_AUTHOR_NAME GIT_AUTHOR_EMAIL' HEAD	closed	git_filter_branch_compat::filter_branch_env_filter_rewrites_author_like_stock_git	rewrites author name/email while preserving the tree like stock Git
Administration	filter-branch	--parent-filter	sed removes parent tokens	parent rewrite filter	two-commit branch	local	all	git filter-branch -f --parent-filter "sed 's/-p [0-9a-f]*//g'" HEAD	closed	git_filter_branch_compat::filter_branch_parent_filter_rewrites_parents_like_stock_git	rewrites the top commit with no parent and preserves the tree like stock Git
Administration	filter-branch	--subdirectory-filter	docs	subdirectory projection	two-commit branch with docs subtree	local	all	git filter-branch -f --subdirectory-filter docs HEAD	closed	git_filter_branch_compat::filter_branch_subdirectory_filter_rewrites_tree_like_stock_git	projects the docs subdirectory to repository root and drops files outside that subtree like stock Git
Administration	filter-branch	--tag-name-filter	sed s/v/release-/	tag rename with -- --all	one-tag branch	local	all	git filter-branch -f --tag-name-filter 'sed s/v/release-/' -- --all	closed	git_filter_branch_compat::filter_branch_tag_name_filter_renames_lightweight_tag_like_stock_git	renames the lightweight tag and keeps tag references matching stock Git
Administration	filter-branch	--setup	PREFIX=prep-; export PREFIX	setup plus msg-filter	one-commit branch	local	all	git filter-branch -f --setup 'PREFIX=prep-; export PREFIX' --msg-filter 'printf "%s" "$PREFIX"; cat' HEAD	closed	git_filter_branch_compat::filter_branch_setup_runs_before_filters_like_stock_git	runs setup before message filtering so rewritten commit messages match stock Git
Administration	filter-branch	-d	custom temp directory	temp directory plus msg-filter	one-commit branch	local	all	git filter-branch -f -d <temp-dir> --msg-filter cat HEAD	closed	git_filter_branch_compat::filter_branch_temp_dir_option_matches_stock_git	uses and removes the custom temporary directory while preserving stock HEAD and tree output
Administration	filter-branch	--commit-filter	git commit-tree "$@"	commit-filter passthrough	two-commit branch	local	all	git filter-branch -f --commit-filter 'GIT_COMMITTER_NAME=Filtered; export GIT_COMMITTER_NAME; git commit-tree "$@"' HEAD	closed	git_filter_branch_compat::filter_branch_commit_filter_passthrough_rewrites_like_stock_git	rewrites commits through commit-tree and matches stock HEAD plus committer identity output
Administration	filter-branch	--commit-filter	skip_commit "$@"	commit-filter skip_commit helper	three-commit branch	local	all	git filter-branch -f --commit-filter 'if test "$GIT_COMMIT" = "<middle>"; then skip_commit "$@"; else git commit-tree "$@"; fi' HEAD	closed	git_filter_branch_compat::filter_branch_commit_filter_skip_commit_matches_stock_git	skips the selected middle commit and matches stock HEAD parent and tree output
Administration	filter-branch	--state-branch	refs/heads/filter-state	initial state branch with msg-filter	two-commit branch	local	all	git filter-branch -f --state-branch refs/heads/filter-state --msg-filter cat HEAD	closed	git_filter_branch_compat::filter_branch_state_branch_initial_run_matches_stock_git	writes the state branch map and state commit subject like stock Git
Administration	filter-branch	--state-branch	refs/heads/filter-state	repeated state branch range rewrites	three-commit branch	local	all	git filter-branch -f --state-branch refs/heads/filter-state --msg-filter <filter> HEAD~1..HEAD	closed	git_filter_branch_compat::filter_branch_state_branch_repeated_run_matches_stock_git	reuses the state branch across repeated range rewrites and matches stock map, subject and state-branch commit count
Administration	filter-branch	--parent-filter	bad token output	parent filter emits a non-parent token	two-commit branch	local	all	git filter-branch -f --parent-filter 'printf bad' HEAD	closed	git_filter_branch_parent_filter_compat::filter_branch_parent_filter_bad_token_matches_stock_git	matches stock Git exit 1 after printing rewrite progress and commit-tree diagnostics while leaving HEAD unchanged and no original ref
Administration	filter-branch	--force	<empty>	--original refs/backup --msg-filter cat HEAD	one-commit branch	local	all	git filter-branch --force --original refs/backup --msg-filter cat HEAD	closed	tools/git-filter-branch-schema-extra-oracle-smoke.sh::filter_branch_force_original_head	long force spelling rewrites HEAD with stock stdout, stderr, exit code, backup ref, log, tree and status
Administration	filter-branch	--original	refs/backup	--force --msg-filter cat HEAD	one-commit branch	local	all	git filter-branch --force --original refs/backup --msg-filter cat HEAD	closed	tools/git-filter-branch-schema-extra-oracle-smoke.sh::filter_branch_force_original_head	custom original backup namespace matches stock refs/backup side effect with exact stdout, stderr and exit code
Administration	filter-branch	<positional:revs>	HEAD	--force --original refs/backup --msg-filter cat	one-commit branch	local	all	git filter-branch --force --original refs/backup --msg-filter cat HEAD	closed	tools/git-filter-branch-schema-extra-oracle-smoke.sh::filter_branch_force_original_head	positional HEAD revision selection rewrites the selected branch like stock Git with matching refs and tree
