area	command	mode	input_state	expected_behavior	status	evidence	notes
selector	zmin hooks run pre-commit --staged --list	list	added file in index	lists "A <path>"	verified	git_admin_tools_compat::managed_hooks_run_staged_list_uses_index_backed_selector	index-backed selector required before parser expansion
selector	zmin hooks run pre-commit --staged --list	list	modified file staged and unstaged edit exists	lists staged path once; ignores unstaged-only content	verified	git_admin_tools_compat::managed_hooks_run_staged_list_uses_index_backed_selector	selection must compare HEAD to index, not worktree
selector	zmin hooks run pre-commit --staged --list	list	renamed file staged	lists "R <old> -> <new>" and command mode uses <new>	verified	git_admin_tools_compat::managed_hooks_run_staged_list_uses_index_backed_selector	rename destination is the executable argument
selector	zmin hooks run pre-commit --staged --list	list	deleted file staged	lists "D <path>" and command mode omits it	verified	git_admin_tools_compat::managed_hooks_run_staged_list_uses_index_backed_selector	deleted paths are visible but not executable by default
selector	zmin hooks run pre-commit --staged --list	list	type change staged	lists changed destination when executable as a file	verified	git_admin_tools_compat::managed_hooks_run_staged_type_change_lists_destination_and_executes_only_file_targets	list output keeps both staged destinations visible while command mode executes only regular-file targets
selector	zmin hooks run pre-commit --staged --list	list	no staged changes	exits 0 with no selected executable paths	verified	git_admin_tools_compat::managed_hooks_run_staged_list_uses_index_backed_selector	no-op is deterministic and script-friendly
filter	zmin hooks run pre-commit --staged --ext rs,ts --list	list	mixed staged extensions	lists only .rs and .ts executable paths	verified	git_admin_tools_compat::managed_hooks_run_staged_ext_list_and_execution_use_selected_paths	extension filter applies before list output is rendered
filter	zmin hooks run pre-commit --staged --list -- <pathspec>...	list	staged files inside and outside pathspec	lists only pathspec matches	verified	git_admin_tools_compat::managed_hooks_run_staged_pathspec_filters_list_dry_run_and_execution	pathspec filters reuse repository pathspec matching on staged destination paths
execution	zmin hooks run pre-commit --staged -- command	exec	added and modified files	runs command with selected paths appended	verified	git_admin_tools_compat::managed_hooks_run_staged_ext_list_and_execution_use_selected_paths	child process receives only selected staged executable paths
execution	zmin hooks run pre-commit --staged -- command	exec	command exits 7	zmin exits 7	verified	git_admin_tools_compat::managed_hooks_run_staged_dry_run_and_exit_code_match_command_mode_contract	exit-code propagation is required for hook correctness
execution	zmin hooks run pre-commit --staged -- command	exec	no staged executable files	exits 0 and does not run command	verified	git_admin_tools_compat::managed_hooks_run_staged_dry_run_and_exit_code_match_command_mode_contract	prevents expensive whole-project fallback
execution	zmin hooks run pre-commit --staged --dry-run -- command	dry-run	selected staged files	prints command plus selected args; does not execute	verified	git_admin_tools_compat::managed_hooks_run_staged_dry_run_and_exit_code_match_command_mode_contract	dry-run shares selector semantics with exec mode
execution	zmin hooks run pre-commit --staged -- <pathspec>... -- command	exec	selected staged files outside pathspec	exits 0 and does not run command when no executable path remains	verified	git_admin_tools_compat::managed_hooks_run_staged_pathspec_filters_list_dry_run_and_execution	nested `--` splits pathspecs from the real command while keeping the existing no-op contract
execution	zmin hooks run pre-commit --staged --dry-run -- <pathspec>... -- command	dry-run	selected staged files outside pathspec	prints "would not run: no staged executable paths selected"	verified	git_admin_tools_compat::managed_hooks_run_staged_pathspec_filters_list_dry_run_and_execution	dry-run shares pathspec filtering with exec mode
managed-hooks	zmin hooks add --staged-runner --ext rs,ts pre-commit -- sh capture-hook.sh	run-wrapper	managed wrapper installed	wrapper stores runner config, commit-time pre-commit execution selects only staged matching paths, and remove cleans config plus hook file	verified	git_admin_tools_compat::managed_hooks_staged_runner_wrapper_integrates_with_pre_commit_workflow	manual hooks stay protected unless force is explicit
platform	zmin hooks run pre-commit --staged --list	list	Windows-style filesystem paths	output uses repo-relative slash paths	verified	cli::commands::admin_impl::tests::managed_hook_render_uses_normalized_repo_relative_slash_paths	stable output across platforms
scope	zmin hooks run pre-commit --staged	extension	stock Git comparison requested	classified as Zmin-only extension, not Git 2.47.1 parity	verified	docs/cli/zmin_extensions_inventory.md	keeps compatibility denominator clean
