group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	for-each-ref	<none>	<empty>	<none>	heads tags blobs trees refs	local	all	git for-each-ref	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	default ref listing matches stock Git
Plumbing Commands	for-each-ref	<pattern>	refs/heads	<none>	multiple branch refs	local	all	git for-each-ref refs/heads	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	ref pattern limiting matches stock Git
Plumbing Commands	for-each-ref	--format	refname/objectname/objecttype/subject	multiple patterns	mixed object refs	local	all	git for-each-ref --format=%(refname) %(objectname) %(objecttype) %(subject) refs/blobs refs/heads refs/tags refs/trees	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	common format atoms across mixed refs match stock Git
Plumbing Commands	for-each-ref	--sort	objectsize	--format objectsize/refname:short	mixed object refs	local	all	git for-each-ref --sort=objectsize --format=%(objectsize)|%(refname:short) refs/blobs refs/heads refs/tags refs/trees	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	objectsize sort key and atom match stock Git
Plumbing Commands	for-each-ref	--sort	refname	--format refname:short/objecttype/objectsize	mixed object refs	local	all	git for-each-ref --sort=refname --format=%(refname:short)|%(objecttype)|%(objectsize) refs/blobs refs/heads refs/tags refs/trees	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	refname sort with short refname and object atoms matches stock Git
Plumbing Commands	for-each-ref	--sort	-refname	--format refname:short	heads and tags	local	all	git for-each-ref --sort=-refname --format=%(refname:short) refs/heads refs/tags	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	descending refname sort matches stock Git
Plumbing Commands	for-each-ref	--sort	refname:lstrip=2	--format lstrip/rstrip variants	heads and tags	local	all	git for-each-ref --sort=refname:lstrip=2 --format=%(refname:lstrip=0)|%(refname:lstrip=1)|%(refname:lstrip=2)|%(refname:lstrip=-1)|%(refname:rstrip=0)|%(refname:rstrip=1)|%(refname:rstrip=2)|%(refname:rstrip=-1) refs/heads refs/tags	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	refname strip format atoms and sort key match stock Git
Plumbing Commands	for-each-ref	--sort	refname:rstrip=1	--format refname	heads and tags	local	all	git for-each-ref --sort=refname:rstrip=1 --format=%(refname) refs/heads refs/tags	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	refname rstrip sort key matches stock Git
Plumbing Commands	for-each-ref	--sort	objecttype then -subject	--format objecttype/subject/refname:short	heads and tags	local	all	git for-each-ref --sort=objecttype --sort=-subject --format=%(objecttype) %(subject) %(refname:short) refs/heads refs/tags	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	repeated sort keys and descending subject sort match stock Git
Plumbing Commands	for-each-ref	--format	objectname:short=4	<none>	refs with ambiguous-safe object ids	local	all	git for-each-ref --format=%(objectname:short=4)	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	objectname short length 4 matches stock Git
Plumbing Commands	for-each-ref	--format	objectname:short=12	refname:short combination	refs with ambiguous-safe object ids	local	all	git for-each-ref --format=%(refname:short) %(objectname:short=12)	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	objectname short length 12 in combined format matches stock Git
Plumbing Commands	for-each-ref	--format	objectname:short=40	<none>	refs with full object ids	local	all	git for-each-ref --format=%(objectname:short=40)	closed	git_for_each_ref_compat::for_each_ref_matches_stock_git_for_common_formats	objectname short length 40 matches stock Git
Plumbing Commands	for-each-ref	--format	objectname:short=0	refs/heads	invalid format atom value	local	all	git for-each-ref --format=%(objectname:short=0) refs/heads	invalid-input	git_for_each_ref_compat::for_each_ref_objectname_short_invalid_lengths_match_stock_git	invalid zero objectname abbreviation diagnostic matches stock Git
Plumbing Commands	for-each-ref	--format	objectname:short=abc	refs/heads	invalid format atom value	local	all	git for-each-ref --format=%(objectname:short=abc) refs/heads	invalid-input	git_for_each_ref_compat::for_each_ref_objectname_short_invalid_lengths_match_stock_git	invalid nonnumeric objectname abbreviation diagnostic matches stock Git
Plumbing Commands	for-each-ref	--format	objectname:short=-1	refs/heads	invalid format atom value	local	all	git for-each-ref --format=%(objectname:short=-1) refs/heads	invalid-input	git_for_each_ref_compat::for_each_ref_objectname_short_invalid_lengths_match_stock_git	invalid negative objectname abbreviation diagnostic matches stock Git
Plumbing Commands	for-each-ref	--format	objectname:short=	refs/heads	invalid format atom value	local	all	git for-each-ref --format=%(objectname:short=) refs/heads	invalid-input	git_for_each_ref_compat::for_each_ref_objectname_short_invalid_lengths_match_stock_git	empty objectname abbreviation diagnostic matches stock Git
Plumbing Commands	for-each-ref	--format	refname:lstrip=abc	refs/heads	invalid format atom value	local	all	git for-each-ref --format=%(refname:lstrip=abc) refs/heads	invalid-input	git_for_each_ref_compat::for_each_ref_refname_strip_invalid_values_match_stock_git	invalid lstrip format value diagnostic matches stock Git
Plumbing Commands	for-each-ref	--format	refname:lstrip=	refs/heads	invalid format atom value	local	all	git for-each-ref --format=%(refname:lstrip=) refs/heads	invalid-input	git_for_each_ref_compat::for_each_ref_refname_strip_invalid_values_match_stock_git	empty lstrip format value diagnostic matches stock Git
Plumbing Commands	for-each-ref	--format	refname:rstrip=abc	refs/heads	invalid format atom value	local	all	git for-each-ref --format=%(refname:rstrip=abc) refs/heads	invalid-input	git_for_each_ref_compat::for_each_ref_refname_strip_invalid_values_match_stock_git	invalid rstrip format value diagnostic matches stock Git
Plumbing Commands	for-each-ref	--format	refname:rstrip=	refs/heads	invalid format atom value	local	all	git for-each-ref --format=%(refname:rstrip=) refs/heads	invalid-input	git_for_each_ref_compat::for_each_ref_refname_strip_invalid_values_match_stock_git	empty rstrip format value diagnostic matches stock Git
Plumbing Commands	for-each-ref	--sort	refname:lstrip=abc	--format refname refs/heads	invalid sort key value	local	all	git for-each-ref --sort=refname:lstrip=abc --format=%(refname) refs/heads	invalid-input	git_for_each_ref_compat::for_each_ref_refname_strip_invalid_values_match_stock_git	invalid lstrip sort value diagnostic matches stock Git
Plumbing Commands	for-each-ref	--sort	refname:rstrip=abc	--format refname refs/heads	invalid sort key value	local	all	git for-each-ref --sort=refname:rstrip=abc --format=%(refname) refs/heads	invalid-input	git_for_each_ref_compat::for_each_ref_refname_strip_invalid_values_match_stock_git	invalid rstrip sort value diagnostic matches stock Git
Plumbing Commands	for-each-ref	--format	author identity and date modes	refs/heads	commit ref with author timezone	local	all	git for-each-ref --format=%(refname:short)|%(authorname)|%(authoremail)|%(authordate)|%(authordate:unix)|%(authordate:raw)|%(authordate:iso)|%(authordate:iso-strict)|%(authordate:rfc)|%(authordate:rfc2822)|%(authordate:short) refs/heads	closed	git_for_each_ref_compat::for_each_ref_date_atoms_match_stock_git	author identity and documented date formats for commit refs match stock Git
Plumbing Commands	for-each-ref	--format	committer date modes	refs/heads	commit ref with committer timezone	local	all	git for-each-ref --format=%(refname:short)|%(committerdate)|%(committerdate:unix)|%(committerdate:raw)|%(committerdate:iso)|%(committerdate:iso-strict)|%(committerdate:rfc)|%(committerdate:rfc2822)|%(committerdate:short) refs/heads	closed	git_for_each_ref_compat::for_each_ref_date_atoms_match_stock_git	committer date formats for commit refs match stock Git
Plumbing Commands	for-each-ref	--format	committer identity	refs/heads refs/tags	commit and annotated tag refs	local	all	git for-each-ref --format=%(refname:short)|%(committername)|%(committeremail) refs/heads refs/tags	closed	git_for_each_ref_compat::for_each_ref_date_atoms_match_stock_git	committer identity atoms and empty tag behavior match stock Git
Plumbing Commands	for-each-ref	--format	tagger date modes	refs/tags	annotated tag with tagger timezone	local	all	git for-each-ref --format=%(refname:short)|%(taggerdate)|%(taggerdate:unix)|%(taggerdate:raw)|%(taggerdate:iso)|%(taggerdate:iso-strict)|%(taggerdate:rfc)|%(taggerdate:rfc2822)|%(taggerdate:short) refs/tags	closed	git_for_each_ref_compat::for_each_ref_date_atoms_match_stock_git	tagger date formats for annotated tags match stock Git
Plumbing Commands	for-each-ref	--format	tagger identity	refs/heads refs/tags	commit and annotated tag refs	local	all	git for-each-ref --format=%(refname:short)|%(taggername)|%(taggeremail) refs/heads refs/tags	closed	git_for_each_ref_compat::for_each_ref_date_atoms_match_stock_git	tagger identity atoms and empty commit behavior match stock Git
Plumbing Commands	for-each-ref	--format	author atoms on tag refs	refs/tags	annotated tag refs	local	all	git for-each-ref --format=%(refname:short)|%(authorname)|%(authoremail)|%(authordate)|%(authordate:unix)|%(authordate:raw)|%(authordate:iso)|%(authordate:iso-strict)|%(authordate:rfc)|%(authordate:rfc2822)|%(authordate:short) refs/tags	closed	git_for_each_ref_compat::for_each_ref_date_atoms_match_stock_git	author atoms for tag refs match stock Git empty-field behavior
Plumbing Commands	for-each-ref	--format	creator identity and date modes	refs/heads refs/tags	commit and annotated tag refs	local	all	git for-each-ref --format=%(refname:short)|%(creator)|%(creatordate)|%(creatordate:unix)|%(creatordate:raw)|%(creatordate:iso)|%(creatordate:iso-strict)|%(creatordate:rfc)|%(creatordate:rfc2822)|%(creatordate:short) refs/heads refs/tags	closed	git_for_each_ref_compat::for_each_ref_date_atoms_match_stock_git	creator identity/date source selection for commits and tags matches stock Git
Plumbing Commands	for-each-ref	--format	upstream tracking atoms	refs/heads	branch with upstream equal to remote-tracking ref	local	all	git for-each-ref --format=%(refname)%00%(objectname)%00%(upstream)%00%(upstream:short)%00%(upstream:track)%00%(upstream:trackshort)%00%(HEAD)%00%(committerdate:unix) refs/heads	closed	git_refs_compat::for_each_ref_upstream_atoms_match_stock_git	upstream, tracking, HEAD and committerdate atoms match stock Git for tracking branch
Plumbing Commands	for-each-ref	--format	upstream tracking atoms	refs/heads	branch ahead of upstream	local	all	git for-each-ref --format=%(refname)%00%(objectname)%00%(upstream)%00%(upstream:short)%00%(upstream:track)%00%(upstream:trackshort)%00%(HEAD)%00%(committerdate:unix) refs/heads	closed	git_refs_compat::for_each_ref_upstream_atoms_match_stock_git	upstream track and trackshort atoms match stock Git for ahead branch
Plumbing Commands	for-each-ref	--format	upstream tracking atoms	refs/heads	missing upstream ref	local	all	git for-each-ref --format=%(refname)%00%(objectname)%00%(upstream)%00%(upstream:short)%00%(upstream:track)%00%(upstream:trackshort)%00%(HEAD)%00%(committerdate:unix) refs/heads	closed	git_refs_compat::for_each_ref_upstream_atoms_match_stock_git	upstream atoms match stock Git when configured upstream ref is missing
Plumbing Commands	for-each-ref	<none>	<empty>	<none>	bare clone refs	local	all	git for-each-ref	closed	git_transport_local_compat::for_each_ref_in_bare_clone_reads_bare_refs_like_stock_git	bare repository ref listing matches stock Git
Plumbing Commands	for-each-ref	--format	bad atom	refs/heads	invalid format atom	local	all	git for-each-ref --format %(bad) refs/heads	invalid-input	git_cli_failure_compat::invalid_option_combinations_match_stock_git_failures	bad format atom failure shape matches stock Git
