group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	check-ignore	<none>	<empty>	mixed path arguments	ignored and non-ignored files in worktree	local	all	git check-ignore target/a src/debug.log keep.txt	closed	git_check_ignore_compat::check_ignore_matches_stock_git_for_common_modes	prints ignored paths only and exits like stock Git
Plumbing Commands	check-ignore	<positional:paths>	1..	mixed path arguments	ignored and non-ignored files in worktree	local	all	git check-ignore target/a src/debug.log keep.txt	closed	git_check_ignore_compat::check_ignore_matches_stock_git_for_common_modes	explicit positional paths row closes the schema surface for multi-path check-ignore parity
Plumbing Commands	check-ignore	-v	<empty>	mixed path arguments	ignored and non-ignored files in worktree	local	all	git check-ignore -v target/a src/debug.log keep.txt	closed	git_check_ignore_compat::check_ignore_matches_stock_git_for_common_modes	prints source pattern metadata for ignored paths like stock Git
Plumbing Commands	check-ignore	--stdin	<empty>	line-delimited stdin	ignored and non-ignored files in worktree	local	all	printf 'target/a\nkeep.txt\nsrc/debug.log\n' | git check-ignore --stdin	closed	git_check_ignore_compat::check_ignore_matches_stock_git_for_common_modes	reads path list from stdin and prints ignored paths like stock Git
Plumbing Commands	check-ignore	-q	<empty>	ignored path	ignored file in worktree	local	all	git check-ignore -q target/a	closed	git_check_ignore_compat::check_ignore_matches_stock_git_for_common_modes	quiet mode suppresses output and exits successfully for an ignored path like stock Git
Plumbing Commands	check-ignore	<none>	<empty>	non-ignored path	non-ignored file in worktree	local	all	git check-ignore keep.txt	closed	git_check_ignore_compat::check_ignore_matches_stock_git_for_common_modes	exits with stock non-match status for an unignored path
Plumbing Commands	check-ignore	--no-index	<empty>	tracked ignored path	tracked file matching ignore pattern	local	all	git check-ignore --no-index tracked.log	closed	git_check_ignore_compat::check_ignore_matches_stock_git_for_common_modes	reports tracked paths as ignored when --no-index is present like stock Git
Plumbing Commands	check-ignore	<none>	<empty>	tracked ignored path	tracked file matching ignore pattern	local	all	git check-ignore tracked.log	closed	git_check_ignore_compat::check_ignore_matches_stock_git_for_common_modes	does not report tracked ignored paths without --no-index and exits like stock Git
Plumbing Commands	check-ignore	-z	<empty>	--stdin NUL input	ignored path in worktree	local	all	printf 'ignored-file\0' | git check-ignore -z --stdin	closed	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	reads NUL-delimited stdin and writes NUL-delimited ignored paths like stock Git
Plumbing Commands	check-ignore	-n	<empty>	-v non-matching path	non-ignored path in worktree	local	all	git check-ignore -v -n kept	closed	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	prints stock verbose non-match shape for a kept path
Plumbing Commands	check-ignore	<none>	<empty>	missing path arguments	invalid invocation	local	all	git check-ignore	invalid-input	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	exits with stock usage diagnostics when no path or --stdin is provided
Plumbing Commands	check-ignore	-q	<empty>	missing path arguments	invalid invocation	local	all	git check-ignore -q	invalid-input	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	quiet mode without path or --stdin exits with stock usage diagnostics
Plumbing Commands	check-ignore	-q	<empty>	-v conflict	invalid option combination	local	all	git check-ignore -q -v kept	invalid-input	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	quiet and verbose modes conflict and exit with stock diagnostics
Plumbing Commands	check-ignore	-q	<empty>	repeated -q -v conflict	invalid option combination	local	all	git check-ignore -q -v -q -v kept	invalid-input	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	repeated quiet and verbose modes still conflict with stock diagnostics
Plumbing Commands	check-ignore	--quiet	<empty>	multiple paths	invalid option combination	local	all	git check-ignore --quiet one two	invalid-input	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	quiet mode with multiple path arguments exits with stock diagnostics
Plumbing Commands	check-ignore	--quiet	<empty>	--verbose conflict and multiple paths	invalid option combination	local	all	git check-ignore --quiet --verbose --quiet one two	invalid-input	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	quiet and verbose conflict with multiple path arguments exits with stock diagnostics
Plumbing Commands	check-ignore	<none>	<empty>	separator without paths	invalid invocation	local	all	git check-ignore --	invalid-input	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	path separator without paths exits with stock usage diagnostics
Plumbing Commands	check-ignore	--stdin	<empty>	stdin plus path argument	invalid option combination	local	all	git check-ignore --stdin kept	invalid-input	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	--stdin with explicit path argument exits with stock diagnostics
Plumbing Commands	check-ignore	-z	<empty>	NUL mode without stdin	invalid option combination	local	all	git check-ignore -z kept	invalid-input	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	NUL mode without --stdin exits with stock diagnostics for path arguments
Plumbing Commands	check-ignore	<none>	<empty>	run from .git directory	bare/internal gitdir cwd	local	all	cd .git && git check-ignore kept	invalid-input	git_check_ignore_compat::check_ignore_matches_stock_git_for_upstream_t0008_cli_contract	running check-ignore from the .git directory exits with stock diagnostics
