group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Other Git 2.47 commands	pack-objects	--index-version	0	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --index-version=0	closed	git_pack_integrity_compat::pack_objects_index_version_values_match_stock_git	stock Git accepts index version major 0 and writes a readable pack
Other Git 2.47 commands	pack-objects	--index-version	0,64	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --index-version=0,64	closed	git_pack_integrity_compat::pack_objects_index_version_values_match_stock_git	stock Git accepts index version major 0 with a numeric minor value
Other Git 2.47 commands	pack-objects	--index-version	1,64	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --index-version=1,64	closed	git_pack_integrity_compat::pack_objects_index_version_values_match_stock_git	stock Git accepts index version major 1 with a numeric minor value
Other Git 2.47 commands	pack-objects	--index-version	2,128	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --index-version=2,128	closed	git_pack_integrity_compat::pack_objects_index_version_values_match_stock_git	stock Git accepts index version major 2 with a numeric minor value
Other Git 2.47 commands	pack-objects	--index-version	3	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --index-version=3	invalid-input	git_pack_integrity_compat::pack_objects_index_version_values_match_stock_git	stock Git rejects unsupported numeric index version major 3 with exit 128
Other Git 2.47 commands	pack-objects	--index-version	3,0	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --index-version=3,0	invalid-input	git_pack_integrity_compat::pack_objects_index_version_values_match_stock_git	stock Git rejects unsupported numeric index version major 3 even with a numeric minor value
Other Git 2.47 commands	pack-objects	--index-version	foo	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --index-version=foo	invalid-input	git_pack_integrity_compat::pack_objects_index_version_values_match_stock_git	stock Git rejects non-numeric index version values as bad index versions with exit 128
Other Git 2.47 commands	pack-objects	--index-version	2,foo	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --index-version=2,foo	invalid-input	git_pack_integrity_compat::pack_objects_index_version_values_match_stock_git	stock Git rejects non-numeric minor index version values as bad index versions with exit 128
Other Git 2.47 commands	pack-objects	--index-version	1,foo	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --index-version=1,foo	invalid-input	git_pack_integrity_compat::pack_objects_index_version_values_match_stock_git	stock Git rejects non-numeric minor index version values for major 1 as bad index versions with exit 128
Other Git 2.47 commands	pack-objects	--index-version	-1	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --index-version=-1	invalid-input	git_pack_integrity_compat::pack_objects_index_version_values_match_stock_git	stock Git rejects unsupported negative numeric index version majors with exit 128
Other Git 2.47 commands	pack-objects	--stdout	true	--revs	committed repo	local	all	git pack-objects --stdout --revs	closed	git_pack_integrity_compat::pack_objects_stdout_writes_pack_readable_by_stock_git	stdout pack output unpacks into stock-readable objects matching the source repository
Other Git 2.47 commands	pack-objects	--progress	true	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --progress	closed	git_pack_integrity_compat::pack_objects_progress_flags_write_stock_readable_pack	progress flag writes a stock-readable pack with matching object contents
Other Git 2.47 commands	pack-objects	--no-progress	true	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --no-progress	closed	git_pack_integrity_compat::pack_objects_progress_flags_write_stock_readable_pack	no-progress flag writes a stock-readable pack with matching object contents
Other Git 2.47 commands	pack-objects	--no-reuse-delta	true	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --no-reuse-delta	closed	git_pack_integrity_compat::pack_objects_undeltified_compat_flags_write_stock_readable_pack	no-reuse-delta writes a stock-readable pack with matching object contents
Other Git 2.47 commands	pack-objects	--no-reuse-object	true	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --no-reuse-object	closed	git_pack_integrity_compat::pack_objects_undeltified_compat_flags_write_stock_readable_pack	no-reuse-object writes a stock-readable pack with matching object contents
Other Git 2.47 commands	pack-objects	--delta-base-offset	true	--stdout --revs	committed repo	local	all	git pack-objects --stdout --revs --delta-base-offset	closed	git_pack_integrity_compat::pack_objects_undeltified_compat_flags_write_stock_readable_pack	delta-base-offset writes a stock-readable pack with matching object contents
Other Git 2.47 commands	pack-objects	--all	<empty>	explicit basename	committed repo	local	all	git pack-objects --all .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_all_long	writes matching .pack, .idx and .rev side effects plus matching stdout/stderr
Other Git 2.47 commands	pack-objects	-q	<empty>	--all explicit basename	committed repo	local	all	git pack-objects --all -q .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_all_quiet_short	short quiet alias preserves the existing explicit-basename pack side effects, stdout, and stderr on the current helper-free local lane
Other Git 2.47 commands	pack-objects	--all-progress-implied	<empty>	--all explicit basename	committed repo	local	all	git pack-objects --all --all-progress-implied .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_all_progress_implied	all-progress-implied preserves the existing explicit-basename pack side effects, stdout, and stderr when progress is otherwise inactive on the current helper-free local lane
Other Git 2.47 commands	pack-objects	--honor-pack-keep	<empty>	--all explicit basename	committed repo	local	all	git pack-objects --all --honor-pack-keep .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_honor_pack_keep	honor-pack-keep is accepted and preserves the current explicit-basename pack side effects, stdout, and stderr when no kept packs are present on the current helper-free local lane
Other Git 2.47 commands	pack-objects	--include-tag	<empty>	--all explicit basename	committed repo	local	all	git pack-objects --all --include-tag .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_include_tag_noop	include-tag is accepted and preserves the current explicit-basename pack side effects, stdout, and stderr when no annotated tag lane is introduced on the current helper-free local lane
Other Git 2.47 commands	pack-objects	--incremental	<empty>	--all explicit basename	committed repo	local	all	git pack-objects --all --incremental .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_incremental_noop	incremental is accepted and preserves the current explicit-basename pack side effects, stdout, and stderr when no existing packs are present on the current helper-free local lane
Other Git 2.47 commands	pack-objects	--keep-true-parents	<empty>	--all explicit basename	committed repo	local	all	git pack-objects --all --keep-true-parents .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_keep_true_parents_noop	keep-true-parents is accepted and preserves the current explicit-basename pack side effects, stdout, and stderr when no history simplification lane is introduced on the current helper-free local lane
Other Git 2.47 commands	pack-objects	--local	<empty>	--all explicit basename	committed repo	local	all	git pack-objects --all --local .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_local_noop	local is accepted and preserves the current explicit-basename pack side effects, stdout, and stderr when no alternates are configured on the current helper-free local lane
Other Git 2.47 commands	pack-objects	--non-empty	<empty>	--all explicit basename	committed repo	local	all	git pack-objects --all --non-empty .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_non_empty	non-empty is accepted and preserves the current explicit-basename pack side effects, stdout, and stderr on the non-empty helper-free local lane
Other Git 2.47 commands	pack-objects	--shallow	<empty>	--all explicit basename	committed repo	local	all	git pack-objects --all --shallow .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_shallow_noop	shallow is accepted and preserves the current explicit-basename pack side effects, stdout, and stderr when no shallow boundary lane is introduced on the current helper-free local lane
Other Git 2.47 commands	pack-objects	--sparse	<empty>	--all explicit basename	committed repo	local	all	git pack-objects --all --sparse .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_sparse_noop	sparse is accepted and preserves the current explicit-basename pack side effects, stdout, and stderr on the current helper-free local all-refs lane
Other Git 2.47 commands	pack-objects	--no-sparse	<empty>	--all explicit basename	committed repo	local	all	git pack-objects --all --no-sparse .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_no_sparse_noop	no-sparse is accepted and preserves the current explicit-basename pack side effects, stdout, and stderr on the current helper-free local all-refs lane
Other Git 2.47 commands	pack-objects	--threads	1	--all explicit basename	committed repo	local	all	git pack-objects --all --threads=1 .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_threads_one	threads=1 is accepted and preserves the current explicit-basename pack side effects, stdout, and stderr on the current helper-free local lane
Other Git 2.47 commands	pack-objects	--unpacked	<empty>	--stdout with stdin revs	committed repo with only loose objects	local	all	git pack-objects --stdout --unpacked	closed	git_pack_integrity_compat::pack_objects_unpacked_implies_revs_on_loose_repo_like_stock_git	unpacked implies stdin revision processing and writes a stock-readable pack matching Git on the current loose-object helper-free local lane
Other Git 2.47 commands	pack-objects	--window-memory	0	--all explicit basename	committed repo	local	all	git pack-objects --all --window-memory=0 .git/objects/pack/pack-zmin	closed	tools/git-pack-schema-oracle-smoke.sh::pack_objects_window_memory_zero	window-memory=0 is accepted and preserves the current explicit-basename pack side effects, stdout, and stderr on the current helper-free local lane
