group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Basic Snapshotting	add	<none>	process filter advertises unsupported capability	required filter on added path	clean repository	local	unix	git add a.bad	invalid-input	git_add_compat::add_process_filter_unknown_capability_matches_stock_git	unknown process-filter capability exits 128 with stock fatal subprocess diagnostic and leaves the index unchanged
Basic Snapshotting	add	<none>	process filter returns unsupported status	required filter on added path	clean repository	local	unix	git add a.bad	invalid-input	git_add_compat::add_process_filter_unknown_status_matches_stock_git	unknown process-filter status exits 128 with stock external-filter failure diagnostics and leaves the index unchanged
Basic Snapshotting	add	<none>	process filter returns delayed status	required clean filter on added path	clean repository	local	unix	git add a.bad	invalid-input	git_add_compat::add_process_filter_delayed_clean_status_matches_stock_git	delayed clean-process-filter status exits 128 with stock external-filter diagnostics and leaves the index unchanged
Basic Snapshotting	add	-u	a*.txt	default glob pathspec	dirty tracked files	local	all	git add -u a*.txt	closed	git_global_cli_compat::global_pathspec_options_match_stock_git_for_mutating_commands	update matching tracked paths using stock default pathspec globbing
Basic Snapshotting	add	--literal-pathspecs	a*b.txt	-u	dirty tracked literal metachar path	local	all	git --literal-pathspecs add -u a*b.txt	closed	git_global_cli_compat::global_pathspec_options_match_stock_git_for_mutating_commands	global literal pathspec mode updates the literal metachar path like stock Git
Basic Snapshotting	add	-u	:(glob)a*b.txt	explicit glob magic	dirty tracked files	local	all	git add -u ':(glob)a*b.txt'	closed	git_global_cli_compat::global_pathspec_options_match_stock_git_for_mutating_commands	explicit glob pathspec magic updates matching tracked paths like stock Git
Basic Snapshotting	add	-A	dir	pathspec-limited all update	tracked delete inside and outside selected directory	local	all	git add -A dir	closed	git_index_mutation_compat::add_all_pathspec_limits_tracked_deletes_like_stock_git	stages the tracked delete under the selected directory while leaving the outside delete unstaged like stock Git
Basic Snapshotting	add	-f	ignored.txt	explicit ignored path	clean repository with ignore rule	local	all	git add -f ignored.txt	closed	git_index_mutation_compat::add_force_stages_explicit_ignored_paths_like_stock_git	forced add stages an explicitly ignored path with stock index entry shape
Basic Snapshotting	add	<none>	explicit ignored path mixed with normal path	default add	clean repository with ignore rule	local	all	git add a.if a.ig	closed	git_index_mutation_compat::add_rejects_explicit_ignored_paths_without_force_like_stock_git	rejects the ignored path and leaves the index matching stock Git
Basic Snapshotting	add	<none>	nested directory pathspec	nested gitignore negation	clean repository with nested ignore rules	local	all	git add sub/dir	closed	git_index_mutation_compat::add_honors_nested_gitignore_negation_like_stock_git	honors nested negation rules and stages the same index entries as stock Git
