reference_group	command	option	value	combination	repository_state	transport	platform	example	status	evidence	notes
Other Git 2.47 commands	cvsimport	<positional:args>	unknown	unknown CVS module outside repository	outside repository	local	macos	git cvsimport unknown	closed	tools/git-foreign-helper-positional-gap-probe.sh::cvsimport_positional_unknown	unavailable helper exits 1 with exact macOS not-a-git-command stderr, empty stdout and no repository side effects matching stock Git
Other Git 2.47 commands	cvsimport	-h	<empty>	option family help lane outside repository	empty current directory	local	unix	ZMIN_STOCK_GIT=/tmp/.../git cvsimport -h	closed	git_foreign_scm_compat::cvsimport_help_option_family_matches_stock_git	short help now matches stock Git on the helper-entrypoint lane, including exact usage stderr and exit status
Other Git 2.47 commands	cvsimport	-A	<authors-file>	option family help lane outside repository	empty current directory	local	unix	ZMIN_STOCK_GIT=/tmp/.../git cvsimport -A <authors-file> -h	closed	git_foreign_scm_compat::cvsimport_help_option_family_matches_stock_git	authors-file spelling is stock-compatible on the bounded help lane, including exact usage stderr and exit status after consuming the attached value
Other Git 2.47 commands	cvsimport	-L	1	option family help lane outside repository	empty current directory	local	unix	ZMIN_STOCK_GIT=/tmp/.../git cvsimport -L 1 -h	closed	git_foreign_scm_compat::cvsimport_help_option_family_matches_stock_git	commit-limit spelling is stock-compatible on the bounded help lane, including exact usage stderr and exit status after consuming the attached value
Other Git 2.47 commands	cvsimport	-M	merge (.+)	option family help lane outside repository	empty current directory	local	unix	ZMIN_STOCK_GIT=/tmp/.../git cvsimport -M 'merge (.+)' -h	closed	git_foreign_scm_compat::cvsimport_help_option_family_matches_stock_git	merge-regex spelling is stock-compatible on the bounded help lane, including exact usage stderr and exit status after consuming the attached value
Other Git 2.47 commands	cvsimport	-S	skip	option family help lane outside repository	empty current directory	local	unix	ZMIN_STOCK_GIT=/tmp/.../git cvsimport -S skip -h	closed	git_foreign_scm_compat::cvsimport_help_option_family_matches_stock_git	ignore-paths spelling is stock-compatible on the bounded help lane, including exact usage stderr and exit status after consuming the attached value
Other Git 2.47 commands	cvsimport	-i	<empty>	option family help lane outside repository	empty current directory	local	unix	ZMIN_STOCK_GIT=/tmp/.../git cvsimport -i -h	closed	git_foreign_scm_compat::cvsimport_help_option_family_matches_stock_git	import-only spelling is stock-compatible on the bounded help lane, including exact usage stderr and exit status
Other Git 2.47 commands	cvsimport	-k	<empty>	option family help lane outside repository	empty current directory	local	unix	ZMIN_STOCK_GIT=/tmp/.../git cvsimport -k -h	closed	git_foreign_scm_compat::cvsimport_help_option_family_matches_stock_git	kill-keywords spelling is stock-compatible on the bounded help lane, including exact usage stderr and exit status
Other Git 2.47 commands	cvsimport	-m	<empty>	option family help lane outside repository	empty current directory	local	unix	ZMIN_STOCK_GIT=/tmp/.../git cvsimport -m -h	closed	git_foreign_scm_compat::cvsimport_help_option_family_matches_stock_git	merge-detect spelling is stock-compatible on the bounded help lane, including exact usage stderr and exit status
Other Git 2.47 commands	cvsimport	-o	trunk	option family help lane outside repository	empty current directory	local	unix	ZMIN_STOCK_GIT=/tmp/.../git cvsimport -o trunk -h	closed	git_foreign_scm_compat::cvsimport_help_option_family_matches_stock_git	head-branch spelling is stock-compatible on the bounded help lane, including exact usage stderr and exit status after consuming the attached value
