group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	merge-file	-p	<empty>	clean stdout merge	three standalone text files with one side unchanged	local	all	git merge-file -p ours.txt base.txt same-base.txt	closed	git_merge_plumbing_compat::merge_file_matches_stock_git_for_clean_and_conflict_cases	clean stdout merge output matches stock Git
Plumbing Commands	merge-file	--stdout	<empty>	clean stdout merge	three standalone text files with one side unchanged	local	all	git merge-file --stdout ours.txt base.txt same-base.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_stdout_long	long stdout spelling clean merge output matches stock Git
Plumbing Commands	merge-file	-L	CURRENT BASE OTHER	-p conflicting stdout merge	three standalone text files with conflicting middle line	local	all	git merge-file -p -L CURRENT -L BASE -L OTHER ours.txt base.txt theirs.txt	closed	git_merge_plumbing_compat::merge_file_matches_stock_git_for_clean_and_conflict_cases	conflicting labeled stdout merge matches stock Git status and stdout
Plumbing Commands	merge-file	<positional:current>	ours.txt	-p clean stdout merge	three standalone text files with one side unchanged	local	all	git merge-file -p ours.txt base.txt same-base.txt	closed	git_merge_plumbing_compat::merge_file_matches_stock_git_for_clean_and_conflict_cases	current-file positional input participates in stock-matching clean stdout merge
Plumbing Commands	merge-file	<positional:base>	base.txt	-p clean stdout merge	three standalone text files with one side unchanged	local	all	git merge-file -p ours.txt base.txt same-base.txt	closed	git_merge_plumbing_compat::merge_file_matches_stock_git_for_clean_and_conflict_cases	base-file positional input participates in stock-matching clean stdout merge
Plumbing Commands	merge-file	<positional:other>	same-base.txt	-p clean stdout merge	three standalone text files with one side unchanged	local	all	git merge-file -p ours.txt base.txt same-base.txt	closed	git_merge_plumbing_compat::merge_file_matches_stock_git_for_clean_and_conflict_cases	other-file positional input participates in stock-matching clean stdout merge
Plumbing Commands	merge-file	-q	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file -q ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_quiet_conflict	quiet short option conflict exit, stderr and worktree side effect match stock Git
Plumbing Commands	merge-file	--quiet	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --quiet ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_quiet_long_conflict	quiet long option conflict exit, stderr and worktree side effect match stock Git
Plumbing Commands	merge-file	-q	<empty>	repeated -q conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file -q -q ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_repeated_quiet_conflict	repeated quiet short option conflict exit, stderr and worktree side effect match stock Git
Plumbing Commands	merge-file	--no-quiet	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --no-quiet ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_no_quiet_conflict	no-quiet long option conflict exit, stderr and worktree side effect match stock Git
Plumbing Commands	merge-file	-q	true	invalid short value	three standalone text files with conflicting middle line	local	all	git merge-file -q=true ours.txt base.txt theirs.txt	invalid-input	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_quiet_short_value_invalid	short quiet value rejection matches stock Git exit, stdout, stderr and side effects
Plumbing Commands	merge-file	--quiet	true	invalid long value	three standalone text files with conflicting middle line	local	all	git merge-file --quiet=true ours.txt base.txt theirs.txt	invalid-input	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_quiet_long_value_invalid	long quiet value rejection matches stock Git exit, stdout, stderr and side effects
Plumbing Commands	merge-file	--ours	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --ours ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_ours_conflict	ours conflict strategy exit, stderr and worktree side effect match stock Git
Plumbing Commands	merge-file	--theirs	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --theirs ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_theirs_conflict	theirs conflict strategy exit, stderr and worktree side effect match stock Git
Plumbing Commands	merge-file	--union	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --union ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_union_conflict	union conflict strategy exit, stderr and worktree side effect match stock Git
Plumbing Commands	merge-file	--no-ours	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --no-ours ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_no_ours_conflict	no-ours conflict strategy exit, stderr and worktree side effect match stock Git
Plumbing Commands	merge-file	--no-theirs	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --no-theirs ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_no_theirs_conflict	no-theirs conflict strategy exit, stderr and worktree side effect match stock Git
Plumbing Commands	merge-file	--no-union	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --no-union ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_no_union_conflict	no-union conflict strategy exit, stderr and worktree side effect match stock Git
Plumbing Commands	merge-file	--ours	<empty>	-p conflicting stdout merge	three standalone text files with conflicting middle line	local	all	git merge-file -p --ours ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_ours_stdout_conflict	ours conflict strategy stdout output and file side effect match stock Git
Plumbing Commands	merge-file	--theirs	<empty>	-p conflicting stdout merge	three standalone text files with conflicting middle line	local	all	git merge-file -p --theirs ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_theirs_stdout_conflict	theirs conflict strategy stdout output and file side effect match stock Git
Plumbing Commands	merge-file	--union	<empty>	-p conflicting stdout merge	three standalone text files with conflicting middle line	local	all	git merge-file -p --union ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_union_stdout_conflict	union conflict strategy stdout output and file side effect match stock Git
Plumbing Commands	merge-file	--ours	true	invalid long value	three standalone text files with conflicting middle line	local	all	git merge-file --ours=true ours.txt base.txt theirs.txt	invalid-input	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_ours_value_invalid	ours value rejection matches stock Git exit, stdout, stderr and side effects
Plumbing Commands	merge-file	--theirs	true	invalid long value	three standalone text files with conflicting middle line	local	all	git merge-file --theirs=true ours.txt base.txt theirs.txt	invalid-input	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_theirs_value_invalid	theirs value rejection matches stock Git exit, stdout, stderr and side effects
Plumbing Commands	merge-file	--union	true	invalid long value	three standalone text files with conflicting middle line	local	all	git merge-file --union=true ours.txt base.txt theirs.txt	invalid-input	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_union_value_invalid	union value rejection matches stock Git exit, stdout, stderr and side effects
Plumbing Commands	merge-file	--diff3	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --diff3 ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_diff3_conflict	diff3 conflict marker output and worktree side effect match stock Git
Plumbing Commands	merge-file	--zdiff3	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --zdiff3 ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_zdiff3_conflict	zdiff3 conflict marker output and worktree side effect match stock Git for simple conflict
Plumbing Commands	merge-file	--no-diff3	<empty>	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --no-diff3 ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_no_diff3_conflict	no-diff3 conflict marker output and worktree side effect match stock Git
Plumbing Commands	merge-file	--diff3	<empty>	-p conflicting stdout merge	three standalone text files with conflicting middle line	local	all	git merge-file -p --diff3 ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_diff3_stdout_conflict	diff3 stdout conflict marker output and file side effect match stock Git
Plumbing Commands	merge-file	--zdiff3	<empty>	-p conflicting stdout merge	three standalone text files with conflicting middle line	local	all	git merge-file -p --zdiff3 ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_zdiff3_stdout_conflict	zdiff3 stdout conflict marker output and file side effect match stock Git for simple conflict
Plumbing Commands	merge-file	--diff3	true	invalid long value	three standalone text files with conflicting middle line	local	all	git merge-file --diff3=true ours.txt base.txt theirs.txt	invalid-input	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_diff3_value_invalid	diff3 value rejection matches stock Git exit, stdout, stderr and side effects
Plumbing Commands	merge-file	--zdiff3	true	invalid long value	three standalone text files with conflicting middle line	local	all	git merge-file --zdiff3=true ours.txt base.txt theirs.txt	invalid-input	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_zdiff3_value_invalid	zdiff3 value rejection matches stock Git exit, stdout, stderr and side effects
Plumbing Commands	merge-file	--marker-size	3	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --marker-size 3 ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_marker_size_conflict	marker-size separate value conflict marker output and worktree side effect match stock Git
Plumbing Commands	merge-file	--marker-size	3	conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --marker-size=3 ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_marker_size_equals_conflict	marker-size equals value conflict marker output and worktree side effect match stock Git
Plumbing Commands	merge-file	--marker-size	3	-p conflicting stdout merge	three standalone text files with conflicting middle line	local	all	git merge-file -p --marker-size=3 ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_marker_size_stdout_conflict	marker-size stdout conflict marker output and file side effect match stock Git
Plumbing Commands	merge-file	--marker-size	3	--diff3 conflicting in-place merge	three standalone text files with conflicting middle line	local	all	git merge-file --diff3 --marker-size=3 ours.txt base.txt theirs.txt	closed	tools/git-merge-file-schema-oracle-smoke.sh::merge_file_marker_size_diff3_conflict	marker-size plus diff3 conflict marker output and worktree side effect match stock Git
