command	evidence	notes
bundle	docs/cli/matrices/bundle_v2_47.tsv; crates/zmin-cli/tests/git_pack_integrity_compat.rs	Reviewed complete command matrix: create, verify, list-heads, and unbundle now cover stock-readable bundle payloads, documented version and since forms, quiet and progress toggles, option ordering, prerequisite bundles, and unsupported-format or invalid-version parity with exact stock-Git evidence.
check-attr	docs/cli/matrices/check_attr_v2_47.tsv; crates/zmin-cli/tests/git_text_tools_compat.rs	Reviewed complete command matrix: positional and stdin query modes now cover named and all-attribute lookups, index-backed and tree-ish-backed resolution, NUL-delimited I/O, repeated flags, path and source ordering, and exact stock-Git stdout/stderr/exit parity.
check-ref-format	docs/cli/matrices/check_ref_format_v2_47.tsv; crates/zmin-cli/tests/git_check_ref_format_compat.rs	Reviewed complete command matrix: refname, normalize, allow-onelevel, no-allow-onelevel, branch, and refspec-pattern modes now cover valid names, invalid refname parity, previous-checkout resolution, toggle ordering, and exact stock-Git stdout/stderr/exit behavior.
commit-graph	docs/cli/matrices/commit_graph_v2_47.tsv; crates/zmin-cli/tests/git_maintenance_compat.rs	Reviewed complete command matrix: write and verify now cover reachable and object-dir modes, progress and no-progress toggles, option ordering, valid commit-graph verification, and exact stock-Git invalid graph-header parity.
check-ignore	docs/cli/matrices/check_ignore_v2_47.tsv; crates/zmin-cli/tests/git_check_ignore_compat.rs; tools/git-check-ignore-schema-oracle-smoke.sh	Reviewed complete command matrix: positional and stdin query modes, quiet and verbose families, no-index tracked-path behavior, non-matching output, NUL-delimited stdin/output, and stock-compatible invalid invocation and option-conflict rows are all covered by exact stock-Git evidence.
column	docs/cli/matrices/column_v2_47.tsv; crates/zmin-cli/tests/git_text_tools_compat.rs; tools/git-column-oracle-smoke.sh	Reviewed complete command matrix: command lookup, mode and raw-mode families, width, indent, nl, padding, no-* resets, value ordering, repository config interactions, and exact stock-Git invalid-value and invalid-position parity are all covered by exact stock-Git evidence.
merge-base	docs/cli/matrices/merge_base_v2_47.tsv; crates/zmin-cli/tests/git_merge_compat.rs	Reviewed complete command matrix: default and all-mode merge-base queries now cover identical commits, linear history, diverged ancestry, repeated option forms, and exact stock-Git invalid-input parity.
pack-refs	docs/cli/matrices/pack_refs_v2_47.tsv; crates/zmin-cli/tests/git_maintenance_compat.rs	Reviewed complete command matrix: all, auto, include, exclude, and no-prune coverage now includes loose and packed ref states, include/exclude ordering, all-mode packing, and exact stock-Git files-backend side effects.
refs	docs/cli/matrices/refs_v2_47.tsv; crates/zmin-cli/tests/git_refs_compat.rs	Reviewed complete command matrix: verify now covers strict and verbose modes, dry-run, ref-format selection, long no-* toggles, ordering, stdout/stderr parity, and exact stock-Git invalid ref-format or repository-state failures.
show-index	docs/cli/matrices/show_index_v2_47.tsv; tools/git-show-index-object-format-oracle-smoke.sh; git_object_plumbing_compat::show_index_matches_stock_git_for_pack_index_stdin; git_object_plumbing_compat::show_index_option_order_matches_stock_git; git_object_plumbing_compat::show_index_rejects_unsupported_pack_index_version_like_stock_git	Reviewed complete command matrix: stdin pack index behavior, unsupported index-version rejection, and the full documented --object-format surface are covered by exact stock-Git evidence.
