group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	merge-base	<none>	HEAD HEAD~1	<none>	linear two-commit history	local	all	git merge-base HEAD HEAD~1	closed	git_merge_compat::merge_base_matches_stock_git_for_linear_history	merge-base output matches stock Git for ancestor pair
Plumbing Commands	merge-base	<none>	HEAD HEAD	<none>	linear two-commit history	local	all	git merge-base HEAD HEAD	closed	git_merge_compat::merge_base_matches_stock_git_for_linear_history	self merge-base output matches stock Git
Plumbing Commands	merge-base	<none>	HEAD HEAD~4	commit-graph present	linear six-commit history with commit-graph	local	all	git merge-base HEAD HEAD~4	closed	git_merge_compat::merge_base_uses_commit_graph_without_changing_results	commit-graph presence does not change stock merge-base output
Plumbing Commands	merge-base	--is-ancestor	HEAD HEAD	<none>	linear two-commit history	local	all	git merge-base --is-ancestor HEAD HEAD	closed	git_merge_compat::merge_base_matches_stock_git_for_linear_history	self ancestor exit status matches stock Git
Plumbing Commands	merge-base	--is-ancestor	HEAD~1 HEAD	<none>	linear two-commit history	local	all	git merge-base --is-ancestor HEAD~1 HEAD	closed	git_merge_compat::merge_base_matches_stock_git_for_linear_history	true ancestor exit status matches stock Git
Plumbing Commands	merge-base	--is-ancestor	HEAD HEAD~1	<none>	linear two-commit history	local	all	git merge-base --is-ancestor HEAD HEAD~1	closed	git_merge_compat::merge_base_matches_stock_git_for_linear_history	false ancestor exit status matches stock Git
Plumbing Commands	merge-base	--is-ancestor	<tag-object> HEAD	annotated tag object	linear two-commit history	local	all	git merge-base --is-ancestor <tag-object> HEAD	closed	git_merge_compat::merge_base_matches_stock_git_for_linear_history	annotated tag object ancestor status matches stock Git
Plumbing Commands	merge-base	--is-ancestor	HEAD~4 HEAD	commit-graph present	linear six-commit history with commit-graph	local	all	git merge-base --is-ancestor HEAD~4 HEAD	closed	git_merge_compat::merge_base_uses_commit_graph_without_changing_results	commit-graph presence does not change ancestor status
Plumbing Commands	merge-base	<none>	a b c	multiple commits	three diverged branches from shared base	local	all	git merge-base a b c	closed	git_merge_compat::merge_base_multi_commit_modes_match_stock_git	multi-commit default merge-base output matches stock Git
Plumbing Commands	merge-base	--octopus	a b c	multiple commits	three diverged branches from shared base	local	all	git merge-base --octopus a b c	closed	git_merge_compat::merge_base_multi_commit_modes_match_stock_git	octopus merge-base output matches stock Git
Plumbing Commands	merge-base	<none>	missing HEAD	<none>	missing revision	local	all	git merge-base missing HEAD	invalid-input	git_cli_failure_compat::invalid_option_combinations_match_stock_git_failures	missing revision failure shape matches stock Git
Plumbing Commands	merge-base	--is-ancestor	missing HEAD	<none>	missing revision	local	all	git merge-base --is-ancestor missing HEAD	invalid-input	git_cli_failure_compat::invalid_option_combinations_match_stock_git_failures	missing revision is-ancestor failure shape matches stock Git
Plumbing Commands	merge-base	<positional:commits>	main side	<none>	two branches from shared base	local	all	git merge-base main side	closed	tools/git-merge-base-schema-oracle-smoke.sh::merge_base_positional_commits	positional commit arguments output the shared base and leave worktree status like stock Git
