group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	commit-tree	-m	root	<tree>	index with staged files	local	all	git commit-tree <tree> -m root	closed	git_object_plumbing_compat::write_tree_and_commit_tree_match_stock_git_objects	root commit object id and stored commit content match stock Git for message supplied with -m
Plumbing Commands	commit-tree	<positional:tree>	<tree>	-m root	index with staged files	local	all	git commit-tree <tree> -m root	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_positional_tree	positional tree argument creates the same commit object id and stored commit content as stock Git with fixed identity and timestamps
Plumbing Commands	commit-tree	--	<delimiter>	<tree> --	index with staged files and delimiter after tree	local	all	git commit-tree <tree> --	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_tree_then_delimiter	delimiter after tree creates the same commit object id and stored commit content as stock Git
Plumbing Commands	commit-tree	-m	root	before <tree>	index with staged files	local	all	git commit-tree -m root <tree>	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_message_before_tree	message option before tree argument creates the same commit object id and stored commit content as stock Git
Plumbing Commands	commit-tree	<positional:tree>	<abbrev-tree>	-m root	index with staged files	local	all	git commit-tree <abbrev-tree> -m root	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_abbreviated_tree	abbreviated tree argument commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	<positional:tree>	<blob>	-m root	index with staged file and blob object	local	all	git commit-tree <blob> -m root	invalid-input	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_blob_tree	blob object used as tree rejection stdout, stderr and exit status match stock Git
Plumbing Commands	commit-tree	<stdin>	<empty>	<tree>	index with staged files and empty stdin	local	all	printf '' | git commit-tree <tree>	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_empty_stdin	empty stdin message commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	<stdin>	stdin body	<tree>	index with staged files and non-empty stdin	local	all	printf 'stdin body' | git commit-tree <tree>	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_stdin_message	non-empty stdin message commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-m	inline	<tree> attached short option	index with staged files	local	all	git commit-tree <tree> -minline	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_attached_message	attached short message option commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-m	=foo	<tree> equals short option	index with staged files	local	all	git commit-tree <tree> -m=foo	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_equals_message	equals-form short message option commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-m	<empty>	<tree>	index with staged files and empty inline message	local	all	git commit-tree <tree> -m ''	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_empty_message	empty inline message commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-m	inline	<tree> with ignored stdin	index with staged files and stdin plus inline message	local	all	printf 'ignored stdin' | git commit-tree <tree> -m inline	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_stdin_ignored_with_message	inline message ignores stdin and commit object id plus stored content match stock Git
Plumbing Commands	commit-tree	-m	msg	<tree> -m <empty>	index with staged files and empty plus non-empty messages	local	all	git commit-tree <tree> -m '' -m msg	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_empty_message_then_message	empty then non-empty inline message commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-m	<empty>	<tree> -m msg	index with staged files and non-empty plus empty messages	local	all	git commit-tree <tree> -m msg -m ''	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_message_then_empty_message	non-empty then empty inline message commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-F	message.txt	<tree>	index with staged files and message file	local	all	git commit-tree <tree> -F message.txt	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_message_file	message-file commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-F	message.txt	<tree> with ignored stdin	index with staged files and stdin plus message file	local	all	printf 'ignored stdin' | git commit-tree <tree> -F message.txt	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_stdin_ignored_with_message_file	message file ignores stdin and commit object id plus stored content match stock Git
Plumbing Commands	commit-tree	-F	message.txt	before <tree>	index with staged files and message file	local	all	git commit-tree -F message.txt <tree>	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_message_file_before_tree	message-file option before tree argument creates the same commit object id and stored commit content as stock Git
Plumbing Commands	commit-tree	-F	/dev/null	<tree>	index with staged files and empty message file	local	all	git commit-tree <tree> -F /dev/null	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_empty_message_file	empty message-file commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-F	message.txt	<tree> attached short option	index with staged files and message file	local	all	git commit-tree <tree> -Fmessage.txt	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_attached_message_file	attached short message-file option commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-F	-	<tree> with stdin message	index with staged files and stdin message	local	all	printf 'stdin message\n' | git commit-tree <tree> -F -	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_message_file_stdin	stdin message-file commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-F	-	<tree> with attached short stdin option	index with staged files and stdin message	local	all	printf 'stdin message\n' | git commit-tree <tree> -F-	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_attached_message_file_stdin	attached short stdin message-file option commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-F	message.txt	<tree> -m inline	index with staged files and inline plus file message	local	all	git commit-tree <tree> -m inline -F message.txt	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_message_then_file	inline-message plus file-message commit object id and stored commit content match stock Git
Plumbing Commands	commit-tree	-m	inline	<tree> -F message.txt	index with staged files and file plus inline message	local	all	git commit-tree <tree> -F message.txt -m inline	closed	tools/git-commit-tree-schema-oracle-smoke.sh::commit_tree_file_then_message	file-message plus inline-message commit object id and stored commit content match stock Git
