group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Inspection and Comparison	name-rev	<positional:commits>	HEAD	<none>	linear history with branch and tag refs	local	all	git name-rev <HEAD>	closed	git_ref_resolution_compat::name_rev_matches_stock_git_for_refs_tags_and_stdin_annotation	positional HEAD naming matches stock Git
Inspection and Comparison	name-rev	--name-only	<empty>	<HEAD>	linear history with branch and tag refs	local	all	git name-rev --name-only <HEAD>	closed	git_ref_resolution_compat::name_rev_matches_stock_git_for_refs_tags_and_stdin_annotation	name-only HEAD naming matches stock Git
Inspection and Comparison	name-rev	<positional:commits>	HEAD~1	<none>	linear history with lightweight tag on base commit	local	all	git name-rev <HEAD~1>	closed	git_ref_resolution_compat::name_rev_matches_stock_git_for_refs_tags_and_stdin_annotation	positional base commit naming matches stock Git
Inspection and Comparison	name-rev	--tags	<empty>	<HEAD~1>	linear history with lightweight tag on base commit	local	all	git name-rev --tags <HEAD~1>	closed	git_ref_resolution_compat::name_rev_matches_stock_git_for_refs_tags_and_stdin_annotation	tags-only base commit naming matches stock Git
Inspection and Comparison	name-rev	--refs	refs/heads/main	<HEAD>	linear history with branch and tag refs	local	all	git name-rev --refs=refs/heads/main <HEAD>	closed	git_ref_resolution_compat::name_rev_matches_stock_git_for_refs_tags_and_stdin_annotation	refs filter naming matches stock Git
Inspection and Comparison	name-rev	--exclude	refs/heads/feature	<HEAD>	linear history with branch and tag refs	local	all	git name-rev --exclude=refs/heads/feature <HEAD>	closed	git_ref_resolution_compat::name_rev_matches_stock_git_for_refs_tags_and_stdin_annotation	exclude filter naming matches stock Git
Inspection and Comparison	name-rev	--annotate-stdin	<empty>	stdin with HEAD and base object ids	linear history with branch and tag refs	local	all	printf 'head <HEAD> base <HEAD~1>\n' | git name-rev --annotate-stdin	closed	git_ref_resolution_compat::name_rev_matches_stock_git_for_refs_tags_and_stdin_annotation	stdin annotation matches stock Git
Inspection and Comparison	name-rev	--undefined	<empty>	<dangling-commit>	unreferenced commit object	local	all	git name-rev --undefined <dangling-commit>	closed	tools/git-name-rev-show-branch-schema-oracle-smoke.sh::name_rev_undefined	undefined fallback naming for an unreferenced commit matches stock Git
Inspection and Comparison	name-rev	--always	<empty>	<dangling-commit>	unreferenced commit object	local	all	git name-rev --always <dangling-commit>	closed	tools/git-name-rev-show-branch-schema-oracle-smoke.sh::name_rev_always	always fallback naming for an unreferenced commit matches stock Git
Inspection and Comparison	name-rev	--all	<empty>	<none>	linear history with branch, remote-tracking ref and lightweight tag	local	all	git name-rev --all	open	tools/git-name-rev-schema-gap-probe.sh::name_rev_all	stock Git and Zmin both exit 0 and name the same commits, but stdout order differs under exact oracle comparison
