group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	check-attr	<attribute>	text diff custom	single path attribute query	.gitattributes with set and valued attrs	local	all	git check-attr text diff custom -- main.rs	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	prints set boolean and valued attributes for a matching path like stock Git
Plumbing Commands	check-attr	<positional:args>	1..	single path attribute query	.gitattributes with set and valued attrs	local	all	git check-attr text diff custom -- main.rs	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	explicit positional args row closes the schema surface for attribute names plus path arguments
Plumbing Commands	check-attr	<attribute>	text binary	single path attribute query	.gitattributes with unset and set attrs	local	all	git check-attr text binary -- file.bin	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	prints unset and set attributes for a matching binary path like stock Git
Plumbing Commands	check-attr	<attribute>	linguist-documentation	directory pattern attribute query	.gitattributes directory pattern	local	all	git check-attr linguist-documentation -- docs/a.md	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	prints directory-pattern attribute matches like stock Git
Plumbing Commands	check-attr	<attribute>	diff	unspecified attribute query	.gitattributes unspecified attr rule	local	all	git check-attr diff -- readme.md	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	prints unspecified attributes like stock Git
Plumbing Commands	check-attr	--stdin	<empty>	stdin paths with attributes	.gitattributes with multiple paths	local	all	printf 'main.rs\nfile.bin\n' | git check-attr --stdin text diff	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	reads paths from stdin and prints attribute rows like stock Git
Plumbing Commands	check-attr	--all	<empty>	all attrs for path	.gitattributes with set, valued and custom attrs	local	all	git check-attr --all -- main.rs	closed	tools/git-check-attr-oracle-smoke.sh::check_attr_all	all-attributes query prints stock ordered rows and leaves worktree status unchanged
Plumbing Commands	check-attr	-a	<empty>	all attrs for path	.gitattributes with binary macro attrs	local	all	git check-attr -a -- file.bin	closed	tools/git-check-attr-oracle-smoke.sh::check_attr_short_all	short all-attributes query prints stock binary macro rows and leaves worktree status unchanged
Plumbing Commands	check-attr	--all	<empty>	--stdin all attrs	.gitattributes with multiple paths	local	all	printf 'main.rs\nfile.bin\n' | git check-attr --stdin --all	closed	tools/git-check-attr-oracle-smoke.sh::check_attr_stdin_all	stdin all-attributes query prints stock ordered rows for each path and leaves worktree status unchanged
Plumbing Commands	check-attr	--cached	<empty>	attribute query from index	committed .gitattributes differs from worktree	local	all	git check-attr --cached text diff -- main.rs	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	cached mode reads .gitattributes from the index instead of the worktree
Plumbing Commands	check-attr	--source	HEAD	attribute query from tree-ish	committed .gitattributes differs from worktree	local	all	git check-attr --source=HEAD text diff -- main.rs	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	source mode reads .gitattributes from the named tree-ish instead of the worktree
Plumbing Commands	check-attr	--source	HEAD	separated tree-ish value	committed .gitattributes differs from worktree	local	all	git check-attr --source HEAD text diff -- main.rs	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	separated source tree-ish value matches stock Git output
Plumbing Commands	check-attr	-z	<empty>	nul-delimited attribute query	committed .gitattributes differs from worktree	local	all	git check-attr -z text diff -- main.rs	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	z mode prints NUL-delimited machine-readable output for explicit attribute queries
Plumbing Commands	check-attr	-z	<empty>	--all nul-delimited query	committed .gitattributes differs from worktree	local	all	git check-attr --all -z -- main.rs	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	z mode with all prints stock-ordered NUL-delimited attribute rows
Plumbing Commands	check-attr	-z	<empty>	--stdin nul-delimited input and output	committed .gitattributes differs from worktree	local	all	printf 'main.rs\0file.bin\0' | git check-attr --stdin -z text diff	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	z mode with stdin switches input and output delimiters to NUL like stock Git
Plumbing Commands	check-attr	--source	HEAD	--all -z tree-ish query	committed .gitattributes differs from worktree	local	all	git check-attr --source=HEAD --all -z -- main.rs	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	source all z query uses tree-ish attributes and machine-readable output like stock Git
Plumbing Commands	check-attr	--cached	<empty>	-z attribute query from index	committed .gitattributes differs from worktree	local	all	git check-attr --cached -z text diff -- main.rs	closed	git_text_tools_compat::check_attr_matches_stock_git_for_common_attributes	cached z query reads index attributes and prints machine-readable output like stock Git
