group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	write-tree	<none>	<empty>	<none>	index with root file and nested file	local	all	git write-tree	closed	git_object_plumbing_compat::write_tree_and_commit_tree_match_stock_git_objects	default write-tree object id matches stock Git for staged index contents
Plumbing Commands	write-tree	--prefix	src	<none>	index with root file and nested file	local	all	git write-tree --prefix=src	closed	git_object_plumbing_compat::write_tree_and_commit_tree_match_stock_git_objects	prefix-limited tree object id matches stock Git for staged nested contents
Plumbing Commands	write-tree	--prefix	src	space-separated value	index with root file and nested file	local	all	git write-tree --prefix src	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_prefix_space_value	space-separated prefix value stdout, stderr and exit status match stock Git
Plumbing Commands	write-tree	--prefix	src/	<none>	index with root file and nested file	local	all	git write-tree --prefix=src/	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_prefix_trailing_slash	trailing-slash prefix stdout, stderr and exit status match stock Git
Plumbing Commands	write-tree	--prefix	<empty>	<none>	index with root file and nested file	local	all	git write-tree --prefix=	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_prefix_empty	empty prefix stdout, stderr and exit status match stock Git
Plumbing Commands	write-tree	--prefix	src//inner	<none>	index with nested prefix and repeated slash	local	all	git write-tree --prefix=src//inner	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_prefix_double_slash	repeated-slash nested prefix stdout, stderr and exit status match stock Git
Plumbing Commands	write-tree	--prefix	src///inner	<none>	index with nested prefix and repeated slashes	local	all	git write-tree --prefix=src///inner	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_prefix_triple_slash	triple-slash nested prefix stdout, stderr and exit status match stock Git
Plumbing Commands	write-tree	--missing-ok	<empty>	<none>	index references missing blob object	local	all	git write-tree --missing-ok	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_missing_ok	missing-ok writes a tree for an index entry whose blob object is absent and matches stock stdout, stderr and tree object type
Plumbing Commands	write-tree	--missing-ok	<empty>	--prefix=src	index with nested prefix and missing blob object	local	all	git write-tree --missing-ok --prefix=src	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_missing_ok_prefix	missing-ok plus prefix stdout, stderr and exit status match stock Git
Plumbing Commands	write-tree	--prefix	src	--missing-ok	index with nested prefix and missing blob object	local	all	git write-tree --prefix=src --missing-ok	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_prefix_missing_ok	prefix plus missing-ok stdout, stderr and exit status match stock Git
Plumbing Commands	write-tree	--no-missing-ok	<empty>	<none>	index with root file and nested file	local	all	git write-tree --no-missing-ok	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_no_missing_ok	no-missing-ok stdout, stderr and exit status match stock Git
Plumbing Commands	write-tree	--missing-ok	<empty>	--no-missing-ok	index with root file and nested file	local	all	git write-tree --missing-ok --no-missing-ok	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_missing_ok_then_no_missing_ok	missing-ok then no-missing-ok stdout, stderr and exit status match stock Git
Plumbing Commands	write-tree	--no-missing-ok	<empty>	--missing-ok	index with root file and nested file	local	all	git write-tree --no-missing-ok --missing-ok	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_no_missing_ok_then_missing_ok	no-missing-ok then missing-ok stdout, stderr and exit status match stock Git
Plumbing Commands	write-tree	--missing-ok	<empty>	repeated --missing-ok	index with root file and nested file	local	all	git write-tree --missing-ok --missing-ok	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_missing_ok_repeated	repeated missing-ok stdout, stderr and exit status match stock Git
Plumbing Commands	write-tree	--no-prefix	<empty>	<none>	index with root file and nested file	local	all	git write-tree --no-prefix	closed	tools/git-write-tree-schema-oracle-smoke.sh::write_tree_no_prefix	no-prefix stdout, stderr and exit status match stock Git
