reference_group	command	option	value	combination	repository_state	transport	platform	example	status	evidence	notes
Other Git 2.47 commands	svn	<positional:args>	unknown	unknown SVN subcommand outside repository	outside repository	local	macos	git svn unknown	closed	tools/git-foreign-helper-positional-gap-probe.sh::svn_positional_unknown	unavailable helper exits 1 with exact macOS not-a-git-command stderr including similar-command suggestions, empty stdout and no repository side effects matching stock Git
Other Git 2.47 commands	svn	clone	<url> <target>	plain clone	fake SVN tree with nested file	local	all	git svn clone <url> <target>	closed	git_foreign_scm_compat::svn_clone_imports_head_tree_into_git_svn_ref_and_worktree	fake-SVN import now matches stock `git svn clone` for imported worktree contents, `refs/remotes/git-svn`, branch ref and `svn-remote.svn.url` config when a real stock `git-svn` oracle is provided
Other Git 2.47 commands	svn	-r	2	plain clone at bounded historical trunk revision	real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn clone -r 2 <trunk-url> <target>	closed	git_foreign_scm_compat::svn_clone_revision_option_family_matches_stock_git	real-SVN historical clone now matches the current bounded stock surface for revision-selected imported worktree contents, `refs/remotes/git-svn` tree content, local default branch selection under the test env, and persisted `svn-remote.svn.url` config without widening into full svn history replay
Other Git 2.47 commands	svn	--revision	2	plain clone at bounded historical trunk revision	real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn clone --revision 2 <trunk-url> <target>	closed	git_foreign_scm_compat::svn_clone_revision_option_family_matches_stock_git	long revision spelling now matches the same bounded stock historical-clone surface as `-r 2`
Other Git 2.47 commands	svn	--shared	true	plain init with explicit shared repository mode	empty target directory for bounded svn init lane	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn init --shared=true file:///tmp/zmin-svn-init <target>	closed	git_foreign_scm_compat::svn_init_option_family_matches_stock_git	shared init now matches stock Git for the bounded local svn init lane, including silent exit, `core.sharedRepository` config, `svn-remote.svn.*` config, HEAD shape, hook inventory, and unchanged empty worktree state
Other Git 2.47 commands	svn	--template	<template-dir>	plain init with explicit template directory	empty target directory plus local template dir for bounded svn init lane	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn init --template=<template-dir> file:///tmp/zmin-svn-init <target>	closed	git_foreign_scm_compat::svn_init_option_family_matches_stock_git	template init now matches stock Git for the bounded local svn init lane, including silent exit, template hook/config materialization, `svn-remote.svn.*` config, HEAD shape, and unchanged empty worktree state
Other Git 2.47 commands	svn	dcommit	<empty>	after one add, one edit and one delete	git-svn cloned worktree with committed local changes	local	all	git svn dcommit	closed	git_foreign_scm_compat::svn_dcommit_adds_deletes_commits_and_updates_git_svn_ref	fake-SVN submit flow now matches stock `git svn dcommit` for add/edit/delete commit behavior and `refs/remotes/git-svn` update when a real stock `git-svn` oracle is provided
Other Git 2.47 commands	svn	-n	<empty>	after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit -n	closed	git_foreign_scm_compat::svn_dcommit_dry_run_option_family_matches_stock_git	dry-run now matches the bounded stock transcript shape for the current one-commit-ahead local change lane, including the `Committing to ...` prelude, `diff-tree <head>~1 <head>` body, zero stderr, zero exit, and no helper side effects
Other Git 2.47 commands	svn	--dry-run	<empty>	after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --dry-run	closed	git_foreign_scm_compat::svn_dcommit_dry_run_option_family_matches_stock_git	long dry-run spelling now matches the same bounded stock dry-run transcript surface as `-n`
Other Git 2.47 commands	svn	-q	<empty>	-n after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit -q -n	closed	git_foreign_scm_compat::svn_dcommit_dry_run_option_family_matches_stock_git	short quiet spelling is stock-compatible as a no-op on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	--quiet	<empty>	--dry-run after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --quiet --dry-run	closed	git_foreign_scm_compat::svn_dcommit_dry_run_option_family_matches_stock_git	long quiet spelling is stock-compatible as a no-op on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	-e	<empty>	-n after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit -n -e	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	short edit spelling is stock-compatible as a no-op on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	--edit	<empty>	--dry-run after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --dry-run --edit	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	long edit spelling is stock-compatible as a no-op on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	--rmdir	<empty>	--dry-run after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --dry-run --rmdir	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	rmdir is stock-compatible as a no-op on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	-l	3	-n after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit -n -l3	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	short find-copies-harder window spelling is stock-compatible on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	--find-copies-harder	<empty>	--dry-run after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --dry-run --find-copies-harder	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	long find-copies-harder spelling is stock-compatible as a no-op on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	-m	<empty>	-n after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit -n -m	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	short merge-backend spelling is stock-compatible as a no-op on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	--merge	<empty>	--dry-run after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --dry-run --merge	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	long merge-backend spelling is stock-compatible as a no-op on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	-s	recursive	-n after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit -n -s recursive	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	short strategy spelling is stock-compatible on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	--strategy	recursive	--dry-run after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --dry-run --strategy recursive	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	long strategy spelling is stock-compatible on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	-A	<authors-file>	-n after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history and a matching authors map	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit -n -A <authors-file>	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	short authors-file spelling is stock-compatible as a no-op on the current bounded dry-run dcommit lane when the authors map already resolves the bounded SVN author
Other Git 2.47 commands	svn	--authors-file	<authors-file>	--dry-run after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history and a matching authors map	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --dry-run --authors-file <authors-file>	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	long authors-file spelling is stock-compatible as a no-op on the current bounded dry-run dcommit lane when the authors map already resolves the bounded SVN author
Other Git 2.47 commands	svn	--authors-prog	<authors-prog>	--dry-run after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history and a matching authors helper	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --dry-run --authors-prog <authors-prog>	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	authors-prog is stock-compatible as a no-op on the current bounded dry-run dcommit lane when the helper resolves the bounded SVN author
Other Git 2.47 commands	svn	--use-log-author	<empty>	--dry-run after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --dry-run --use-log-author	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	use-log-author is stock-compatible as a no-op on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	--add-author-from	<empty>	--dry-run after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --dry-run --add-author-from	closed	git_foreign_scm_compat::svn_dcommit_noop_option_family_matches_stock_git	add-author-from is stock-compatible as a no-op on the current bounded dry-run dcommit lane
Other Git 2.47 commands	svn	-p	<empty>	-n after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit -n -p	invalid-input	git_foreign_scm_compat::svn_dcommit_rebase_merges_option_family_matches_stock_git	short rebase-merges alias is rejected with the stock unknown-option stderr and nonzero exit before the bounded dry-run dcommit lane can proceed
Other Git 2.47 commands	svn	--rebase-merges	<empty>	--dry-run after one add, one edit and one delete	git-svn cloned worktree with committed local changes against real local SVN trunk history	local	unix	ZMIN_STOCK_GIT=/tmp/.../git svn dcommit --dry-run --rebase-merges	invalid-input	git_foreign_scm_compat::svn_dcommit_rebase_merges_option_family_matches_stock_git	long rebase-merges spelling is rejected with the stock unknown-option stderr and nonzero exit before the bounded dry-run dcommit lane can proceed
