group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Debugging	bisect	visualize option	--bad	invalid log option	bisect session	local	all	git bisect visualize --bad	invalid-input	git_bisect_invalid_compat::bisect_visualize_unknown_option_matches_stock_git	unknown visualize log option exits 128 with stock fatal diagnostic instead of a custom unsupported-option fatal diagnostic
Debugging	bisect	<positional:args>	start HEAD HEAD~4	linear history start range	linear five-commit history	local	all	git bisect start HEAD HEAD~4	closed	git_sequencer_compat::bisect_matches_stock_git_for_linear_history	bisect start with bad and good commit positional args selects the same candidate HEAD as stock Git
Debugging	bisect	terms	<empty>	plain terms outside active session	healthy repository	local	all	git bisect terms	closed	git_sequencer_compat::bisect_terms_next_skip_and_replay_match_stock_git_state	terms output outside an active session matches stock Git
Debugging	bisect	terms	<empty>	active session after start	active bisect session on linear history	local	all	git bisect terms	closed	git_sequencer_compat::bisect_terms_next_skip_and_replay_match_stock_git_state	terms output during an active session matches stock Git after start
Debugging	bisect	skip	<empty>	active session after start	active bisect session on linear history	local	all	git bisect skip	closed	git_sequencer_compat::bisect_terms_next_skip_and_replay_match_stock_git_state	skip advances to the same next candidate and records the same bisect log entry as stock Git
Debugging	bisect	next	<empty>	after skip	active bisect session on linear history	local	all	git bisect next	closed	git_sequencer_compat::bisect_terms_next_skip_and_replay_match_stock_git_state	next advances to the same candidate after skip like stock Git
Debugging	bisect	replay	bisect.log	replay saved start log	clean repository with saved bisect log	local	all	git bisect replay bisect.log	closed	git_sequencer_compat::bisect_terms_next_skip_and_replay_match_stock_git_state	replay restores bisect state from a saved log and emits stock-equivalent bisect log contents
Debugging	bisect	--term-old	fixed	start --term-new=broken HEAD HEAD~4	linear five-commit history	local	all	git bisect start --term-old=fixed --term-new=broken HEAD HEAD~4	closed	git_sequencer_compat::bisect_custom_terms_and_skip_range_match_stock_git_state	custom old/new terms are accepted and reported like stock Git
Debugging	bisect	--term-new	broken	start --term-old=fixed HEAD HEAD~4	linear five-commit history	local	all	git bisect start --term-old=fixed --term-new=broken HEAD HEAD~4	closed	git_sequencer_compat::bisect_custom_terms_and_skip_range_match_stock_git_state	custom old/new terms are accepted and reported like stock Git
Debugging	bisect	fixed	<empty>	custom terms session	active bisect session with fixed/broken labels	local	all	git bisect fixed	closed	git_sequencer_compat::bisect_custom_terms_and_skip_range_match_stock_git_state	custom good-term alias advances to the same candidate like stock Git
Debugging	bisect	terms	--term-good	custom terms session	active bisect session with fixed/broken labels	local	all	git bisect terms --term-good	closed	git_sequencer_compat::bisect_custom_terms_and_skip_range_match_stock_git_state	term-good reports the same effective label under custom terms like stock Git
Debugging	bisect	terms	--term-bad	custom terms session	active bisect session with fixed/broken labels	local	all	git bisect terms --term-bad	closed	git_sequencer_compat::bisect_custom_terms_and_skip_range_match_stock_git_state	term-bad reports the same effective label under custom terms like stock Git
Debugging	bisect	skip	HEAD~2..HEAD	active session with revision range	active bisect session on linear history	local	all	git bisect skip HEAD~2..HEAD	closed	git_sequencer_compat::bisect_custom_terms_and_skip_range_match_stock_git_state	revision-range skip marks the same candidate set and lands on the same next HEAD as stock Git
Debugging	bisect	skip	<empty>	only skipped commits remain	active bisect session on three-commit narrowed range	local	all	git bisect skip	closed	git_sequencer_compat::bisect_skip_reports_skipped_only_candidates_like_stock_git	when only skipped commits remain, bisect reports the same skipped-only summary and possible first bad commit text as stock Git
Debugging	bisect	-h	<empty>	help short option	healthy repository	local	all	git bisect -h	closed	git_sequencer_compat::bisect_help_view_no_checkout_and_pathspec_cover_stable_modes	short help output matches stock Git
Debugging	bisect	help	<empty>	help subcommand outside session	healthy repository	local	all	git bisect help	closed	git_sequencer_compat::bisect_help_view_no_checkout_and_pathspec_cover_stable_modes	help subcommand output outside a session matches stock Git
Debugging	bisect	view	--oneline	active session after start	active bisect session on linear history	local	all	git bisect view --oneline	closed	git_sequencer_compat::bisect_help_view_no_checkout_and_pathspec_cover_stable_modes	view forwards stable log options through the active session like stock Git
Debugging	bisect	--no-checkout	<empty>	start HEAD HEAD~4	linear five-commit history	local	all	git bisect start --no-checkout HEAD HEAD~4	closed	git_sequencer_compat::bisect_help_view_no_checkout_and_pathspec_cover_stable_modes	no-checkout keeps HEAD fixed and updates BISECT_HEAD like stock Git, including after skip
Debugging	bisect	<pathspec>	a.txt	start HEAD HEAD~4 -- a.txt	linear five-commit history	local	all	git bisect start HEAD HEAD~4 -- a.txt	closed	git_sequencer_compat::bisect_help_view_no_checkout_and_pathspec_cover_stable_modes	pathspec-scoped start selects the same candidate commit like stock Git
Debugging	bisect	<pathspec>	missing.txt	start HEAD HEAD~4 -- missing.txt	linear five-commit history	local	all	git bisect start HEAD HEAD~4 -- missing.txt	closed	git_sequencer_compat::bisect_help_view_no_checkout_and_pathspec_cover_stable_modes	missing pathspec rejection matches stock Git and does not leave bisect control files behind
Debugging	bisect	--first-parent	<empty>	start HEAD HEAD~2	first-parent merge history	local	all	git bisect start --first-parent HEAD HEAD~2	closed	git_sequencer_compat::bisect_first_parent_limits_candidates_to_first_parent_chain	first-parent mode limits candidate traversal to the first-parent chain and writes the same BISECT_FIRST_PARENT state as stock Git
