group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Inspection and Comparison	range-diff	<none>	<empty>	main..old main..new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff main..old main..new	closed	git_mail_series_compat::range_diff_matches_stock_git_for_patch_equivalence	default two-range output matches stock Git
Inspection and Comparison	range-diff	<ranges>	main..old main..new	two-range positional form	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff main..old main..new	closed	git_mail_series_compat::range_diff_matches_stock_git_for_patch_equivalence	positional revision ranges are parsed and rendered with stdout matching stock Git
Inspection and Comparison	range-diff	<none>	<empty>	main old new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff main old new	closed	git_mail_series_compat::range_diff_matches_stock_git_for_patch_equivalence	three-argument output matches stock Git
Inspection and Comparison	range-diff	--no-dual-color	<empty>	main..old main..new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff --no-dual-color main..old main..new	closed	git_mail_series_compat::range_diff_matches_stock_git_for_patch_equivalence	no-dual-color output matches stock Git
Inspection and Comparison	range-diff	--no-dual-color	<empty>	--no-dual-color main..old main..new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff --no-dual-color --no-dual-color main..old main..new	closed	tools/git-range-diff-schema-oracle-smoke.sh::range_diff_no_dual_color_repeated	repeated no-dual-color is accepted and output matches stock Git
Inspection and Comparison	range-diff	--no-dual-color	true	main..old main..new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff --no-dual-color=true main..old main..new	invalid-input	tools/git-range-diff-schema-oracle-smoke.sh::range_diff_no_dual_color_rejects_value	stock Git rejects values for no-dual-color with exit 129 and matching stderr
Inspection and Comparison	range-diff	--no-dual-color	<empty-string>	main..old main..new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff --no-dual-color= main..old main..new	invalid-input	tools/git-range-diff-schema-oracle-smoke.sh::range_diff_no_dual_color_rejects_empty_value	stock Git rejects empty values for no-dual-color with exit 129 and matching stderr
Inspection and Comparison	range-diff	--no-no-dual-color	<empty>	main..old main..new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff --no-no-dual-color main..old main..new	closed	tools/git-range-diff-schema-oracle-smoke.sh::range_diff_no_no_dual_color	negated no-dual-color form emits colorized stdout with exit and stderr matching stock Git
Inspection and Comparison	range-diff	--creation-factor	70	main..old main..new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff --creation-factor=70 main..old main..new	closed	git_mail_series_compat::range_diff_documented_tail_matches_stock_git	creation-factor is accepted and preserves the stock range-diff output on the current local patch-equivalence fixture
Inspection and Comparison	range-diff	--left-only	<empty>	main..old main..new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff --left-only main..old main..new	closed	git_mail_series_compat::range_diff_documented_tail_matches_stock_git	left-only preserves matched rows and suppresses right-only additions like stock Git on the current local patch-equivalence fixture
Inspection and Comparison	range-diff	--no-notes	<empty>	main..old main..new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff --no-notes main..old main..new	closed	git_mail_series_compat::range_diff_documented_tail_matches_stock_git	no-notes is accepted and preserves the stock range-diff output on the current local patch-equivalence fixture
Inspection and Comparison	range-diff	--notes	<empty>	main..old main..new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff --notes main..old main..new	closed	git_mail_series_compat::range_diff_documented_tail_matches_stock_git	notes is accepted and preserves the stock range-diff output on the current local patch-equivalence fixture
Inspection and Comparison	range-diff	--right-only	<empty>	main..old main..new	two local topic ranges with one equivalent patch and one changed patch	local	all	git range-diff --right-only main..old main..new	closed	git_mail_series_compat::range_diff_documented_tail_matches_stock_git	right-only preserves matched rows and suppresses left-only removals like stock Git on the current local patch-equivalence fixture
