group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Sharing and Updating Projects	remote	add	origin https://example.com/repo.git	local config write	local repository	local	all	git remote add origin https://example.com/repo.git	closed	git_admin_tools_compat::remote_config_commands_match_stock_git	add writes remote config used by later stock-equivalent queries
Sharing and Updating Projects	remote	<none>	<empty>	list remotes	local repository with origin	local	all	git remote	closed	git_admin_tools_compat::remote_config_commands_match_stock_git	remote name list matches stock Git
Sharing and Updating Projects	remote	-v	<empty>	verbose list	local repository with origin	local	all	git remote -v	closed	git_admin_tools_compat::remote_config_commands_match_stock_git	verbose fetch/push URL listing matches stock Git
Sharing and Updating Projects	remote	get-url	origin	read remote URL	local repository with origin	local	all	git remote get-url origin	closed	git_admin_tools_compat::remote_config_commands_match_stock_git	get-url output matches stock Git
Sharing and Updating Projects	remote	set-url	origin https://example.com/renamed.git	update remote URL	local repository with origin	local	all	git remote set-url origin https://example.com/renamed.git	closed	git_admin_tools_compat::remote_config_commands_match_stock_git	set-url updates local config like stock Git
Sharing and Updating Projects	remote	rename	origin upstream	branch config rewrite	local repository with branch upstream config	local	all	git remote rename origin upstream	closed	git_admin_tools_compat::remote_config_commands_match_stock_git	rename updates remote and branch config like stock Git
Sharing and Updating Projects	remote	-v	<empty>	after rename	local repository with upstream remote	local	all	git remote -v	closed	git_admin_tools_compat::remote_config_commands_match_stock_git	verbose list after rename matches stock Git
Sharing and Updating Projects	remote	remove	upstream	remove remote config	local repository with upstream remote	local	all	git remote remove upstream	closed	git_admin_tools_compat::remote_config_commands_match_stock_git	remove deletes remote config like stock Git
Sharing and Updating Projects	remote	<none>	<empty>	after remove	local repository without remotes	local	all	git remote	closed	git_admin_tools_compat::remote_config_commands_match_stock_git	empty remote list after remove matches stock Git
Sharing and Updating Projects	remote	show	-n origin	offline summary	local clone with stale remote-tracking branch	local	all	git remote show -n origin	closed	git_admin_tools_compat::remote_show_and_prune_match_stock_git_for_local_remote	offline remote summary matches stock Git
Sharing and Updating Projects	remote	prune	-n origin	dry-run prune	local clone with stale remote-tracking branch	local	all	git remote prune -n origin	closed	git_admin_tools_compat::remote_show_and_prune_match_stock_git_for_local_remote	dry-run prune output matches stock Git without mutating refs
Sharing and Updating Projects	remote	prune	origin	delete stale remote-tracking refs	local clone with stale remote-tracking branch	local	all	git remote prune origin	closed	git_admin_tools_compat::remote_show_and_prune_match_stock_git_for_local_remote	prune output and remote-tracking branch side effects match stock Git
Sharing and Updating Projects	remote	prune	missing	unknown remote	local clone with origin only	local	all	git remote prune missing	invalid-input	git_admin_tools_compat::remote_show_and_prune_match_stock_git_for_local_remote	unknown remote failure output matches stock Git
Sharing and Updating Projects	remote	set-branches	origin main dev	replace tracked branches	local repository with origin remote	local	all	git remote set-branches origin main dev	closed	git_admin_tools_compat::remote_set_branches_matches_stock_git_config	remote.origin.fetch config matches stock Git after replacing tracked branches
Sharing and Updating Projects	remote	set-branches	--add origin release	append tracked branch	local repository with origin remote and fetch refspecs	local	all	git remote set-branches --add origin release	closed	git_admin_tools_compat::remote_set_branches_matches_stock_git_config	remote.origin.fetch config matches stock Git after appending a tracked branch
Sharing and Updating Projects	remote	set-branches	origin	clear explicit tracked branches	local repository with origin remote and fetch refspecs	local	all	git remote set-branches origin	closed	git_admin_tools_compat::remote_set_branches_matches_stock_git_config	local config list matches stock Git after no-branch reset
Sharing and Updating Projects	remote	set-branches	missing main	unknown remote	local repository with origin only	local	all	git remote set-branches missing main	invalid-input	git_admin_tools_compat::remote_set_branches_matches_stock_git_config	unknown remote failure output matches stock Git
Sharing and Updating Projects	remote	set-url	origin https://example.com/newer.git https://example.com/new.git	replace matching URL	local repository with origin remote	local	all	git remote set-url origin https://example.com/newer.git https://example.com/new.git	closed	git_admin_tools_compat::remote_set_url_variants_match_stock_git_config	local config matches stock Git after replacing a matching fetch URL
Sharing and Updating Projects	remote	set-url	--add origin https://mirror.example.com/repo.git	append fetch URL	local repository with origin remote	local	all	git remote set-url --add origin https://mirror.example.com/repo.git	closed	git_admin_tools_compat::remote_set_url_variants_match_stock_git_config	local config matches stock Git after appending a fetch URL
Sharing and Updating Projects	remote	set-url	--delete origin https://mirror.example.com/repo.git	delete fetch URL	local repository with origin remote and extra fetch URL	local	all	git remote set-url --delete origin https://mirror.example.com/repo.git	closed	git_admin_tools_compat::remote_set_url_variants_match_stock_git_config	local config matches stock Git after deleting a fetch URL
Sharing and Updating Projects	remote	set-url	--push origin https://push.example.com/repo.git	set push URL	local repository with origin remote	local	all	git remote set-url --push origin https://push.example.com/repo.git	closed	git_admin_tools_compat::remote_set_url_variants_match_stock_git_config	local config matches stock Git after setting a push URL
Sharing and Updating Projects	remote	set-url	--push --add origin https://push2.example.com/repo.git	append push URL	local repository with origin remote and push URL	local	all	git remote set-url --push --add origin https://push2.example.com/repo.git	closed	git_admin_tools_compat::remote_set_url_variants_match_stock_git_config	local config matches stock Git after appending a push URL
Sharing and Updating Projects	remote	set-url	--push --delete origin https://push2.example.com/repo.git	delete push URL	local repository with origin remote and extra push URL	local	all	git remote set-url --push --delete origin https://push2.example.com/repo.git	closed	git_admin_tools_compat::remote_set_url_variants_match_stock_git_config	local config matches stock Git after deleting a push URL
Sharing and Updating Projects	remote	set-url	missing https://example.com/repo.git	unknown remote	local repository with origin only	local	all	git remote set-url missing https://example.com/repo.git	invalid-input	git_admin_tools_compat::remote_set_url_variants_match_stock_git_config	unknown remote failure output matches stock Git
Sharing and Updating Projects	remote	set-url	origin https://nomatch.example.com/repo.git https://absent.example.com/repo.git	no matching old URL	local repository with origin URL that does not match old URL	local	all	git remote set-url origin https://nomatch.example.com/repo.git https://absent.example.com/repo.git	invalid-input	git_admin_tools_compat::remote_set_url_variants_match_stock_git_config	no-matching-URL failure output matches stock Git
Sharing and Updating Projects	remote	update	<empty>	default update	local clone with origin and stale remote-tracking branch	local	all	git remote update	closed	git_admin_tools_compat::remote_update_matches_stock_git_for_local_remotes	update output and remote-tracking branch side effects match stock Git
Sharing and Updating Projects	remote	update	-p	default update with prune	local clone with origin and stale remote-tracking branch	local	all	git remote update -p	closed	git_admin_tools_compat::remote_update_matches_stock_git_for_local_remotes	pruning update output and remote-tracking branch side effects match stock Git
Sharing and Updating Projects	remote	update	missing	unknown remote	local clone with origin only	local	all	git remote update missing	invalid-input	git_admin_tools_compat::remote_update_matches_stock_git_for_local_remotes	unknown remote failure output matches stock Git
Sharing and Updating Projects	remote	update	team	named remotes group	local clone with remotes.team containing origin and backup	local	all	git remote update team	closed	git_admin_tools_compat::remote_update_matches_stock_git_for_local_remotes	named remotes group update output and refs match stock Git
Sharing and Updating Projects	remote	update	broken	named group with missing remote	local clone with remotes.broken containing origin and missing	local	all	git remote update broken	invalid-input	git_admin_tools_compat::remote_update_matches_stock_git_for_local_remotes	broken remotes group failure output matches stock Git
Sharing and Updating Projects	remote	update	<empty>	skipDefaultUpdate	local clone with backup skipDefaultUpdate true	local	all	git remote update	closed	git_admin_tools_compat::remote_update_matches_stock_git_for_local_remotes	default update respects remote.*.skipDefaultUpdate like stock Git
Sharing and Updating Projects	remote	update	<empty>	remotes.default group	local clone with remotes.default=backup	local	all	git remote update	closed	git_admin_tools_compat::remote_update_matches_stock_git_for_local_remotes	default remotes group update output and refs match stock Git
