group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Email	am	<none>	patch file from stock format-patch	two-patch series applied from reset base	local branch with two pending mail patches	local	all	git am stock-patches/0001-add-alpha.patch && git am stock-patches/0002-update-alpha.patch	closed	git_mail_series_compat::am_applies_stock_format_patch_mail_like_stock_git	applies stock format-patch mails with matching final tree, author/subject log and clean status like stock Git
Email	am	<positional:patches>	stock-patches/0001-add-alpha.patch stock-patches/0002-update-alpha.patch	two-patch series applied from reset base	local branch with two pending mail patches	local	all	git am stock-patches/0001-add-alpha.patch && git am stock-patches/0002-update-alpha.patch	closed	git_mail_series_compat::am_applies_stock_format_patch_mail_like_stock_git	patch file positional surface applies stock format-patch mails with matching final tree, author/subject log and clean status like stock Git
Email	am	--quiet	stock-patches/0001-update-alpha.patch	single mail patch from reset base	local branch with one pending mail patch	local	all	git am --quiet stock-patches/0001-update-alpha.patch	closed	git_mail_series_compat::am_option_surface_batch_matches_stock_git	quiet is accepted on the helper-free single-mail lane and suppresses the stock Applying line while preserving matching tree, commit message, and clean status
Email	am	-q	stock-patches/0001-update-alpha.patch	single mail patch from reset base	local branch with one pending mail patch	local	all	git am -q stock-patches/0001-update-alpha.patch	closed	git_mail_series_compat::am_option_surface_batch_matches_stock_git	short quiet alias is accepted on the helper-free single-mail lane and suppresses the stock Applying line while preserving matching tree, commit message, and clean status
Email	am	--utf8	stock-patches/0001-update-alpha.patch	single mail patch from reset base	local branch with one pending mail patch	local	all	git am --utf8 stock-patches/0001-update-alpha.patch	closed	git_mail_series_compat::am_option_surface_batch_matches_stock_git	utf8 is accepted on the helper-free single-mail lane and preserves stock stdout, stderr, tree, commit message, and clean status
Email	am	--no-utf8	stock-patches/0001-update-alpha.patch	single mail patch from reset base	local branch with one pending mail patch	local	all	git am --no-utf8 stock-patches/0001-update-alpha.patch	closed	git_mail_series_compat::am_option_surface_batch_matches_stock_git	no-utf8 is accepted on the helper-free single-mail lane and preserves stock stdout, stderr, tree, commit message, and clean status
Email	am	--keep	stock-patches/0001-update-alpha.patch	single mail patch from reset base	local branch with one pending mail patch	local	all	git am --keep stock-patches/0001-update-alpha.patch	closed	git_mail_series_compat::am_option_surface_batch_matches_stock_git	keep is accepted on the helper-free single-mail lane and preserves the stock [PATCH] subject in both Applying output and commit message
Email	am	-k	stock-patches/0001-update-alpha.patch	single mail patch from reset base	local branch with one pending mail patch	local	all	git am -k stock-patches/0001-update-alpha.patch	closed	git_mail_series_compat::am_option_surface_batch_matches_stock_git	short keep alias is accepted on the helper-free single-mail lane and preserves the stock [PATCH] subject in both Applying output and commit message
Email	am	--keep-non-patch	stock-patches/0001-update-alpha.patch	single mail patch from reset base	local branch with one pending mail patch	local	all	git am --keep-non-patch stock-patches/0001-update-alpha.patch	closed	git_mail_series_compat::am_option_surface_batch_matches_stock_git	keep-non-patch is accepted on the helper-free single-mail lane and preserves stock stdout, stderr, tree, commit message, and clean status
Email	am	--signoff	stock-patches/0001-update-alpha.patch	single mail patch from reset base	local branch with one pending mail patch	local	all	git am --signoff stock-patches/0001-update-alpha.patch	closed	git_mail_series_compat::am_option_surface_batch_matches_stock_git	signoff is accepted on the helper-free single-mail lane and appends the stock Signed-off-by trailer to the created commit message
