group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Administration	repack	-a	<empty>	-d -q	repository with reachable objects and dangling loose object	local	all	git repack -adq	closed	git_maintenance_compat::repack_all_keeps_unreachable_loose_objects_out_of_pack	all-object repack keeps unreachable loose object out of pack like stock Git
Administration	repack	-a	<empty>	repeated -d -q reachable objects plus loose duplicates	repository with existing pack and new reachable objects	local	all	git repack -a -a -d -q	closed	git_maintenance_compat::repack_supported_short_option_repetitions_match_stock_git	repeated short all-object form matches stock Git output and repository state
Administration	repack	-d	<empty>	-a -q	repository with reachable objects and dangling loose object	local	all	git repack -adq	closed	git_maintenance_compat::repack_all_keeps_unreachable_loose_objects_out_of_pack	delete-redundant all-object repack preserves unreachable loose object state like stock Git
Administration	repack	-d	<empty>	repeated -a -q reachable objects plus loose duplicates	repository with existing pack and new reachable objects	local	all	git repack -d -d -a -q	closed	git_maintenance_compat::repack_supported_short_option_repetitions_match_stock_git	repeated short delete-redundant form matches stock Git output and repository state
Administration	repack	-q	<empty>	-a -d	repository with reachable objects and dangling loose object	local	all	git repack -adq	closed	git_maintenance_compat::repack_all_keeps_unreachable_loose_objects_out_of_pack	quiet all-object repack side effects match stock Git
Administration	repack	-A	<empty>	-d -q	repository with packed unreachable object after reflog expiry	local	all	git repack -Adq	closed	git_maintenance_compat::repack_loosens_packed_unreachable_objects_like_stock_git	all-and-loosen-unreachable mode leaves unreachable object loose and readable like stock Git
Administration	repack	-A	<empty>	repeated -d -q	repository with packed unreachable object after reflog expiry	local	all	git repack -A -A -d -q	closed	git_maintenance_compat::repack_supported_short_option_repetitions_match_stock_git	repeated short loosen-unreachable form matches stock Git output and repository state
Administration	repack	-A	<empty>	-d -A -q reorder	repository with packed unreachable object after reflog expiry	local	all	git repack -A -d -A -q	closed	git_maintenance_compat::repack_supported_short_option_repetitions_match_stock_git	reordered repeated loosen-unreachable form matches stock Git output and repository state
Administration	repack	-d	<empty>	-A -q	repository with packed unreachable object after reflog expiry	local	all	git repack -Adq	closed	git_maintenance_compat::repack_loosens_packed_unreachable_objects_like_stock_git	delete-redundant loosen-unreachable repack matches stock Git loose/packed object state
Administration	repack	--write-midx	<empty>	-a -d -q	repository with reachable objects	local	all	git repack -adqm	closed	git_maintenance_compat::repack_write_midx_creates_stock_verifiable_multi_pack_index	write-midx repack creates a multi-pack-index verified by stock Git
Administration	repack	-m	<empty>	-a -d -q	repository with reachable objects	local	all	git repack -adqm	closed	git_maintenance_compat::repack_write_midx_creates_stock_verifiable_multi_pack_index	short write-midx repack creates a multi-pack-index verified by stock Git
Administration	repack	-n	<empty>	-m -q	repository with existing multi-pack-index	local	all	git repack -m -n -q	closed	git_maintenance_compat::repack_write_midx_creates_stock_verifiable_multi_pack_index	no-update-server-info with write-midx leaves a stock-verifiable multi-pack-index
Administration	repack	-n	<empty>	repeated -m -q	repository with existing pack and new reachable objects	local	all	git repack -m -n -n -q	closed	git_maintenance_compat::repack_supported_short_option_repetitions_match_stock_git	repeated short no-update-server-info form matches stock Git output and repository state
Administration	repack	--no-write-midx	<empty>	-a -d -q -m	repository with reachable objects	local	all	git repack -adqm --no-write-midx	closed	git_maintenance_compat::repack_negated_bitmap_and_midx_flags_match_stock_git_effects	negated write-midx leaves multi-pack-index existence matching stock Git
Administration	repack	--write-bitmap-index	<empty>	-a -d -q --no-write-bitmap-index	repository with reachable objects	local	all	git repack -adq -b --no-write-bitmap-index	closed	git_maintenance_compat::repack_negated_bitmap_and_midx_flags_match_stock_git_effects	write-bitmap flag with negation leaves repository fsck status matching stock Git
