group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Email	fmt-merge-msg	<none>	<empty>	stdin FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg < FETCH_HEAD	closed	git_mail_tools_compat::fmt_merge_msg_matches_stock_git_for_fetch_head_titles	default merge message output for stdin FETCH_HEAD matches stock Git
Email	fmt-merge-msg	--into-name	trunk	stdin FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg --into-name trunk < FETCH_HEAD	closed	git_mail_tools_compat::fmt_merge_msg_matches_stock_git_for_fetch_head_titles	into-name output for stdin FETCH_HEAD matches stock Git
Email	fmt-merge-msg	-m	Custom merge	stdin FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg -m 'Custom merge' < FETCH_HEAD	closed	git_mail_tools_compat::fmt_merge_msg_matches_stock_git_for_fetch_head_titles	custom message output for stdin FETCH_HEAD matches stock Git
Email	fmt-merge-msg	-F	fetch-head-copy	file input copied from FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg -F fetch-head-copy	closed	git_mail_tools_compat::fmt_merge_msg_matches_stock_git_for_fetch_head_titles	file input merge message output matches stock Git
Email	fmt-merge-msg	--file	FETCH_HEAD	file input copied from FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg --file FETCH_HEAD	closed	tools/git-fmt-merge-msg-schema-oracle-smoke.sh::fmt_merge_msg_file_long	long file spelling compares exit, stdout and stderr with stock Git
Email	fmt-merge-msg	--log	<empty>	stdin FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg --log < FETCH_HEAD	closed	tools/git-fmt-merge-msg-schema-oracle-smoke.sh::fmt_merge_msg_log_long	log spelling compares exit, stdout and stderr with stock Git
Email	fmt-merge-msg	--summary	<empty>	stdin FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg --summary < FETCH_HEAD	closed	git_mail_tools_compat::fmt_merge_msg_summary_synonyms_match_stock_git	summary spelling matches stock Git merge summary output for stdin FETCH_HEAD and behaves like the documented deprecated synonym for --log
Email	fmt-merge-msg	--summary	3	stdin FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg --summary=3 < FETCH_HEAD	closed	git_mail_tools_compat::fmt_merge_msg_summary_synonyms_match_stock_git	summary value form matches stock Git merge summary output for stdin FETCH_HEAD and behaves like the documented deprecated synonym for --log=<n>
Email	fmt-merge-msg	--no-log	<empty>	stdin FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg --no-log < FETCH_HEAD	closed	tools/git-fmt-merge-msg-schema-oracle-smoke.sh::fmt_merge_msg_no_log_long	no-log spelling compares exit, stdout and stderr with stock Git
Email	fmt-merge-msg	--no-summary	<empty>	stdin FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg --no-summary < FETCH_HEAD	closed	git_mail_tools_compat::fmt_merge_msg_summary_synonyms_match_stock_git	no-summary spelling suppresses the merge summary body like stock Git and behaves like the documented deprecated synonym for --no-log
Email	fmt-merge-msg	--summary	<empty>	after --no-summary on stdin FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg --no-summary --summary < FETCH_HEAD	closed	git_mail_tools_compat::fmt_merge_msg_summary_synonyms_match_stock_git	last summary synonym wins after no-summary and restores the merge summary body like stock Git
Email	fmt-merge-msg	--message	Custom merge	stdin FETCH_HEAD	no repository state required	local	all	git fmt-merge-msg --message 'Custom merge' < FETCH_HEAD	closed	tools/git-fmt-merge-msg-schema-oracle-smoke.sh::fmt_merge_msg_message_long	long message spelling output matches stock Git
