group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Debugging	annotate	<positional:args>	a.txt	<none>	tracked file	local	all	git annotate a.txt	closed	git_history_query_compat::blame_and_annotate_match_stock_git_for_simple_linear_history	annotate alias output for a tracked file matches stock Git stdout and exit status
Debugging	annotate	--color-by-age	<empty>	<path>	tracked file local non-tty	local	all	git annotate --color-by-age a.txt	closed	git_history_query_compat::annotate_documented_option_family_matches_stock_git	color-by-age annotate output matches stock Git on the current helper-free local lane
Debugging	annotate	--color-lines	<empty>	<path>	tracked file local non-tty	local	all	git annotate --color-lines a.txt	closed	git_history_query_compat::annotate_documented_option_family_matches_stock_git	color-lines annotate output matches stock Git on the current helper-free local lane
Debugging	annotate	--contents	contents.txt	HEAD -- a.txt with alternate contents overlay	two-commit tracked file plus external contents file	local	all	git annotate --contents contents.txt HEAD -- a.txt	closed	git_history_query_compat::annotate_documented_option_family_matches_stock_git	contents overlay annotate output matches stock Git on the current helper-free local lane
Debugging	annotate	--date	short	<path>	tracked file	local	all	git annotate --date=short a.txt	closed	git_history_query_compat::annotate_documented_option_family_matches_stock_git	short date annotate output matches stock Git on the current helper-free local lane
Debugging	annotate	--encoding	none	<path>	tracked file	local	all	git annotate --encoding=none a.txt	closed	git_history_query_compat::annotate_documented_option_family_matches_stock_git	encoding annotate output matches stock Git on the current helper-free local lane
Debugging	annotate	--first-parent	<empty>	<path>	tracked file	local	all	git annotate --first-parent a.txt	closed	git_history_query_compat::annotate_documented_option_family_matches_stock_git	first-parent annotate output matches stock Git on the current helper-free local lane
Debugging	annotate	--ignore-rev	<HEAD>	<path>	tracked file with HEAD object id available	local	all	git annotate --ignore-rev <head> a.txt	closed	git_history_query_compat::annotate_documented_option_family_matches_stock_git	ignore-rev annotate output matches stock Git on the current helper-free local lane when given the current HEAD object id
Debugging	annotate	--ignore-revs-file	ignore-revs.txt	<path>	tracked file plus ignore-revs file with HEAD object id	local	all	git annotate --ignore-revs-file ignore-revs.txt a.txt	closed	git_history_query_compat::annotate_documented_option_family_matches_stock_git	ignore-revs-file annotate output matches stock Git on the current helper-free local lane when the file contains the current HEAD object id
Debugging	annotate	--incremental	<empty>	<path>	tracked file	local	all	git annotate --incremental a.txt	closed	git_history_query_compat::annotate_documented_option_family_matches_stock_git	incremental annotate output matches stock Git on the current helper-free local lane
Debugging	annotate	--line-porcelain	<empty>	<path>	tracked file	local	all	git annotate --line-porcelain a.txt	closed	git_history_query_compat::annotate_documented_option_family_matches_stock_git	line-porcelain annotate output matches stock Git on the current helper-free local lane
Debugging	annotate	--no-progress	<empty>	<path>	tracked file local non-tty	local	all	git annotate --no-progress a.txt	closed	git_history_query_compat::annotate_documented_option_family_matches_stock_git	no-progress annotate output matches stock Git on the current helper-free local lane
