group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Branching and Merging	tag	<none>	<empty>	<none>	repository with lightweight tag	local	all	git tag	closed	git_refs_compat::tag_create_list_delete_and_annotated_objects_match_stock_git_state	default tag listing matches stock Git after lightweight tag exists
Branching and Merging	tag	<positional:args>	v1.0.0	lightweight tag creation	repository with committed HEAD	local	all	git tag v1.0.0	closed	git_refs_compat::tag_create_list_delete_and_annotated_objects_match_stock_git_state	lightweight tag positional creation leaves tag listing and show-ref output matching stock Git
Branching and Merging	tag	<positional:args>	v1.0.1 -m implicit annotated	implicit annotated tag creation	repository with committed HEAD	local	all	git tag v1.0.1 -m "implicit annotated"	closed	git_refs_compat::tag_create_list_delete_and_annotated_objects_match_stock_git_state	implicit annotated tag positional args create tag object payload matching stock Git
Branching and Merging	tag	--list	v1.*	<none>	repository with matching lightweight tag	local	all	git tag --list v1.*	closed	git_refs_compat::tag_create_list_delete_and_annotated_objects_match_stock_git_state	patterned tag listing matches stock Git
Branching and Merging	tag	--list	<empty>	<none>	packed tag refs	local	all	git tag --list	closed	git_refs_compat::packed_refs_are_resolved_updated_and_deleted_like_stock_git	packed tag listing matches stock Git
Branching and Merging	tag	-l	v*	<none>	repository with matching lightweight tag	local	all	git tag -l v*	closed	tools/git-tag-schema-extra-oracle-smoke.sh::tag_list_short	short list spelling matches stock stdout/stderr/exit, refs and status
Branching and Merging	tag	--delete	v1	delete existing annotated tag	repository with annotated tag	local	all	git tag --delete v1	closed	tools/git-tag-schema-gap-probe.sh::tag_delete_long	long delete form stdout/stderr/exit matches stock Git, including deleted tag object abbreviation
Branching and Merging	tag	-a	v1.0.0	-m release	repository with annotated tag	local	all	git tag -a v1.0.0 -m release	closed	git_refs_compat::tag_create_list_delete_and_annotated_objects_match_stock_git_state	annotated tag object type and payload match stock Git
Branching and Merging	tag	--annotate	v2	-m release	repository with committed HEAD	local	all	git tag --annotate v2 -m release	closed	tools/git-tag-schema-extra-oracle-smoke.sh::tag_annotate_long	long annotate spelling matches stock stdout/stderr/exit, refs and status
Branching and Merging	tag	-m	implicit annotated	tag name without -a	repository with implicit annotated tag	local	all	git tag v1.0.1 -m "implicit annotated"	closed	git_refs_compat::tag_create_list_delete_and_annotated_objects_match_stock_git_state	message option creates stock-shaped annotated tag object
Branching and Merging	tag	--force	v1 HEAD	replace existing lightweight tag	two-commit repository with existing lightweight tag	local	all	git tag --force v1 HEAD	closed	tools/git-force-schema-oracle-smoke.sh::tag_force_long	force long form replaces the existing lightweight tag with stdout, stderr, status and tag refs matching stock Git
Branching and Merging	tag	-f	v1 HEAD	replace existing lightweight tag	two-commit repository with existing lightweight tag	local	all	git tag -f v1 HEAD	closed	tools/git-force-schema-oracle-smoke.sh::tag_force_short	force short form replaces the existing lightweight tag with stdout, stderr, status and tag refs matching stock Git
Branching and Merging	tag	--contains	<commit>	<none>	diverged graph with lightweight and annotated tags	local	all	git tag --contains <base>	closed	git_refs_compat::tag_contains_merged_and_no_merged_match_stock_git	contains filter output matches stock Git
Branching and Merging	tag	--no-contains	HEAD	<none>	diverged graph with lightweight and annotated tags	local	all	git tag --no-contains HEAD	closed	git_refs_compat::tag_contains_merged_and_no_merged_match_stock_git	no-contains filter output matches stock Git
Branching and Merging	tag	--merged	HEAD	<none>	diverged graph with lightweight and annotated tags	local	all	git tag --merged HEAD	closed	git_refs_compat::tag_contains_merged_and_no_merged_match_stock_git	merged filter output matches stock Git
Branching and Merging	tag	--no-merged	HEAD	<none>	diverged graph with lightweight and annotated tags	local	all	git tag --no-merged HEAD	closed	git_refs_compat::tag_contains_merged_and_no_merged_match_stock_git	no-merged filter output matches stock Git
