reference_group	command	option	value	combination	repository_state	transport	platform	example	status	evidence	notes
Other Git 2.47 commands	help	<positional:args>	unknown	unknown help topic	outside repository	local	macos	git help unknown	closed	tools/git-foreign-helper-positional-gap-probe.sh::help_positional_unknown	unknown help topic exits 1 with exact macOS manpage diagnostic, empty stdout and no repository side effects matching stock Git
Other Git 2.47 commands	help	-a	<empty>	list all commands outside repository	outside repository	local	all	git help -a	closed	git_help_compat::help_documented_option_family_matches_stock_git	short all option matches stock Git command listing outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	--all	<empty>	list all commands outside repository	outside repository	local	all	git help --all	closed	git_help_compat::help_documented_option_family_matches_stock_git	long all option matches stock Git command listing outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	-g	<empty>	list concept guides outside repository	outside repository	local	all	git help -g	closed	git_help_compat::help_documented_option_family_matches_stock_git	short guides option matches stock Git guide listing outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	--guides	<empty>	list concept guides outside repository	outside repository	local	all	git help --guides	closed	git_help_compat::help_documented_option_family_matches_stock_git	long guides option matches stock Git guide listing outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	-c	<empty>	list config variables outside repository	outside repository	local	all	git help -c	closed	git_help_compat::help_documented_option_family_matches_stock_git	short config option matches stock Git config-variable listing outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	--config	<empty>	list config variables outside repository	outside repository	local	all	git help --config	closed	git_help_compat::help_documented_option_family_matches_stock_git	long config option matches stock Git config-variable listing outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	-m	<empty>	man viewer default usage outside repository	outside repository	local	all	git help -m	closed	git_help_compat::help_documented_option_family_matches_stock_git	short man option matches stock Git default usage surface outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	--man	<empty>	man viewer default usage outside repository	outside repository	local	all	git help --man	closed	git_help_compat::help_documented_option_family_matches_stock_git	long man option matches stock Git default usage surface outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	-i	<empty>	info viewer default usage outside repository	outside repository	local	all	git help -i	closed	git_help_compat::help_documented_option_family_matches_stock_git	short info option matches stock Git default usage surface outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	--info	<empty>	info viewer default usage outside repository	outside repository	local	all	git help --info	closed	git_help_compat::help_documented_option_family_matches_stock_git	long info option matches stock Git default usage surface outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	-w	<empty>	web viewer default usage outside repository	outside repository	local	all	git help -w	closed	git_help_compat::help_documented_option_family_matches_stock_git	short web option matches stock Git default usage surface outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	--web	<empty>	web viewer default usage outside repository	outside repository	local	all	git help --web	closed	git_help_compat::help_documented_option_family_matches_stock_git	long web option matches stock Git default usage surface outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	--user-interfaces	<empty>	list user interfaces outside repository	outside repository	local	all	git help --user-interfaces	closed	git_help_compat::help_documented_option_family_matches_stock_git	user-interfaces listing matches stock Git outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	--developer-interfaces	<empty>	list developer interfaces outside repository	outside repository	local	all	git help --developer-interfaces	closed	git_help_compat::help_documented_option_family_matches_stock_git	developer-interfaces listing matches stock Git outside a repository with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	--no-aliases	<empty>	--all without aliases outside repository	outside repository	local	all	git help --all --no-aliases	closed	git_help_compat::help_documented_option_family_matches_stock_git	no-aliases matches stock Git on the documented all-listing lane with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	--no-external-commands	<empty>	--all without external commands outside repository	outside repository	local	all	git help --all --no-external-commands	closed	git_help_compat::help_documented_option_family_matches_stock_git	no-external-commands matches stock Git on the documented all-listing lane with exact stdout, empty stderr and exit status
Other Git 2.47 commands	help	--verbose	<empty>	--all verbose listing outside repository	outside repository	local	all	git help --all --verbose	closed	git_help_compat::help_documented_option_family_matches_stock_git	verbose matches stock Git on the documented all-listing lane with exact stdout, empty stderr and exit status
