group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	count-objects	<none>	<empty>	<none>	local repository with loose objects	local	all	git count-objects	closed	git_object_plumbing_compat::count_objects_matches_stock_git_for_loose_and_packed_objects	default loose-object summary matches stock Git
Plumbing Commands	count-objects	-H	<empty>	<none>	local repository with loose objects	local	all	git count-objects -H	closed	git_object_plumbing_compat::count_objects_matches_stock_git_for_loose_and_packed_objects	human-readable loose-object summary matches stock Git
Plumbing Commands	count-objects	--human-readable	<empty>	<none>	local repository with loose objects	local	all	git count-objects --human-readable	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_human_long	long human-readable option matches stock stdout, stderr, exit status and worktree status
Plumbing Commands	count-objects	-v	<empty>	<none>	local repository with loose objects	local	all	git count-objects -v	closed	git_object_plumbing_compat::count_objects_matches_stock_git_for_loose_and_packed_objects	verbose loose-object summary matches stock Git
Plumbing Commands	count-objects	--verbose	<empty>	<none>	local repository with loose objects	local	all	git count-objects --verbose	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_verbose_long	long verbose option matches stock stdout, stderr, exit status and worktree status
Plumbing Commands	count-objects	-v	<empty>	-H	local repository with loose objects	local	all	git count-objects -vH	closed	git_object_plumbing_compat::count_objects_matches_stock_git_for_loose_and_packed_objects	verbose human-readable loose-object summary matches stock Git
Plumbing Commands	count-objects	--verbose	<empty>	--human-readable	local repository with loose objects	local	all	git count-objects --verbose --human-readable	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_verbose_human_long	long verbose plus long human-readable options match stock stdout, stderr, exit status and worktree status
Plumbing Commands	count-objects	--verbose	<empty>	repeated verbose	local repository with loose objects	local	all	git count-objects --verbose --verbose	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_verbose_long_repeated	repeated long verbose option matches stock stdout, stderr, exit status and worktree status
Plumbing Commands	count-objects	--human-readable	<empty>	repeated human-readable	local repository with loose objects	local	all	git count-objects --human-readable --human-readable	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_human_long_repeated	repeated long human-readable option matches stock stdout, stderr, exit status and worktree status
Plumbing Commands	count-objects	-v	<empty>	repeated verbose	local repository with loose objects	local	all	git count-objects -v -v	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_verbose_short_repeated	repeated short verbose option matches stock stdout, stderr, exit status and worktree status
Plumbing Commands	count-objects	-H	<empty>	repeated human-readable	local repository with loose objects	local	all	git count-objects -H -H	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_human_short_repeated	repeated short human-readable option matches stock stdout, stderr, exit status and worktree status
Plumbing Commands	count-objects	-H	<empty>	-v short cluster	local repository with loose objects	local	all	git count-objects -Hv	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_human_verbose_short_cluster	short human-readable plus verbose cluster matches stock Git verbose human-readable output
Plumbing Commands	count-objects	-H	<empty>	-v separate	local repository with loose objects	local	all	git count-objects -H -v	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_human_short_verbose_separate	short human-readable followed by short verbose matches stock Git verbose human-readable output
Plumbing Commands	count-objects	--verbose	<empty>	-v	local repository with loose objects	local	all	git count-objects --verbose -v	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_verbose_long_short	long verbose followed by short verbose preserves verbose output like stock Git
Plumbing Commands	count-objects	-v	<empty>	--verbose	local repository with loose objects	local	all	git count-objects -v --verbose	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_verbose_short_long	short verbose followed by long verbose preserves verbose output like stock Git
Plumbing Commands	count-objects	--human-readable	<empty>	-H	local repository with loose objects	local	all	git count-objects --human-readable -H	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_human_long_short	long human-readable followed by short human-readable preserves human-readable output like stock Git
Plumbing Commands	count-objects	-H	<empty>	--human-readable	local repository with loose objects	local	all	git count-objects -H --human-readable	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_human_short_long	short human-readable followed by long human-readable preserves human-readable output like stock Git
Plumbing Commands	count-objects	--human-readable	<empty>	--verbose	local repository with loose objects	local	all	git count-objects --human-readable --verbose	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_human_long_verbose_long	long human-readable followed by long verbose matches stock Git verbose human-readable output
Plumbing Commands	count-objects	--human-readable	<empty>	-v	local repository with loose objects	local	all	git count-objects --human-readable -v	closed	tools/git-count-objects-schema-oracle-smoke.sh::count_objects_human_long_verbose_short	long human-readable followed by short verbose matches stock Git verbose human-readable output
