group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Administration	archive	--format	tar	prefix, add-file, add-virtual-file, mtime, output file	committed tree plus untracked extra file	local	all	git archive --format=tar --prefix=pre/ --add-file=extra.txt --add-virtual-file=virt/path.txt:virtual --mtime='2024-01-02 03:04:05 +0000' -o out.tar HEAD	closed	git_archive_compat::archive_matches_stock_git_for_tar_prefix_and_paths	writes a tar archive with matching commit id, entries, extra file, virtual file, prefix, mtime and symlink handling like stock Git
Administration	archive	--list	<empty>	format listing	committed tree	local	all	git archive --list	closed	git_archive_compat::archive_matches_stock_git_for_tar_prefix_and_paths	lists supported archive formats like stock Git and closes the list parser surface
Administration	archive	--verbose	<empty>	tar output with pathspec and output file	committed tree with subdirectory	local	all	git archive --format=tar --verbose -o out.tar HEAD dir	closed	git_archive_compat::archive_matches_stock_git_for_tar_prefix_and_paths	prints archived directory paths with trailing slash on stderr like stock Git while writing matching tar output
Administration	archive	<pathspec>	dir	prefix and output file with path-limited archive	committed tree with subdirectory	local	all	git archive --format=tar --prefix=pre/ -o out.tar HEAD dir	closed	git_archive_compat::archive_matches_stock_git_for_tar_prefix_and_paths	limits archive entries to the requested directory pathspec and preserves stock prefix/listing behavior
Administration	archive	--format	zip	prefix, add-file, add-virtual-file, mtime, output file	committed tree plus untracked extra file	local	all	git archive --format=zip --prefix=pre/ --add-file=extra.txt --add-virtual-file=virt/path.txt:virtual --mtime='2024-01-02 03:04:05 +0000' -o out.zip HEAD	closed	git_archive_compat::archive_matches_stock_git_for_zip_and_tgz_formats	writes zip archives with matching listing and extracted file contents like stock Git
Administration	archive	--format	tgz	prefix, add-file, add-virtual-file, mtime, output file	committed tree plus untracked extra file	local	all	git archive --format=tgz --prefix=pre/ --add-file=extra.txt --add-virtual-file=virt/path.txt:virtual --mtime='2024-01-02 03:04:05 +0000' -o out.tgz HEAD	closed	git_archive_compat::archive_matches_stock_git_for_zip_and_tgz_formats	writes tgz archives with matching tar listing like stock Git
Administration	archive	--format	tar.gz	prefix, add-file, add-virtual-file, mtime, output file	committed tree plus untracked extra file	local	all	git archive --format=tar.gz --prefix=pre/ --add-file=extra.txt --add-virtual-file=virt/path.txt:virtual --mtime='2024-01-02 03:04:05 +0000' -o out.tar.gz HEAD	closed	git_archive_compat::archive_matches_stock_git_for_zip_and_tgz_formats	writes tar.gz archives with matching tar listing like stock Git
Administration	archive	--mtime	1704164645	unix timestamp mtime with tar output	committed tree	local	all	git archive --format=tar --mtime=1704164645 -o out.tar HEAD	closed	git_archive_compat::archive_mtime_parsing_matches_stock_git_for_common_formats	parses plain unix timestamp mtime values and writes matching tar entry mtimes like stock Git
Administration	archive	--mtime	2024-01-02T03:04:05Z	ISO timestamp mtime with tar output	committed tree	local	all	git archive --format=tar --mtime=2024-01-02T03:04:05Z -o out.tar HEAD	closed	git_archive_compat::archive_mtime_parsing_matches_stock_git_for_common_formats	parses ISO timestamp mtime values and writes matching tar entry mtimes like stock Git
Administration	archive	--mtime	never	special mtime value with tar output	committed tree	local	all	git archive --format=tar --mtime=never -o out.tar HEAD	closed	git_archive_compat::archive_mtime_parsing_matches_stock_git_for_common_formats	parses the special never mtime value and writes matching tar entry mtimes like stock Git
Administration	archive	--mtime	bad	tar output with invalid mtime text	committed tree	local	all	git archive --format=tar --mtime=bad -o out.tar HEAD	closed	git_archive_compat::archive_mtime_invalid_text_falls_back_to_current_time_like_stock_git	invalid textual mtime falls back to current time window like stock Git
Administration	archive	--remote	local path	upload-archive with exec, tar format, prefix and pathspec	committed repository	local	all	git archive --remote=<repo> --exec='zmin upload-archive' --format=tar --prefix=pre/ HEAD -- dir	closed	git_archive_compat::upload_archive_serves_stock_git_archive_remote_tar	serves remote tar archive entries through upload-archive with pathspec and prefix behavior matching stock Git local archive output
Administration	archive	--remote	local path	upload-archive with add-file, add-virtual-file and mtime	committed repository plus extra file	local	all	git archive --remote=<repo> --exec='zmin upload-archive' --format=tar --prefix=pre/ --add-file=extra.txt --add-virtual-file=virt/path.txt:virtual --mtime='2024-01-02 03:04:05 +0000' HEAD -- dir	closed	git_archive_compat::upload_archive_accepts_remote_archive_options_like_stock_git	accepts remote archive options and serves entries, extra files, virtual files and mtimes like stock Git local archive output
Administration	archive	--format	bad	invalid format value	local repository	local	all	git archive --format=bad HEAD	invalid-input	git_archive_compat::archive_matches_stock_git_for_zip_and_tgz_formats	unsupported archive format guard is classified as stock-compatible invalid input with exit code and fatal diagnostic parity
