group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	read-tree	<none>	<tree>	<none>	two-commit repository index	local	all	git read-tree <tree>	closed	git_object_plumbing_compat::read_tree_matches_stock_git_for_tree_empty_and_prefix	index entries and resulting write-tree output match stock Git after loading a tree
Plumbing Commands	read-tree	<positional:treeish>	<tree>	<none>	two-commit repository index	local	all	git read-tree <tree>	closed	tools/git-read-tree-schema-oracle-smoke.sh::read_tree_positional_treeish	positional treeish argument updates index entries, write-tree output and worktree status like stock Git
Plumbing Commands	read-tree	--empty	<empty>	<none>	populated index	local	all	git read-tree --empty	closed	git_object_plumbing_compat::read_tree_matches_stock_git_for_tree_empty_and_prefix	empty index state matches stock Git after clearing populated index
Plumbing Commands	read-tree	--empty	<empty>	--prefix=import/	populated index	local	all	git read-tree --empty --prefix=import/	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	empty plus prefix without a tree fails like stock Git and leaves the index untouched
Plumbing Commands	read-tree	--empty	<empty>	<tree>	populated index	local	all	git read-tree --empty <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	empty plus treeish contradiction fails like stock Git and leaves the index untouched
Plumbing Commands	read-tree	-m	<empty>	<tree>	empty index	local	all	git read-tree -m <tree>	closed	git_object_plumbing_compat::read_tree_matches_stock_git_for_tree_empty_and_prefix	merge mode tree load into an empty index matches stock Git
Plumbing Commands	read-tree	-m	<empty>	repeated -m with <tree>	empty index	local	all	git read-tree -m -m <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	repeated merge flags keep the same stock-Git single-tree index and tree output
Plumbing Commands	read-tree	--prefix	import/	<tree>	empty index	local	all	git read-tree --prefix=import/ <tree>	closed	git_object_plumbing_compat::read_tree_matches_stock_git_for_tree_empty_and_prefix	prefixed tree load updates index entries and resulting write-tree output like stock Git
Plumbing Commands	read-tree	--prefix	import/	separate value form with <tree>	empty index	local	all	git read-tree --prefix import/ <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	separate prefix value form matches stock Git index entries and write-tree output
Plumbing Commands	read-tree	--prefix	import	no trailing slash with <tree>	empty index	local	all	git read-tree --prefix=import <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	prefix values without a trailing slash normalize to the same stock-Git imported path layout
Plumbing Commands	read-tree	--dry-run	<empty>	<tree>	empty index	local	all	git read-tree --dry-run <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	dry-run long form leaves the empty index unchanged like stock Git
Plumbing Commands	read-tree	--dry-run	<empty>	repeated --dry-run with <tree>	empty index	local	all	git read-tree --dry-run --dry-run <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	repeated long dry-run flags keep the index unchanged like stock Git
Plumbing Commands	read-tree	-n	<empty>	<tree>	empty index	local	all	git read-tree -n <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	dry-run short form leaves the empty index unchanged like stock Git
Plumbing Commands	read-tree	-n	<empty>	repeated -n with <tree>	empty index	local	all	git read-tree -n -n <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	repeated short dry-run flags keep the index unchanged like stock Git
Plumbing Commands	read-tree	--dry-run	<empty>	--quiet <tree>	empty index	local	all	git read-tree --dry-run --quiet <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	dry-run composes with quiet and still leaves the index unchanged like stock Git
Plumbing Commands	read-tree	--dry-run	<empty>	--quiet before --dry-run <tree>	empty index	local	all	git read-tree --quiet --dry-run <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	quiet before dry-run preserves stock-Git no-op index behavior
Plumbing Commands	read-tree	-n	<empty>	--quiet <tree>	empty index	local	all	git read-tree -n --quiet <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	short dry-run composes with quiet and still leaves the index unchanged like stock Git
Plumbing Commands	read-tree	-n	<empty>	--quiet before -n <tree>	empty index	local	all	git read-tree --quiet -n <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	quiet before short dry-run preserves stock-Git no-op index behavior
Plumbing Commands	read-tree	-v	<empty>	<tree>	empty index	local	all	git read-tree -v <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	verbose short form is accepted and keeps output empty while loading the tree into the index like stock Git
Plumbing Commands	read-tree	-v	<empty>	repeated -v with <tree>	empty index	local	all	git read-tree -v -v <tree>	closed	git_object_plumbing_compat::read_tree_documented_option_forms_match_stock_git	repeated verbose flags keep the same empty output and stock-Git index result on a single-tree read
