group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Other Git 2.47 commands	interpret-trailers	<none>	<empty>	stdin message with trailers	no repository required	local	all	git interpret-trailers < message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	default trailer interpretation of stdin message matches stock Git
Other Git 2.47 commands	interpret-trailers	--only-trailers	<empty>	stdin message with trailers	no repository required	local	all	git interpret-trailers --only-trailers < message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	only-trailers output for stdin message matches stock Git
Other Git 2.47 commands	interpret-trailers	--parse	<empty>	stdin message with trailers	no repository required	local	all	git interpret-trailers --parse < message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	parse mode output for stdin message matches stock Git
Other Git 2.47 commands	interpret-trailers	--trailer	Reviewed-by: C <c@example.com>	stdin message with existing trailers	no repository required	local	all	git interpret-trailers --trailer 'Reviewed-by: C <c@example.com>' < message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	added trailer output matches stock Git
Other Git 2.47 commands	interpret-trailers	--where	before	--trailer 'Acked-by: C' stdin message with existing Acked-by	no repository required	local	all	git interpret-trailers --where before --trailer 'Acked-by: C' < message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	where-before insertion order matches stock Git
Other Git 2.47 commands	interpret-trailers	--where	after	--trailer 'Acked-by: C' stdin message with existing Acked-by	no repository required	local	all	git interpret-trailers --where after --trailer 'Acked-by: C' < message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	where-after insertion order matches stock Git
Other Git 2.47 commands	interpret-trailers	--if-exists	addIfDifferent	--trailer 'Acked-by: B' stdin message with duplicate trailer	no repository required	local	all	git interpret-trailers --if-exists addIfDifferent --trailer 'Acked-by: B' < message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	addIfDifferent duplicate handling matches stock Git
Other Git 2.47 commands	interpret-trailers	--if-exists	add	--trailer 'Acked-by: B' stdin message with duplicate trailer	no repository required	local	all	git interpret-trailers --if-exists add --trailer 'Acked-by: B' < message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	add duplicate handling matches stock Git
Other Git 2.47 commands	interpret-trailers	--if-exists	replace	--trailer 'Acked-by: C' stdin message with existing trailer key	no repository required	local	all	git interpret-trailers --if-exists replace --trailer 'Acked-by: C' < message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	replace handling for existing trailer key matches stock Git
Other Git 2.47 commands	interpret-trailers	--if-missing	doNothing	--trailer 'Reviewed-by: C' stdin message without trailer key	no repository required	local	all	git interpret-trailers --if-missing doNothing --trailer 'Reviewed-by: C' < message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	doNothing handling for missing trailer key matches stock Git
Other Git 2.47 commands	interpret-trailers	--only-trailers	<empty>	folded stdin trailer	no repository required	local	all	git interpret-trailers --only-trailers < folded-message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	only-trailers preserves folded continuation like stock Git
Other Git 2.47 commands	interpret-trailers	--unfold	<empty>	--only-trailers folded stdin trailer	no repository required	local	all	git interpret-trailers --only-trailers --unfold < folded-message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	unfold flattens folded trailer continuation like stock Git
Other Git 2.47 commands	interpret-trailers	--no-divider	<empty>	--trailer 'Reviewed-by: C <c@example.com>' patch-like stdin message	no repository required	local	all	git interpret-trailers --no-divider --trailer 'Reviewed-by: C <c@example.com>' < patch-message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	no-divider treats post-divider lines as message body like stock Git
Other Git 2.47 commands	interpret-trailers	--trim-empty	<empty>	stdin message with empty trailer value	no repository required	local	all	git interpret-trailers --trim-empty < empty-trailer-message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	trim-empty drops empty-valued trailers like stock Git
Other Git 2.47 commands	interpret-trailers	--trailer	Reviewed-by: C <c@example.com>	patch-like stdin message with divider	no repository required	local	all	git interpret-trailers --trailer 'Reviewed-by: C <c@example.com>' < patch-message.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_for_common_modes	default divider handling keeps patch-body trailer-looking lines out of trailers like stock Git
Other Git 2.47 commands	interpret-trailers	--in-place	<empty>	--trailer Reviewed-by:C file rewrite	repository with message file	local	all	git interpret-trailers --in-place --trailer 'Reviewed-by: C' git-msg.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_in_place	in-place file rewrite matches stock Git file contents
Other Git 2.47 commands	interpret-trailers	<positional:files>	git-msg.txt	--in-place --trailer Reviewed-by:C file rewrite	repository with message file	local	all	git interpret-trailers --in-place --trailer 'Reviewed-by: C' git-msg.txt	closed	git_mail_tools_compat::interpret_trailers_matches_stock_git_in_place	file positional argument participates in stock-compatible in-place rewrite
