group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	ls-tree	<none>	HEAD	<none>	two-commit tree with root file and nested file	local	all	git ls-tree HEAD	closed	git_object_plumbing_compat::treeish_path_resolution_and_ls_tree_match_stock_git	default tree listing matches stock Git
Plumbing Commands	ls-tree	-r	HEAD	--name-only	two-commit tree with root file and nested file	local	all	git ls-tree -r --name-only HEAD	closed	git_object_plumbing_compat::treeish_path_resolution_and_ls_tree_match_stock_git	recursive name-only output matches stock Git
Plumbing Commands	ls-tree	-r	HEAD	recursive listing	local repository with root and nested files	local	all	git ls-tree -r HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_recursive_short	recursive short option listing matches stock stdout, stderr, exit status and worktree status
Plumbing Commands	ls-tree	-t	HEAD	-r	two-commit tree with root file and nested file	local	all	git ls-tree -r -t HEAD	closed	git_object_plumbing_compat::treeish_path_resolution_and_ls_tree_match_stock_git	recursive listing with tree entries matches stock Git
Plumbing Commands	ls-tree	-t	HEAD	-r	local repository with root and nested files	local	all	git ls-tree -r -t HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_recursive_tree_entries	recursive tree-entry listing matches stock stdout, stderr, exit status and worktree status
Plumbing Commands	ls-tree	--name-only	HEAD	name-only listing	local repository with root and nested files	local	all	git ls-tree --name-only HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_name_only_long	name-only long option listing matches stock stdout, stderr, exit status and worktree status
Plumbing Commands	ls-tree	-d	HEAD src	<none>	local repository with nested directory	local	all	git ls-tree -d HEAD src	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_directory_only	directory-only listing emits only the named tree entry like stock Git and leaves worktree status unchanged
Plumbing Commands	ls-tree	-l	HEAD	<none>	local repository with root and nested files	local	all	git ls-tree -l HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_long	long listing includes blob sizes and tree dash placeholders like stock Git
Plumbing Commands	ls-tree	-z	HEAD	<none>	local repository with root and nested files	local	all	git ls-tree -z HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_nul_terminated	NUL-terminated listing matches stock Git byte-for-byte and leaves worktree status unchanged
Plumbing Commands	ls-tree	--name-status	HEAD	<none>	local repository with root and nested files	local	all	git ls-tree --name-status HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_name_status	name-status listing follows the documented filename-only alias shape like stock Git
Plumbing Commands	ls-tree	--object-only	HEAD	<none>	local repository with root and nested files	local	all	git ls-tree --object-only HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_object_only	object-only listing emits one object id per line like stock Git
Plumbing Commands	ls-tree	--abbrev	10	HEAD	local repository with root and nested files	local	all	git ls-tree --abbrev=10 HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_abbrev	abbrev output truncates object ids to the requested width like stock Git
Plumbing Commands	ls-tree	--format	%(objectname) %(path)	HEAD	local repository with root and nested files	local	all	git ls-tree --format='%(objectname) %(path)' HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_format	custom format interpolation for objectname and path matches stock Git
Plumbing Commands	ls-tree	--full-name	HEAD	<none>	invocation from repository subdirectory with nested files	local	all	git -C src ls-tree --full-name HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_full_name_subdir	full-name output from a repository subdirectory preserves repo-root-relative paths like stock Git
Plumbing Commands	ls-tree	--full-tree	HEAD	<none>	invocation from repository subdirectory with nested files	local	all	git -C src ls-tree --full-tree HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_full_tree_subdir	full-tree output ignores the current working directory and implies full-name like stock Git
Plumbing Commands	ls-tree	<none>	missing	<none>	missing treeish	local	all	git ls-tree missing	invalid-input	git_cli_failure_compat::invalid_option_combinations_match_stock_git_failures	missing treeish failure shape matches stock Git
Plumbing Commands	ls-tree	<positional:treeish>	HEAD	<none>	local repository with root and nested files	local	all	git ls-tree HEAD	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_positional_treeish	positional treeish listing matches stock stdout, stderr, exit status and worktree status
Plumbing Commands	ls-tree	<positional:paths>	src/main.rs	HEAD	local repository with nested file	local	all	git ls-tree HEAD src/main.rs	closed	tools/git-ls-tree-schema-oracle-smoke.sh::ls_tree_positional_path	positional path limits tree listing like stock Git and leaves worktree status unchanged
