command	option	evidence	notes
annotate	--color-by-age	docs/cli/matrices/annotate_v2_47.tsv; target/git-doc-cache/v2.47.1/git-annotate.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: color-by-age now has durable stock-Git annotate evidence for the current small tracked-file local lane, including matching stdout, stderr, exit status, and ANSI-colored annotation rendering.
annotate	--color-lines	docs/cli/matrices/annotate_v2_47.tsv; target/git-doc-cache/v2.47.1/git-annotate.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: color-lines now has durable stock-Git annotate evidence for the current small tracked-file local lane, including matching stdout, stderr, exit status, and colored repeated-metadata rendering.
annotate	--contents	docs/cli/matrices/annotate_v2_47.tsv; target/git-doc-cache/v2.47.1/git-annotate.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: contents now has durable stock-Git annotate evidence for alternate-contents overlay output against HEAD, including matching stdout, stderr, exit status, and unchanged repository state.
annotate	--date	docs/cli/matrices/annotate_v2_47.tsv; target/git-doc-cache/v2.47.1/git-annotate.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: date now has durable stock-Git annotate evidence for the represented short-date acceptance lane, including matching stdout, stderr, exit status, and stock annotate date-rendering semantics.
shortlog	--abbrev-commit	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: abbrev-commit now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted without changing rendered output.
shortlog	--author-date-order	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: author-date-order now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--boundary	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: boundary now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--cherry-mark	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: cherry-mark now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--cherry-pick	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: cherry-pick now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--children	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: children now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
