group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Other Git 2.47 commands	stripspace	<none>	<empty>	stdin text with blank lines	no repository required	local	all	git stripspace < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	default whitespace cleanup of stdin text matches stock Git
Other Git 2.47 commands	stripspace	-s	<empty>	stdin text with blank lines	no repository required	local	all	git stripspace -s < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	short strip whitespace mode matches stock Git
Other Git 2.47 commands	stripspace	-c	<empty>	stdin text with blank lines	no repository required	local	all	git stripspace -c < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	short comment-lines mode matches stock Git
Other Git 2.47 commands	stripspace	--strip-comments	<empty>	stdin text with comment lines	no repository required	local	all	git stripspace --strip-comments < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	long strip-comments mode removes comment lines like stock Git
Other Git 2.47 commands	stripspace	--comment-lines	<empty>	stdin text with comment lines	no repository required	local	all	git stripspace --comment-lines < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	long comment-lines mode comments non-comment lines like stock Git
Other Git 2.47 commands	stripspace	-s	<empty>	repeated stdin text with comment lines	no repository required	local	all	git stripspace -s -s < message.txt	closed	tools/git-stripspace-schema-oracle-smoke.sh::stripspace_strip_comments_short_repeated	repeated short strip-comments output matches stock Git
Other Git 2.47 commands	stripspace	-c	<empty>	repeated stdin text with comment lines	no repository required	local	all	git stripspace -c -c < message.txt	closed	tools/git-stripspace-schema-oracle-smoke.sh::stripspace_comment_lines_short_repeated	repeated short comment-lines output matches stock Git
Other Git 2.47 commands	stripspace	--strip-comments	<empty>	repeated stdin text with comment lines	no repository required	local	all	git stripspace --strip-comments --strip-comments < message.txt	closed	tools/git-stripspace-schema-oracle-smoke.sh::stripspace_strip_comments_long_repeated	repeated long strip-comments output matches stock Git
Other Git 2.47 commands	stripspace	--comment-lines	<empty>	repeated stdin text with comment lines	no repository required	local	all	git stripspace --comment-lines --comment-lines < message.txt	closed	tools/git-stripspace-schema-oracle-smoke.sh::stripspace_comment_lines_long_repeated	repeated long comment-lines output matches stock Git
Other Git 2.47 commands	stripspace	-s	<empty>	--strip-comments stdin text with comment lines	no repository required	local	all	git stripspace -s --strip-comments < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	short then long same-mode strip-comments output matches stock Git
Other Git 2.47 commands	stripspace	--strip-comments	<empty>	-s stdin text with comment lines	no repository required	local	all	git stripspace --strip-comments -s < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	long then short same-mode strip-comments output matches stock Git
Other Git 2.47 commands	stripspace	-c	<empty>	--comment-lines stdin text with comment lines	no repository required	local	all	git stripspace -c --comment-lines < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	short then long same-mode comment-lines output matches stock Git
Other Git 2.47 commands	stripspace	--comment-lines	<empty>	-c stdin text with comment lines	no repository required	local	all	git stripspace --comment-lines -c < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	long then short same-mode comment-lines output matches stock Git
Other Git 2.47 commands	stripspace	-s	<empty>	--strip-comments -s stdin text with comment lines	no repository required	local	all	git stripspace -s --strip-comments -s < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	repeated mixed spelling of strip-comments remains accepted like stock Git
Other Git 2.47 commands	stripspace	-c	<empty>	--comment-lines -c stdin text with comment lines	no repository required	local	all	git stripspace -c --comment-lines -c < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	repeated mixed spelling of comment-lines remains accepted like stock Git
Other Git 2.47 commands	stripspace	--strip-comments	<empty>	-s --strip-comments stdin text with comment lines	no repository required	local	all	git stripspace --strip-comments -s --strip-comments < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	long short long strip-comments chain matches stock Git
Other Git 2.47 commands	stripspace	--comment-lines	<empty>	-c --comment-lines stdin text with comment lines	no repository required	local	all	git stripspace --comment-lines -c --comment-lines < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	long short long comment-lines chain matches stock Git
Other Git 2.47 commands	stripspace	-s	<empty>	--strip-comments --strip-comments stdin text with comment lines	no repository required	local	all	git stripspace -s --strip-comments --strip-comments < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	short then repeated long strip-comments chain matches stock Git
Other Git 2.47 commands	stripspace	-c	<empty>	--comment-lines --comment-lines stdin text with comment lines	no repository required	local	all	git stripspace -c --comment-lines --comment-lines < message.txt	closed	git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	short then repeated long comment-lines chain matches stock Git
