group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Sequencer Commands	revert	<positional:commits>	<commit>	clean single commit	current branch at commit to revert	local	all	git revert HEAD	closed	git_sequencer_compat::cherry_pick_and_revert_match_stock_git_for_clean_single_commit	reverts a clean single commit with matching tree, commit subject and clean worktree like stock Git
Sequencer Commands	revert	--abort	<empty>	no sequence in progress	clean repository	local	all	git revert --abort	invalid-input	tools/git-revert-schema-oracle-smoke.sh::revert_abort_no_sequence	no-sequence abort rejection matches stock Git stdout, stderr, exit status and unchanged repository state
Sequencer Commands	revert	--continue	<empty>	no sequence in progress	clean repository	local	all	git revert --continue	invalid-input	tools/git-revert-schema-oracle-smoke.sh::revert_continue_no_sequence	no-sequence continue rejection matches stock Git stdout, stderr, exit status and unchanged repository state
Sequencer Commands	revert	--mainline	1	merge commit mainline	current branch at merge commit	local	all	git revert --mainline 1 <merge-commit>	closed	tools/git-revert-schema-oracle-smoke.sh::revert_mainline_long	exact stdout/stderr/exit status, commit object, HEAD, tree, index and clean status match stock Git
Sequencer Commands	revert	--no-commit	<empty>	clean single commit	current branch at commit to revert	local	all	git revert --no-commit HEAD	closed	tools/git-revert-schema-oracle-smoke.sh::revert_no_commit_long	exact stdout/stderr/exit status, HEAD, tree, index, status, worktree file and AUTO_MERGE/COMMIT_EDITMSG/MERGE_MSG/REVERT_HEAD contents match stock Git
Sequencer Commands	revert	-m	1	merge commit mainline	current branch at merge commit	local	all	git revert -m 1 <merge-commit>	closed	git_sequencer_compat::cherry_pick_and_revert_mainline_merge_match_stock_git	reverts the selected mainline parent of a merge commit with matching tree and clean worktree like stock Git
Sequencer Commands	revert	-n	<empty>	clean single commit	current branch at commit to revert	local	all	git revert -n HEAD	closed	tools/git-revert-schema-oracle-smoke.sh::revert_no_commit_short	exact stdout/stderr/exit status, HEAD, tree, index, status, worktree file and AUTO_MERGE/COMMIT_EDITMSG/MERGE_MSG/REVERT_HEAD contents match stock Git
Sequencer Commands	revert	-r	<empty>	clean single commit	current branch at commit to revert	local	all	git revert -r HEAD	closed	git_sequencer_compat::cherry_pick_and_revert_documented_surface_batch_matches_stock_git	legacy no-record-origin short form is accepted and matches stock revert commit object, stdout and clean status on the modeled clean lane
Sequencer Commands	revert	--signoff	<empty>	clean single commit	current branch at commit to revert	local	all	git revert --signoff HEAD	closed	git_sequencer_compat::cherry_pick_and_revert_documented_surface_batch_matches_stock_git	signoff appends the stock trailer and matches revert commit object, stdout and clean status
Sequencer Commands	revert	-s	<empty>	clean single commit	current branch at commit to revert	local	all	git revert -s HEAD	closed	git_sequencer_compat::cherry_pick_and_revert_documented_surface_batch_matches_stock_git	short signoff form appends the stock trailer and matches revert commit object, stdout and clean status
