group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Basic Snapshotting	mv	<none>	a.txt renamed.txt	default tracked file move	tracked file/local index	local	all	git mv a.txt renamed.txt	closed	git_index_mutation_compat::mv_file_and_directory_match_stock_git_tree_after_commit	default file move leaves committed tree/status matching stock Git
Basic Snapshotting	mv	<positional:paths>	a.txt renamed.txt	default tracked file move	tracked file/local index	local	all	git mv a.txt renamed.txt	closed	git_index_mutation_compat::mv_file_and_directory_match_stock_git_tree_after_commit	positional source and destination move tracked file like stock Git
Basic Snapshotting	mv	<positional:paths>	dir renamed-dir	tracked directory move	tracked directory/local index	local	all	git mv dir renamed-dir	closed	git_index_mutation_compat::mv_file_and_directory_match_stock_git_tree_after_commit	positional source and destination move tracked directory like stock Git
Basic Snapshotting	mv	--force	a.txt dst.txt	overwrite tracked destination	tracked source and tracked destination	local	all	git mv --force a.txt dst.txt	closed	tools/git-force-schema-oracle-smoke.sh::mv_force_long	force long form overwrites the tracked destination with stdout, stderr, status and index matching stock Git
Basic Snapshotting	mv	-f	a.txt dst.txt	overwrite tracked destination	tracked source and tracked destination	local	all	git mv -f a.txt dst.txt	closed	tools/git-force-schema-oracle-smoke.sh::mv_force_short	force short form overwrites the tracked destination with stdout, stderr, status and index matching stock Git
Basic Snapshotting	mv	-n	a.txt b.txt	dry-run tracked file move	tracked file/local index	local	all	git mv -n a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_dry_run_short	dry-run short form stdout and lack of side effects match stock Git
Basic Snapshotting	mv	-n	a.txt b.txt	repeated dry-run tracked file move	tracked file/local index	local	all	git mv -n -n a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_dry_run_short_repeated	repeated dry-run short form stdout and lack of side effects match stock Git
Basic Snapshotting	mv	--dry-run	a.txt b.txt	dry-run tracked file move	tracked file/local index	local	all	git mv --dry-run a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_dry_run_long	dry-run long form stdout and lack of side effects match stock Git
Basic Snapshotting	mv	--dry-run	a.txt b.txt	repeated dry-run tracked file move	tracked file/local index	local	all	git mv --dry-run --dry-run a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_dry_run_long_repeated	repeated dry-run long form stdout and lack of side effects match stock Git
Basic Snapshotting	mv	-v	a.txt b.txt	verbose tracked file move	tracked file/local index	local	all	git mv -v a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_verbose_short	verbose short form stdout, status, index and worktree side effects match stock Git
Basic Snapshotting	mv	-v	a.txt b.txt	repeated verbose tracked file move	tracked file/local index	local	all	git mv -v -v a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_verbose_short_repeated	repeated verbose short form stdout, status, index and worktree side effects match stock Git
Basic Snapshotting	mv	--verbose	a.txt b.txt	verbose tracked file move	tracked file/local index	local	all	git mv --verbose a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_verbose_long	verbose long form stdout, status, index and worktree side effects match stock Git
Basic Snapshotting	mv	--verbose	a.txt b.txt	repeated verbose tracked file move	tracked file/local index	local	all	git mv --verbose --verbose a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_verbose_long_repeated	repeated verbose long form stdout, status, index and worktree side effects match stock Git
Basic Snapshotting	mv	-k	missing.txt a.txt dst	skip invalid source while moving valid source	tracked file/local index with missing source and directory destination	local	all	git mv -k missing.txt a.txt dst	closed	tools/git-mv-schema-oracle-smoke.sh::mv_skip_errors_short	skip-errors short form ignores missing source and applies valid move with stdout, stderr, status, index and worktree side effects matching stock Git
Basic Snapshotting	mv	--sparse	a.txt b.txt	sparse option in normal repo	tracked file/local index	local	all	git mv --sparse a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_sparse_long	sparse option in a non-sparse repository behaves like default mv and matches stock Git stdout, stderr, status, index and files
Basic Snapshotting	mv	--sparse	a.txt b.txt	repeated sparse option in normal repo	tracked file/local index	local	all	git mv --sparse --sparse a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_sparse_long_repeated	repeated sparse option in a non-sparse repository behaves like default mv and matches stock Git stdout, stderr, status, index and files
Basic Snapshotting	mv	-n	a.txt b.txt	-v dry-run plus verbose	tracked file/local index	local	all	git mv -n -v a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_dry_run_verbose_short	dry-run plus verbose short forms print the same planned rename and leave status, index and files matching stock Git
Basic Snapshotting	mv	-f	a.txt b.txt	-n force plus dry-run overwrite	tracked source and tracked destination	local	all	git mv -f -n a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_force_dry_run_short	force plus dry-run reports the overwrite plan without side effects and matches stock Git stdout, stderr, status, index and files
Basic Snapshotting	mv	-f	a.txt b.txt	repeated force overwrite	tracked source and tracked destination	local	all	git mv -f -f a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_force_short_repeated	repeated force short form overwrites a tracked destination with stock stdout, stderr, status, index and files
Basic Snapshotting	mv	--dry-run	a.txt b.txt	--verbose dry-run plus verbose	tracked file/local index	local	all	git mv --dry-run --verbose a.txt b.txt	closed	tools/git-mv-schema-oracle-smoke.sh::mv_dry_run_verbose_long	dry-run plus verbose long forms print the same planned rename and leave status, index and files matching stock Git
