group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Inspection and Comparison	describe	<none>	<empty>	<none>	commit after annotated tag and lightweight tag	local	all	git describe	closed	git_history_query_compat::describe_matches_stock_git_for_tags_refs_and_dirty_worktrees	default describe output matches stock Git for tag ancestry
Inspection and Comparison	describe	--long	<empty>	<none>	commit after annotated tag and lightweight tag	local	all	git describe --long	closed	git_history_query_compat::describe_matches_stock_git_for_tags_refs_and_dirty_worktrees	long form includes distance and object abbreviation like stock Git
Inspection and Comparison	describe	--abbrev	0	<none>	commit after annotated tag and lightweight tag	local	all	git describe --abbrev=0	closed	git_history_query_compat::describe_matches_stock_git_for_tags_refs_and_dirty_worktrees	abbrev zero emits nearest name without suffix like stock Git
Inspection and Comparison	describe	--abbrev	12	<none>	commit after annotated tag and lightweight tag	local	all	git describe --abbrev=12	closed	git_history_query_compat::describe_matches_stock_git_for_tags_refs_and_dirty_worktrees	explicit abbreviation width matches stock Git
Inspection and Comparison	describe	--tags	<empty>	<none>	commit after annotated tag and lightweight tag	local	all	git describe --tags	closed	git_history_query_compat::describe_matches_stock_git_for_tags_refs_and_dirty_worktrees	lightweight tags are considered like stock Git
Inspection and Comparison	describe	--all	<empty>	<none>	commit after annotated tag and lightweight tag	local	all	git describe --all	closed	git_history_query_compat::describe_matches_stock_git_for_tags_refs_and_dirty_worktrees	all refs output matches stock Git
Inspection and Comparison	describe	--match	v*	<none>	commit after annotated tag and lightweight tag	local	all	git describe --match v*	closed	git_history_query_compat::describe_matches_stock_git_for_tags_refs_and_dirty_worktrees	match pattern filters candidate names like stock Git
Inspection and Comparison	describe	--exclude	light*	<none>	commit after annotated tag and lightweight tag	local	all	git describe --exclude light*	closed	git_history_query_compat::describe_matches_stock_git_for_tags_refs_and_dirty_worktrees	exclude pattern removes matching candidate names like stock Git
Inspection and Comparison	describe	--always	<empty>	<none>	commit after annotated tag and lightweight tag	local	all	git describe --always	closed	git_history_query_compat::describe_matches_stock_git_for_tags_refs_and_dirty_worktrees	always fallback remains stock-shaped when names exist
Inspection and Comparison	describe	--dirty	<empty>	<none>	dirty worktree after tagged history	local	all	git describe --dirty	closed	git_history_query_compat::describe_matches_stock_git_for_tags_refs_and_dirty_worktrees	dirty suffix output matches stock Git
Inspection and Comparison	describe	--always	<empty>	<none>	untagged root commit	local	all	git describe --always	closed	git_history_query_compat::describe_always_matches_stock_git_without_names	always falls back to abbreviated object id when no names exist like stock Git
Inspection and Comparison	describe	<none>	<empty>	<none>	untagged root commit	local	all	git describe	closed	git_history_query_compat::describe_always_matches_stock_git_without_names	default describe failure without names matches stock Git exit and diagnostics
Inspection and Comparison	describe	<positional:commits>	v1.0.0	<none>	annotated tag commit followed by later commit	local	all	git describe v1.0.0	closed	tools/git-describe-schema-oracle-smoke.sh::describe_positional_commitish	positional commit-ish describe output matches stock Git and leaves worktree clean
Inspection and Comparison	describe	--exact-match	<empty>	v1.0.0	annotated tag commit followed by later commit	local	all	git describe --exact-match v1.0.0	closed	tools/git-describe-schema-oracle-smoke.sh::describe_exact_match_tag	exact-match tag describe output matches stock Git and leaves worktree clean
Inspection and Comparison	describe	--contains	<commit-ish>	ancestor commit with descendant annotated tag	branch tip that is reachable from a later annotated tag	local	all	git describe --contains <commit-ish>	closed	git_history_query_compat::describe_additional_documented_options_match_stock_git	contains mode picks the nearest descendant tag and prints stock-compatible tilde distance output
Inspection and Comparison	describe	--first-parent	<empty>	merge commit input	merge commit with side-branch annotated tag	local	all	git describe --first-parent HEAD~1	closed	git_history_query_compat::describe_additional_documented_options_match_stock_git	first-parent mode ignores side-branch tag ancestry and matches stock Git on merge history depth
Inspection and Comparison	describe	--candidates	0	exact-match failure on non-tagged commit	merge commit after nearest annotated tag	local	all	git describe --candidates=0 HEAD	closed	git_history_query_compat::describe_additional_documented_options_match_stock_git	candidates zero is treated as exact-match-only mode with stock-compatible failure exit and diagnostics
Inspection and Comparison	describe	--debug	<empty>	debug stderr on described commit	merge commit after two annotated tags	local	all	git describe --debug HEAD	closed	git_history_query_compat::describe_additional_documented_options_match_stock_git	debug mode matches stock Git stdout, stderr trace and exit status for the describe search strategy output
Inspection and Comparison	describe	--broken	<empty>	corrupt index worktree state	annotated tag with unreadable index	local	all	git describe --broken	closed	git_history_query_compat::describe_broken_matches_stock_git_for_corrupt_index	broken mode prints the stock-compatible suffix and duplicated fatal index diagnostics instead of exiting when worktree dirtiness cannot be determined
