group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing	unpack-objects	-q	<empty>	--strict stdin pack from git pack-objects	empty repository	local	all	git unpack-objects --strict -q < pack	closed	git_pack_integrity_compat::unpack_objects_strict_accepts_stock_git_pack	quiet strict unpack writes object contents matching stock Git target
Plumbing	unpack-objects	-n	<empty>	stdin pack from git pack-objects	empty repository	local	all	git unpack-objects -n < pack	closed	tools/git-unpack-objects-schema-oracle-smoke.sh::unpack_objects_dry_run_short	dry-run short option matches stock stdout, stderr, exit status and leaves the same empty object side effects
Plumbing	unpack-objects	-n	<empty>	repeated -n stdin pack from git pack-objects	empty repository	local	all	git unpack-objects -n -n < pack	closed	git_pack_integrity_compat::unpack_objects_documented_option_combinations_match_stock_git	repeated dry-run short option remains a no-op and leaves the same empty object side effects as stock Git
Plumbing	unpack-objects	-q	<empty>	stdin pack from git pack-objects	empty repository	local	all	git unpack-objects -q < pack	closed	tools/git-unpack-objects-schema-oracle-smoke.sh::unpack_objects_quiet_short	quiet short option matches stock stdout, stderr, exit status and object side effects
Plumbing	unpack-objects	-n	<empty>	-q stdin pack from git pack-objects	empty repository	local	all	git unpack-objects -n -q < pack	closed	tools/git-unpack-objects-schema-oracle-smoke.sh::unpack_objects_dry_run_quiet	dry-run plus quiet matches stock stdout, stderr, exit status and leaves the same empty object side effects
Plumbing	unpack-objects	--strict	<empty>	stdin pack from git pack-objects	empty repository	local	all	git unpack-objects --strict < pack	closed	tools/git-unpack-objects-schema-oracle-smoke.sh::unpack_objects_strict_long	strict long option matches stock stdout, stderr, exit status and object side effects
Plumbing	unpack-objects	--strict	<empty>	repeated --strict -q stdin pack from git pack-objects	empty repository	local	all	git unpack-objects --strict --strict -q < pack	closed	git_pack_integrity_compat::unpack_objects_documented_option_combinations_match_stock_git	repeated strict long option keeps stock-Git quiet output and object side effects
Plumbing	unpack-objects	-r	<empty>	stdin pack from git pack-objects	empty repository	local	all	git unpack-objects -r < pack	closed	tools/git-unpack-objects-schema-oracle-smoke.sh::unpack_objects_recover_short	recover short option matches stock stdout, stderr, exit status and object side effects for a valid pack
Plumbing	unpack-objects	--strict	<empty>	-r stdin pack from git pack-objects	empty repository	local	all	git unpack-objects --strict -r < pack	closed	tools/git-unpack-objects-schema-oracle-smoke.sh::unpack_objects_strict_recover	strict plus recover matches stock stdout, stderr, exit status and object side effects for a valid pack
Plumbing	unpack-objects	--strict	<empty>	-q stdin pack from git pack-objects	empty repository	local	all	git unpack-objects --strict -q < pack	closed	git_pack_integrity_compat::unpack_objects_strict_accepts_stock_git_pack	strict unpack accepts stock Git pack and writes matching object contents
Plumbing	unpack-objects	-r	<empty>	-q stdin pack from git pack-objects	empty repository	local	all	git unpack-objects -r -q < pack	closed	git_pack_integrity_compat::unpack_objects_recover_accepts_valid_stock_git_pack	recover mode accepts valid stock Git pack and writes matching object contents
Plumbing	unpack-objects	-r	<empty>	repeated -r -q stdin pack from git pack-objects	empty repository	local	all	git unpack-objects -r -r -q < pack	closed	git_pack_integrity_compat::unpack_objects_documented_option_combinations_match_stock_git	repeated recover short option keeps stock-Git quiet output and object side effects for a valid pack
Plumbing	unpack-objects	-q	<empty>	stdin delta-friendly pack from git pack-objects --stdout --revs	empty repository	local	all	git unpack-objects -q < pack	closed	git_pack_integrity_compat::unpack_objects_writes_pack_objects_readable_by_stock_git	quiet unpack of a stock pack-objects stream writes object types and contents readable by stock Git for every object reachable from HEAD
Plumbing	unpack-objects	-q	<empty>	repeated -q stdin pack from git pack-objects	empty repository	local	all	git unpack-objects -q -q < pack	closed	git_pack_integrity_compat::unpack_objects_documented_option_combinations_match_stock_git	repeated quiet short option keeps stock-Git empty output and object side effects
