group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Other Git 2.47 commands	check-mailmap	<identity>	name and email	.mailmap name-and-email mapping	repository with .mailmap	local	all	git check-mailmap 'Alias Name <alias@example.com>'	closed	git_text_tools_compat::check_mailmap_matches_stock_git_for_common_entries	name-and-email mapping rewrites identity like stock Git
Other Git 2.47 commands	check-mailmap	<identity>	email only	.mailmap email-to-email mapping	repository with .mailmap	local	all	git check-mailmap 'Other <old@example.com>'	closed	git_text_tools_compat::check_mailmap_matches_stock_git_for_common_entries	email-only mapping rewrites identity like stock Git
Other Git 2.47 commands	check-mailmap	<identity>	display name only	.mailmap display-name mapping	repository with .mailmap	local	all	git check-mailmap 'Someone <display@example.com>'	closed	git_text_tools_compat::check_mailmap_matches_stock_git_for_common_entries	display-name mapping rewrites identity like stock Git
Other Git 2.47 commands	check-mailmap	<identity>	canonical email only	.mailmap canonical email entry	repository with .mailmap	local	all	git check-mailmap 'Name <emailonly@example.com>'	closed	git_text_tools_compat::check_mailmap_matches_stock_git_for_common_entries	canonical email-only entry rewrites identity like stock Git
Other Git 2.47 commands	check-mailmap	<identity>	unmapped identity	.mailmap with no matching entry	repository with .mailmap	local	all	git check-mailmap 'None <none@example.com>'	closed	git_text_tools_compat::check_mailmap_matches_stock_git_for_common_entries	unmapped identity passes through like stock Git
Other Git 2.47 commands	check-mailmap	--stdin	<empty>	multiple stdin identities	repository with .mailmap	local	all	git check-mailmap --stdin < identities.txt	closed	git_text_tools_compat::check_mailmap_matches_stock_git_for_common_entries	stdin identity batch maps and passes through entries like stock Git
Other Git 2.47 commands	check-mailmap	--stdin	<empty>	repeated stdin option	repository with .mailmap	local	all	git check-mailmap --stdin --stdin < identities.txt	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_stdin_repeated	repeated stdin option maps stdin identities like stock Git
Other Git 2.47 commands	check-mailmap	--stdin	<empty>	tripled stdin option	repository with .mailmap	local	all	git check-mailmap --stdin --stdin --stdin < identities.txt	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_stdin_tripled	tripled stdin option keeps stdin identity mapping like stock Git
Other Git 2.47 commands	check-mailmap	--stdin	<empty>	--mailmap-file alt.mailmap	repository with alternate mailmap file	local	all	git check-mailmap --stdin --mailmap-file alt.mailmap < identities.txt	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_stdin_with_mailmap_file	stdin mode with an alternate mailmap file maps stdin identities like stock Git
Other Git 2.47 commands	check-mailmap	--stdin	<empty>	--mailmap-blob <blob>	repository with mailmap blob object	local	all	git check-mailmap --stdin --mailmap-blob <blob> < identities.txt	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_stdin_with_mailmap_blob	stdin mode with a mailmap blob maps stdin identities like stock Git
Other Git 2.47 commands	check-mailmap	--stdin	<empty>	--stdin --no-stdin --stdin	repository with .mailmap	local	all	git check-mailmap --stdin --stdin --no-stdin --stdin < identities.txt	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_stdin_stdin_no_stdin_stdin	later stdin re-enables stdin mode after an intermediate no-stdin like stock Git
Other Git 2.47 commands	check-mailmap	--stdin	<empty>	--mailmap-file alt.mailmap --mailmap-blob <blob>	repository with alternate file and mailmap blob object	local	all	git check-mailmap --stdin --mailmap-file alt.mailmap --mailmap-blob <blob> < identities.txt	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_stdin_file_then_blob	later mailmap blob overrides an earlier mailmap file in stdin mode like stock Git
Other Git 2.47 commands	check-mailmap	--stdin	<empty>	--mailmap-blob <blob> --mailmap-file alt.mailmap	repository with alternate file and mailmap blob object	local	all	git check-mailmap --stdin --mailmap-blob <blob> --mailmap-file alt.mailmap < identities.txt	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_stdin_blob_then_file	later mailmap file overrides an earlier mailmap blob in stdin mode like stock Git
Other Git 2.47 commands	check-mailmap	--stdin	<empty>	--stdin --no-stdin --stdin --mailmap-file alt.mailmap	repository with alternate mailmap file	local	all	git check-mailmap --stdin --no-stdin --stdin --mailmap-file alt.mailmap < identities.txt	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_stdin_no_stdin_stdin_file	later stdin re-enables stdin mode after no-stdin while keeping the alternate mailmap file like stock Git
Other Git 2.47 commands	check-mailmap	--mailmap-file	alt.mailmap	single positional identity	repository with alternate mailmap file	local	all	git check-mailmap --mailmap-file alt.mailmap 'Alt Alias <alt-alias@example.com>'	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_mailmap_file	explicit mailmap file maps a positional identity like stock Git
Other Git 2.47 commands	check-mailmap	--mailmap-file	alt.mailmap	equals value positional identity	repository with alternate mailmap file	local	all	git check-mailmap --mailmap-file=alt.mailmap 'Alt Alias <alt-alias@example.com>'	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_mailmap_file_equals	explicit mailmap file equals form maps a positional identity like stock Git
Other Git 2.47 commands	check-mailmap	--mailmap-blob	<blob>	single positional identity	repository with mailmap blob object	local	all	git check-mailmap --mailmap-blob <blob> 'Blob Alias <blob-alias@example.com>'	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_mailmap_blob	explicit mailmap blob maps a positional identity like stock Git
Other Git 2.47 commands	check-mailmap	--mailmap-blob	<blob>	equals value positional identity	repository with mailmap blob object	local	all	git check-mailmap --mailmap-blob=<blob> 'Blob Alias <blob-alias@example.com>'	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_mailmap_blob_equals	explicit mailmap blob equals form maps a positional identity like stock Git
Other Git 2.47 commands	check-mailmap	--mailmap-blob	<blob>	after --mailmap-file alt.mailmap	repository with alternate file and mailmap blob object	local	all	git check-mailmap --mailmap-file alt.mailmap --mailmap-blob <blob> 'Blob Alias <blob-alias@example.com>'	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_mailmap_file_then_blob	later mailmap blob overrides an earlier mailmap file like stock Git
Other Git 2.47 commands	check-mailmap	--mailmap-file	alt.mailmap	after --mailmap-blob <blob>	repository with alternate file and mailmap blob object	local	all	git check-mailmap --mailmap-blob <blob> --mailmap-file alt.mailmap 'Alt Alias <alt-alias@example.com>'	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_mailmap_blob_then_file	later mailmap file overrides an earlier mailmap blob like stock Git
Other Git 2.47 commands	check-mailmap	--mailmap-blob	<blob>	after --mailmap-file=alt.mailmap	repository with alternate file and mailmap blob object	local	all	git check-mailmap --mailmap-file=alt.mailmap --mailmap-blob=<blob> 'Blob Alias <blob-alias@example.com>'	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_mailmap_file_equals_then_blob_equals	equals-form mailmap blob overrides an earlier equals-form mailmap file like stock Git
Other Git 2.47 commands	check-mailmap	--mailmap-file	alt.mailmap	after --stdin --no-stdin positional identity	repository with alternate mailmap file	local	all	git check-mailmap --stdin --no-stdin --mailmap-file alt.mailmap 'Alt Alias <alt-alias@example.com>'	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_stdin_no_stdin_with_mailmap_file_positional	later no-stdin switches to positional mode while keeping the alternate mailmap file like stock Git
Other Git 2.47 commands	check-mailmap	--mailmap-blob	<blob>	after --stdin --no-stdin positional identity	repository with mailmap blob object	local	all	git check-mailmap --stdin --no-stdin --mailmap-blob <blob> 'Blob Alias <blob-alias@example.com>'	closed	tools/git-check-mailmap-oracle-smoke.sh::check_mailmap_stdin_no_stdin_with_mailmap_blob_positional	later no-stdin switches to positional mode while keeping the mailmap blob like stock Git
Other Git 2.47 commands	check-mailmap	--stdin	<empty>	--no-stdin positional identity	repository with .mailmap	local	all	git check-mailmap --stdin --no-stdin 'Alias Name <alias@example.com>'	closed	git_text_tools_compat::check_mailmap_matches_stock_git_for_common_entries	later no-stdin resets stdin mode and uses positional identity like stock Git
