group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Setup and Config	var	<none>	GIT_AUTHOR_IDENT	identity env and config	local repository	local	all	git var GIT_AUTHOR_IDENT	closed	git_admin_tools_compat::var_identity_matches_stock_git	author ident output matches stock Git from configured identity and environment
Setup and Config	var	<positional:variable>	GIT_AUTHOR_IDENT	identity env and config	local repository	local	all	git var GIT_AUTHOR_IDENT	closed	git_admin_tools_compat::var_identity_matches_stock_git	variable positional surface selects GIT_AUTHOR_IDENT and matches stock identity output
Setup and Config	var	<none>	GIT_COMMITTER_IDENT	identity env and config	local repository	local	all	git var GIT_COMMITTER_IDENT	closed	git_admin_tools_compat::var_identity_matches_stock_git	committer ident output matches stock Git from configured identity and environment
Setup and Config	var	<none>	GIT_DEFAULT_BRANCH	default branch query	local repository	local	all	git var GIT_DEFAULT_BRANCH	closed	git_admin_tools_compat::var_identity_matches_stock_git	default branch output matches stock Git
Setup and Config	var	-l	<empty>	isolated config and identity env	local repository	local	all	git var -l	closed	git_admin_tools_compat::var_list_and_failures_match_stock_git	var list output and exit status match stock Git
Setup and Config	var	<none>	GIT_PAGER	isolated config	local repository	local	all	git var GIT_PAGER	closed	git_admin_tools_compat::var_list_and_failures_match_stock_git	pager path/value output matches stock Git
Setup and Config	var	<none>	GIT_SHELL_PATH	isolated config	local repository	local	all	git var GIT_SHELL_PATH	closed	git_admin_tools_compat::var_list_and_failures_match_stock_git	shell path output matches stock Git
Setup and Config	var	<none>	GIT_ATTR_SYSTEM	isolated config	local repository	local	all	git var GIT_ATTR_SYSTEM	closed	git_admin_tools_compat::var_list_and_failures_match_stock_git	system attributes path query matches stock Git
Setup and Config	var	<none>	GIT_ATTR_GLOBAL	isolated config	local repository	local	all	git var GIT_ATTR_GLOBAL	closed	git_admin_tools_compat::var_list_and_failures_match_stock_git	global attributes path query matches stock Git
Setup and Config	var	<none>	GIT_CONFIG_GLOBAL	isolated config	local repository	local	all	git var GIT_CONFIG_GLOBAL	closed	git_admin_tools_compat::var_list_and_failures_match_stock_git	global config path query matches stock Git
Setup and Config	var	<none>	<empty>	missing variable name	local repository	local	all	git var	invalid-input	git_admin_tools_compat::var_list_and_failures_match_stock_git	missing variable usage failure matches stock Git
Setup and Config	var	<none>	GIT_UNKNOWN	unknown variable	local repository	local	all	git var GIT_UNKNOWN	invalid-input	git_admin_tools_compat::var_list_and_failures_match_stock_git	unknown variable usage failure matches stock Git
Setup and Config	var	-l	GIT_AUTHOR_IDENT	unexpected argument	local repository	local	all	git var -l GIT_AUTHOR_IDENT	invalid-input	git_admin_tools_compat::var_list_and_failures_match_stock_git	list mode with extra variable argument fails with stock usage
