group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Other Git 2.47 commands	patch-id	<none>	<empty>	stdin diff patch	modified tracked file	local	all	git patch-id < diff.patch	closed	git_apply_compat::patch_id_matches_stock_git_for_diff_and_log_patches	default patch-id output for a single diff patch matches stock Git
Other Git 2.47 commands	patch-id	--stable	<empty>	stdin diff patch	modified tracked file	local	all	git patch-id --stable < diff.patch	closed	git_apply_compat::patch_id_matches_stock_git_for_diff_and_log_patches	stable patch-id output for a single diff patch matches stock Git
Other Git 2.47 commands	patch-id	--unstable	<empty>	stdin diff patch	modified tracked file	local	all	git patch-id --unstable < diff.patch	closed	git_apply_compat::patch_id_matches_stock_git_for_diff_and_log_patches	unstable patch-id output for a single diff patch matches stock Git
Other Git 2.47 commands	patch-id	--verbatim	<empty>	stdin diff patch	modified tracked file with whitespace change	local	all	git patch-id --verbatim < diff.patch	closed	git_apply_compat::patch_id_matches_stock_git_for_diff_and_log_patches	verbatim patch-id preserves whitespace-sensitive input like stock Git
Other Git 2.47 commands	patch-id	--stable	<empty>	stdin log patch stream	two recent commits with patch output	local	all	git patch-id --stable < log.patch	closed	git_apply_compat::patch_id_matches_stock_git_for_diff_and_log_patches	stable patch-id output for a multi-commit log patch stream matches stock Git
Other Git 2.47 commands	patch-id	--unstable	<empty>	stdin log patch stream	two recent commits with patch output	local	all	git patch-id --unstable < log.patch	closed	git_apply_compat::patch_id_matches_stock_git_for_diff_and_log_patches	unstable patch-id output for a multi-commit log patch stream matches stock Git
Other Git 2.47 commands	patch-id	--stable	<empty>	repeated stable mode stdin diff patch	modified tracked file	local	all	git patch-id --stable --stable < diff.patch	closed	tools/git-patch-id-schema-oracle-smoke.sh::patch_id_stable_repeated	repeated stable option output matches stock Git
Other Git 2.47 commands	patch-id	--unstable	<empty>	repeated unstable mode stdin diff patch	modified tracked file	local	all	git patch-id --unstable --unstable < diff.patch	closed	tools/git-patch-id-schema-oracle-smoke.sh::patch_id_unstable_repeated	repeated unstable option output matches stock Git
Other Git 2.47 commands	patch-id	--verbatim	<empty>	repeated verbatim mode stdin diff patch	modified tracked file	local	all	git patch-id --verbatim --verbatim < diff.patch	closed	tools/git-patch-id-schema-oracle-smoke.sh::patch_id_verbatim_repeated	repeated verbatim option output matches stock Git
Other Git 2.47 commands	patch-id	--no-stable	<empty>	unknown negated stable mode stdin diff patch	modified tracked file	local	all	git patch-id --no-stable < diff.patch	invalid-input	tools/git-patch-id-schema-oracle-smoke.sh::patch_id_no_stable_rejected	stock Git rejects no-stable with exit 129 and matching stderr
Other Git 2.47 commands	patch-id	--no-unstable	<empty>	unknown negated unstable mode stdin diff patch	modified tracked file	local	all	git patch-id --no-unstable < diff.patch	invalid-input	tools/git-patch-id-schema-oracle-smoke.sh::patch_id_no_unstable_rejected	stock Git rejects no-unstable with exit 129 and matching stderr
Other Git 2.47 commands	patch-id	--no-verbatim	<empty>	unknown negated verbatim mode stdin diff patch	modified tracked file	local	all	git patch-id --no-verbatim < diff.patch	invalid-input	tools/git-patch-id-schema-oracle-smoke.sh::patch_id_no_verbatim_rejected	stock Git rejects no-verbatim with exit 129 and matching stderr
Other Git 2.47 commands	patch-id	-O	stable	unknown compact option stdin diff patch	modified tracked file	local	all	git patch-id -Ostable < diff.patch	invalid-input	tools/git-patch-id-schema-oracle-smoke.sh::patch_id_o_compact_rejected	stock Git rejects compact -O option with exit 129 and matching stderr
Other Git 2.47 commands	patch-id	-O	stable	unknown separate option stdin diff patch	modified tracked file	local	all	git patch-id -O stable < diff.patch	invalid-input	tools/git-patch-id-schema-oracle-smoke.sh::patch_id_o_separate_rejected	stock Git rejects separate -O option with exit 129 and matching stderr
Other Git 2.47 commands	patch-id	--stable	true	stable value rejection stdin diff patch	modified tracked file	local	all	git patch-id --stable=true < diff.patch	invalid-input	tools/git-patch-id-schema-oracle-smoke.sh::patch_id_stable_rejects_value	stock Git rejects stable value with exit 129 and matching stderr
Other Git 2.47 commands	patch-id	--unstable	true	unstable value rejection stdin diff patch	modified tracked file	local	all	git patch-id --unstable=true < diff.patch	invalid-input	tools/git-patch-id-schema-oracle-smoke.sh::patch_id_unstable_rejects_value	stock Git rejects unstable value with exit 129 and matching stderr
Other Git 2.47 commands	patch-id	--verbatim	true	verbatim value rejection stdin diff patch	modified tracked file	local	all	git patch-id --verbatim=true < diff.patch	invalid-input	tools/git-patch-id-schema-oracle-smoke.sh::patch_id_verbatim_rejects_value	stock Git rejects verbatim value with exit 129 and matching stderr
