group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Branching and Merging	switch	-c	feature	create branch from current HEAD	committed repository on default branch	local	all	git switch -c feature	closed	git_worktree_state_compat::switch_create_matches_stock_git_state	created branch symbolic HEAD matches stock Git and subsequent branch switch state remains stock-compatible
Branching and Merging	switch	--create	feature	create branch from current HEAD	committed repository on default branch	local	all	git switch --create feature	closed	tools/git-switch-schema-gap-probe.sh::switch_create_long	long create form stdout/stderr/exit matches stock Git, including new-branch stderr wording
Branching and Merging	switch	<positional:target>	feature	switch to existing branch	two-branch committed repository	local	all	git switch feature	closed	git_worktree_state_compat::switch_create_matches_stock_git_state	positional target switches to the existing branch with matching tree and worktree side effects
Branching and Merging	switch	--orphan	orphan	create orphan branch	committed repository	local	all	git switch --orphan orphan	closed	git_worktree_state_compat::switch_orphan_and_discard_changes_match_stock_git_state	orphan switch matches stock symbolic HEAD, porcelain status, empty index and removed worktree file state
Branching and Merging	switch	--discard-changes	<empty>	switch to branch with dirty worktree	two-commit repository with dirty tracked file	local	all	git switch --discard-changes feature	closed	git_worktree_state_compat::switch_orphan_and_discard_changes_match_stock_git_state	discard-changes switch matches stock porcelain status and restored worktree file contents
Branching and Merging	switch	--detach	feature	detach at branch target	two-commit repository with feature branch	local	all	git switch --detach feature	closed	git_worktree_state_compat::switch_detach_matches_stock_git_for_branch_targets	detached branch target matches stock HEAD mode, object id, porcelain status and tree contents
Branching and Merging	switch	--force	feature	switch to branch with dirty tracked file	two-commit repository with dirty tracked file	local	all	git switch --force feature	closed	tools/git-force-schema-oracle-smoke.sh::switch_force_long	force long form discards the dirty tracked file while switching HEAD, stdout, stderr, status and file contents like stock Git
Branching and Merging	switch	-f	feature	switch to branch with dirty tracked file	two-commit repository with dirty tracked file	local	all	git switch -f feature	closed	tools/git-force-schema-oracle-smoke.sh::switch_force_short	force short form discards the dirty tracked file while switching HEAD, stdout, stderr, status and file contents like stock Git
Branching and Merging	switch	--track	feature	existing branch target without create	two-commit repository with feature branch	local	all	git switch --track feature	invalid-input	git_worktree_state_compat::switch_track_flags_require_branch_creation_like_stock_git	long track flag rejects switching to an existing local branch without branch creation, matching stock exit, stderr and unchanged branch state
Branching and Merging	switch	--no-track	feature	existing branch target without create	two-commit repository with feature branch	local	all	git switch --no-track feature	invalid-input	git_worktree_state_compat::switch_track_flags_require_branch_creation_like_stock_git	no-track rejects switching to an existing local branch without branch creation, matching stock exit, stderr and unchanged branch state
Branching and Merging	switch	-t	feature	existing branch target without create	two-commit repository with feature branch	local	all	git switch -t feature	invalid-input	git_worktree_state_compat::switch_track_flags_require_branch_creation_like_stock_git	short track alias rejects switching to an existing local branch without branch creation, matching stock exit, stderr and unchanged branch state
Branching and Merging	switch	--quiet	<empty>	quiet existing branch switch	two-commit repository with feature branch	local	all	git switch --quiet feature	closed	git_worktree_state_compat::switch_documented_branch_flags_match_stock_git	quiet long form suppresses branch-switch stderr while preserving stock branch state
Branching and Merging	switch	-q	<empty>	quiet existing branch switch	two-commit repository with feature branch	local	all	git switch -q feature	closed	git_worktree_state_compat::switch_documented_branch_flags_match_stock_git	quiet short form suppresses branch-switch stderr while preserving stock branch state
Branching and Merging	switch	--merge	<empty>	merge flag existing branch switch	two-commit repository with feature branch	local	all	git switch --merge feature	closed	git_worktree_state_compat::switch_documented_branch_flags_match_stock_git	merge long form matches stock stdout stderr and branch state on a clean local switch lane
