group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Other Git 2.47 commands	index-pack	--verify	<empty>	checksum-valid bad reverse-index signature	local pack with idx and rev	local	all	git index-pack --verify .git/objects/pack/pack-*.pack	invalid-input	git_pack_integrity_compat::index_pack_verify_rejects_bad_reverse_index_signature_like_stock_git	stock Git rejects corrupt pack reverse-index signatures with sha1 validation diagnostics and exit 128
Other Git 2.47 commands	index-pack	--verify	<empty>	checksum-valid unsupported reverse-index version	local pack with idx and rev	local	all	git index-pack --verify .git/objects/pack/pack-*.pack	invalid-input	git_pack_integrity_compat::index_pack_verify_rejects_bad_reverse_index_version_like_stock_git	stock Git rejects unsupported pack reverse-index versions with sha1 validation diagnostics and exit 128
Other Git 2.47 commands	index-pack	--verify	<empty>	checksum-valid unsupported pack file version	local pack with idx	local	all	git index-pack --verify .git/objects/pack/pack-*.pack	invalid-input	git_pack_integrity_compat::index_pack_verify_rejects_unsupported_pack_file_version_like_stock_git	stock Git rejects unsupported pack file version 4 with fatal pack version diagnostics and exit 128
Other Git 2.47 commands	index-pack	--stdin	<empty>	default reverse-index side effects	stock pack stream from pack-objects --stdout --revs	local	all	git index-pack --stdin	closed	git_pack_integrity_compat::index_pack_stdin_writes_stock_readable_pack_index	stdin pack indexing matches stock Git output and writes matching .pack, .idx and .rev side effects
Other Git 2.47 commands	index-pack	--no-rev-index	<empty>	stdin pack without reverse-index side effect	stock pack stream from pack-objects --stdout --revs	local	all	git index-pack --stdin --no-rev-index	closed	git_pack_integrity_compat::index_pack_stdin_writes_stock_readable_pack_index	no-rev-index stdin indexing matches stock Git output, writes matching pack/index files and omits the .rev side effect
Other Git 2.47 commands	index-pack	--index-version	1	stdin keep pack indexing	stock pack stream from pack-objects --stdout --revs	local	all	git index-pack --stdin --keep= --index-version=1	closed	git_pack_integrity_compat::index_pack_version_1_matches_stock_git_output_and_writes_v1_index	index version 1 stdin indexing with keep output matches stock Git and writes byte-identical v1 index contents without breaking fsck --strict
Other Git 2.47 commands	index-pack	--rev-index	<empty>	stdin pack with explicit reverse-index	stock pack stream from pack-objects --stdout --revs	local	all	git index-pack --stdin --rev-index	closed	git_pack_integrity_compat::index_pack_stdin_writes_stock_readable_pack_index	explicit rev-index stdin indexing matches stock Git output and writes matching .rev side effects
Other Git 2.47 commands	index-pack	<positional:pack_file>	input.pack	standalone pack-file indexing	standalone directory without a Git repository	local	all	git index-pack input.pack	closed	git_pack_integrity_compat::index_pack_file_does_not_require_git_repository_like_stock_git	pack-file positional mode does not require a repository, matches stock output and writes matching standalone .idx bytes
Other Git 2.47 commands	index-pack	--keep	<empty>	stdin keep with index-version 2	stock pack stream from pack-objects --stdout --revs	local	all	git index-pack --stdin --keep= --index-version=2	closed	git_pack_integrity_compat::index_pack_keep_and_index_version_match_stock_git_output	keep-mode stdin indexing matches stock keep output and leaves a .keep side effect for the indexed pack
Other Git 2.47 commands	index-pack	--strict	<empty>	stdin strict fsck validation	stock pack stream from pack-objects --stdout --revs	local	all	git index-pack --stdin --strict --fsck-objects	closed	git_pack_integrity_compat::index_pack_strict_and_fsck_objects_accept_valid_stock_pack	strict stdin validation with fsck-objects accepts a valid stock pack, matches stock output and writes the expected pack index
Other Git 2.47 commands	index-pack	--fsck-objects	<empty>	stdin strict fsck validation	stock pack stream from pack-objects --stdout --revs	local	all	git index-pack --stdin --strict --fsck-objects	closed	git_pack_integrity_compat::index_pack_strict_and_fsck_objects_accept_valid_stock_pack	fsck-objects stdin validation with strict accepts a valid stock pack, matches stock output and writes the expected pack index
Other Git 2.47 commands	index-pack	--strict	<empty>	malformed commit pack-file rejection	local pack file containing malformed commit object	local	all	git index-pack --strict bad.pack	invalid-input	git_pack_integrity_compat::index_pack_strict_rejects_malformed_commit_like_stock_git	strict pack-file validation rejects a malformed commit object with stock-matching output for direct pack-file indexing
Other Git 2.47 commands	index-pack	--fsck-objects	<empty>	malformed commit pack-file rejection	local pack file containing malformed commit object	local	all	git index-pack --fsck-objects bad.pack	invalid-input	git_pack_integrity_compat::index_pack_strict_rejects_malformed_commit_like_stock_git	fsck-objects pack-file validation rejects a malformed commit object with stock-matching output for direct pack-file indexing
Other Git 2.47 commands	index-pack	--strict	missingAuthor=warn	malformed commit pack-file rejection	local pack file containing malformed commit object	local	all	git index-pack --strict=missingAuthor=warn bad.pack	invalid-input	git_pack_integrity_compat::index_pack_strict_rejects_malformed_commit_like_stock_git	configured strict pack-file validation still rejects the malformed commit object with stock-matching output
Other Git 2.47 commands	index-pack	--threads	1	standalone pack-file indexing with explicit thread count	standalone directory without a Git repository	local	all	git index-pack --threads=1 input.pack	closed	git_pack_integrity_compat::index_pack_documented_option_family_matches_stock_git	explicit thread count matches stock Git output and generated standalone index bytes on the current helper-free pack-file lane
Other Git 2.47 commands	index-pack	--check-self-contained-and-connected	<empty>	standalone pack-file connectivity check	standalone directory without a Git repository	local	all	git index-pack --check-self-contained-and-connected input.pack	closed	git_pack_integrity_compat::index_pack_documented_option_family_matches_stock_git	internal connectivity-check flag matches stock Git output and generated standalone index bytes for a self-contained pack file
Other Git 2.47 commands	index-pack	--max-input-size	1k	stdin size-limit rejection	stock pack stream from pack-objects --stdout --revs	local	all	git index-pack --max-input-size=1k --stdin	invalid-input	git_pack_integrity_compat::index_pack_documented_option_family_matches_stock_git	documented max-input-size parsing follows stock Git's current digit-prefix behavior where 1k is treated as a 1-byte limit and rejects the stdin pack stream
Other Git 2.47 commands	index-pack	--object-format	sha1	standalone pack-file indexing with explicit sha1 format	standalone directory without a Git repository	local	all	git index-pack --object-format=sha1 input.pack	closed	git_pack_integrity_compat::index_pack_documented_option_family_matches_stock_git	explicit sha1 object-format selection matches stock Git output and generated standalone index bytes on the current pack-file lane
