group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Other Git 2.47 commands	show-index	<stdin>	pack index	<empty>	stdin pack index from repacked repository	local	all	git show-index < pack-*.idx	closed	git_object_plumbing_compat::show_index_matches_stock_git_for_pack_index_stdin	normal pack index stdin output matches stock Git
Other Git 2.47 commands	show-index	<stdin>	pack index version 3	checksum-valid unsupported idx version	stdin pack index	local	all	git show-index < pack-*.idx	invalid-input	git_object_plumbing_compat::show_index_rejects_unsupported_pack_index_version_like_stock_git	stock Git rejects unsupported pack index versions from stdin with fatal unknown-index-version diagnostics and exit 128
Other Git 2.47 commands	show-index	--object-format	sha1	equals value	stdin pack index from repacked repository	local	all	git show-index --object-format=sha1 < pack-*.idx	closed	tools/git-show-index-object-format-oracle-smoke.sh::show_index_object_format_sha1_equals	object-format sha1 equals form output matches stock Git
Other Git 2.47 commands	show-index	--object-format	sha1	separate value	stdin pack index from repacked repository	local	all	git show-index --object-format sha1 < pack-*.idx	closed	tools/git-show-index-object-format-oracle-smoke.sh::show_index_object_format_sha1_separate	object-format sha1 separate value output matches stock Git
Other Git 2.47 commands	show-index	--object-format	sha1	repeated equals values	stdin pack index from repacked repository	local	all	git show-index --object-format=sha1 --object-format=sha1 < pack-*.idx	closed	tools/git-show-index-object-format-oracle-smoke.sh::show_index_object_format_repeated	repeated object-format sha1 output matches stock Git
Other Git 2.47 commands	show-index	--no-object-format	<empty>	negated option	stdin pack index from repacked repository	local	all	git show-index --no-object-format < pack-*.idx	closed	tools/git-show-index-object-format-oracle-smoke.sh::show_index_no_object_format	no-object-format output matches stock Git default
Other Git 2.47 commands	show-index	--object-format	sha1	--no-object-format	stdin pack index from repacked repository	local	all	git show-index --no-object-format --object-format=sha1 < pack-*.idx	closed	tools/git-show-index-object-format-oracle-smoke.sh::show_index_no_then_yes	later object-format overrides earlier no-object-format like stock Git
Other Git 2.47 commands	show-index	--no-object-format	<empty>	--object-format=sha1	stdin pack index from repacked repository	local	all	git show-index --object-format=sha1 --no-object-format < pack-*.idx	closed	tools/git-show-index-object-format-oracle-smoke.sh::show_index_yes_then_no	later no-object-format resets earlier object-format like stock Git
Other Git 2.47 commands	show-index	--no-object-format	<empty>	--object-format sha1	stdin pack index from repacked repository	local	all	git show-index --object-format sha1 --no-object-format < pack-*.idx	closed	tools/git-show-index-object-format-oracle-smoke.sh::show_index_sep_then_no	later no-object-format resets earlier separate object-format value like stock Git
Other Git 2.47 commands	show-index	--object-format	sha1	--no-object-format separate value	stdin pack index from repacked repository	local	all	git show-index --no-object-format --object-format sha1 < pack-*.idx	closed	tools/git-show-index-object-format-oracle-smoke.sh::show_index_no_then_sep	later separate object-format value overrides earlier no-object-format like stock Git
Other Git 2.47 commands	show-index	--no-object-format	<empty>	repeated negation	stdin pack index from repacked repository	local	all	git show-index --no-object-format --no-object-format < pack-*.idx	closed	tools/git-show-index-object-format-oracle-smoke.sh::show_index_repeat_no	repeated no-object-format is accepted and keeps default behavior like stock Git
Other Git 2.47 commands	show-index	--object-format	sha1	separate then equals	stdin pack index from repacked repository	local	all	git show-index --object-format sha1 --object-format=sha1 < pack-*.idx	closed	git_object_plumbing_compat::show_index_option_order_matches_stock_git	separate sha1 followed by equals sha1 is accepted like stock Git
Other Git 2.47 commands	show-index	--object-format	sha1	equals then separate	stdin pack index from repacked repository	local	all	git show-index --object-format=sha1 --object-format sha1 < pack-*.idx	closed	git_object_plumbing_compat::show_index_option_order_matches_stock_git	equals sha1 followed by separate sha1 is accepted like stock Git
Other Git 2.47 commands	show-index	--object-format	sha1	repeated separate values	stdin pack index from repacked repository	local	all	git show-index --object-format sha1 --object-format sha1 < pack-*.idx	closed	git_object_plumbing_compat::show_index_option_order_matches_stock_git	repeated separate sha1 values are accepted like stock Git
Other Git 2.47 commands	show-index	--no-object-format	<empty>	after repeated sha1 equals	stdin pack index from repacked repository	local	all	git show-index --object-format=sha1 --object-format=sha1 --no-object-format < pack-*.idx	closed	git_object_plumbing_compat::show_index_option_order_matches_stock_git	final no-object-format still resets repeated sha1 equals values like stock Git
Other Git 2.47 commands	show-index	--no-object-format	<empty>	around separate sha1 value	stdin pack index from repacked repository	local	all	git show-index --no-object-format --object-format sha1 --no-object-format < pack-*.idx	closed	git_object_plumbing_compat::show_index_option_order_matches_stock_git	final no-object-format resets an intermediate separate sha1 value like stock Git
Other Git 2.47 commands	show-index	--object-format	sha1	separate no separate	stdin pack index from repacked repository	local	all	git show-index --object-format sha1 --no-object-format --object-format sha1 < pack-*.idx	closed	git_object_plumbing_compat::show_index_option_order_matches_stock_git	separate sha1 value can override again after a no-object-format reset like stock Git
Other Git 2.47 commands	show-index	--no-object-format	<empty>	sandwiched by object-format sha1	stdin pack index from repacked repository	local	all	git show-index --no-object-format --object-format=sha1 --no-object-format < pack-*.idx	closed	git_object_plumbing_compat::show_index_option_order_matches_stock_git	final no-object-format restores default output after an earlier sha1 override like stock Git
Other Git 2.47 commands	show-index	--object-format	sha1	after no-object-format sandwiched by sha1	stdin pack index from repacked repository	local	all	git show-index --object-format=sha1 --no-object-format --object-format=sha1 < pack-*.idx	closed	git_object_plumbing_compat::show_index_option_order_matches_stock_git	final sha1 override wins after an intermediate no-object-format like stock Git
Other Git 2.47 commands	show-index	--object-format	sha256	equals value	stdin pack index from repacked repository	local	all	git show-index --object-format=sha256 < pack-*.idx	closed	tools/git-show-index-object-format-oracle-smoke.sh::show_index_sha256	sha256 object-format follows stock Git malformed-output and fatal tail on sha1 pack indexes
Other Git 2.47 commands	show-index	--object-format	sha256	repeated equals values	stdin pack index from repacked repository	local	all	git show-index --object-format=sha256 --object-format=sha256 < pack-*.idx	closed	git_object_plumbing_compat::show_index_option_order_matches_stock_git	repeated sha256 values preserve stock Git malformed-output and fatal tail
Other Git 2.47 commands	show-index	--no-object-format	<empty>	after repeated sha256 values	stdin pack index from repacked repository	local	all	git show-index --object-format=sha256 --object-format=sha256 --no-object-format < pack-*.idx	closed	git_object_plumbing_compat::show_index_option_order_matches_stock_git	final no-object-format suppresses repeated sha256 parse mode like stock Git
Other Git 2.47 commands	show-index	--object-format	sha256	after earlier sha1	stdin pack index from repacked repository	local	all	git show-index --object-format=sha1 --object-format=sha256 < pack-*.idx	closed	tools/git-show-index-object-format-oracle-smoke.sh::show_index_sha1_then_sha256	last object-format sha256 keeps stock Git malformed-output and fatal tail
