group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Setup and Config	config	<none>	key value	<none>	local repository	local	all	git config user.name Bench	closed	git_admin_tools_compat::config_get_set_and_list_match_stock_git	writes local .git/config entry like stock Git
Setup and Config	config	<none>	user.email bench@example.test	local config write	local repository	local	all	git config user.email bench@example.test	closed	git_admin_tools_compat::config_get_set_and_list_match_stock_git	writes local user.email entry and later list/reg-exp output matches stock Git
Setup and Config	config	<none>	branch.main.remote origin	local config write	local repository	local	all	git config branch.main.remote origin	closed	git_admin_tools_compat::config_get_set_and_list_match_stock_git	writes branch remote config and later implicit get/list output matches stock Git
Setup and Config	config	<none>	branch.main.merge refs/heads/main	local config write	local repository	local	all	git config branch.main.merge refs/heads/main	closed	git_admin_tools_compat::config_get_set_and_list_match_stock_git	writes branch merge config and later list output matches stock Git
Setup and Config	config	<none>	key	<none>	local repository with value	local	all	git config branch.main.remote	closed	git_admin_tools_compat::config_get_set_and_list_match_stock_git	implicit get form matches stock Git output
Setup and Config	config	--get	key	<none>	local repository with value	local	all	git config --get user.name	closed	git_admin_tools_compat::config_get_set_and_list_match_stock_git	explicit get output and exit code match stock Git
Setup and Config	config	--list	<empty>	<none>	local repository with multiple values	local	all	git config --list	closed	git_admin_tools_compat::config_get_set_and_list_match_stock_git	list output ordering matches stock Git for covered local config
Setup and Config	config	--null	<empty>	--list	local repository with multiple values	local	all	git config --null --list	closed	git_admin_tools_compat::config_get_set_and_list_match_stock_git	NUL-delimited list output matches stock Git
Setup and Config	config	--null	<empty>	--list through replacement shim	cloned repository config	local	all	git config --null --list	closed	tools/git-replacement-dogfood-smoke.sh::config_null_list	NUL-delimited config listing matches stock Git through a git-in-PATH replacement shim
Setup and Config	config	--get	core.filemode	through replacement shim	cloned repository config	local	all	git config --get core.filemode	closed	tools/git-replacement-dogfood-smoke.sh::config_core_filemode	core filemode query matches stock Git through a git-in-PATH replacement shim
Setup and Config	config	--get	remote.origin.url	through replacement shim	cloned repository config	local	all	git config --get remote.origin.url	closed	tools/git-replacement-dogfood-smoke.sh::config_remote_url	remote origin URL query matches stock Git through a git-in-PATH replacement shim
Setup and Config	config	--get	branch.main.remote	through replacement shim	cloned repository config	local	all	git config --get branch.main.remote	closed	tools/git-replacement-dogfood-smoke.sh::config_branch_remote	branch remote query matches stock Git through a git-in-PATH replacement shim
Setup and Config	config	--get	branch.main.merge	through replacement shim	cloned repository config	local	all	git config --get branch.main.merge	closed	tools/git-replacement-dogfood-smoke.sh::config_branch_merge	branch merge query matches stock Git through a git-in-PATH replacement shim
Setup and Config	config	--get	commit.template	through replacement shim	cloned repository without value	local	all	git config --get commit.template	closed	tools/git-replacement-dogfood-smoke.sh::config_missing_commit_template	missing optional commit template query exits 1 with empty stdout/stderr like stock Git through a git-in-PATH replacement shim
