group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	refs	verify	<empty>	healthy repository refs	committed repository with branch and tag	local	all	git refs verify	closed	git_refs_compat::refs_verify_matches_stock_git_for_healthy_repository	default refs verify exits with stdout and stderr matching stock Git for a healthy repository
Plumbing Commands	refs	--verbose	<empty>	verify subcommand	committed repository with branch and tag	local	all	git refs verify --verbose	closed	git_refs_compat::refs_verify_matches_stock_git_for_healthy_repository	verbose refs verify output and exit status match stock Git for a healthy repository
Plumbing Commands	refs	--strict	<empty>	verify subcommand	committed repository with branch and tag	local	all	git refs verify --strict	closed	git_refs_compat::refs_verify_matches_stock_git_for_healthy_repository	strict refs verify output and exit status match stock Git for a healthy repository
Plumbing Commands	refs	--no-verbose	<empty>	verify subcommand	committed repository with branch and tag	local	all	git refs verify --no-verbose	closed	git_refs_compat::refs_verify_toggle_combinations_match_stock_git	explicit no-verbose keeps refs verify quiet like stock Git
Plumbing Commands	refs	--no-strict	<empty>	verify subcommand	committed repository with branch and tag	local	all	git refs verify --no-strict	closed	git_refs_compat::refs_verify_toggle_combinations_match_stock_git	explicit no-strict matches the default refs verify mode like stock Git
Plumbing Commands	refs	--strict	<empty>	--verbose	committed repository with branch and tag	local	all	git refs verify --strict --verbose	closed	git_refs_compat::refs_verify_toggle_combinations_match_stock_git	strict and verbose together produce the same stock Git verification trace regardless of option order
Plumbing Commands	refs	--verbose	<empty>	--strict	committed repository with branch and tag	local	all	git refs verify --verbose --strict	closed	git_refs_compat::refs_verify_toggle_combinations_match_stock_git	verbose and strict remain order-independent like stock Git
Plumbing Commands	refs	--strict	<empty>	--no-strict	committed repository with branch and tag	local	all	git refs verify --strict --no-strict	closed	git_refs_compat::refs_verify_toggle_combinations_match_stock_git	last strict toggle wins, so trailing no-strict restores default refs verify behavior like stock Git
Plumbing Commands	refs	--no-strict	<empty>	--strict	committed repository with branch and tag	local	all	git refs verify --no-strict --strict	closed	git_refs_compat::refs_verify_toggle_combinations_match_stock_git	last strict toggle wins, so trailing strict re-enables strict mode like stock Git
Plumbing Commands	refs	--verbose	<empty>	--no-verbose	committed repository with branch and tag	local	all	git refs verify --verbose --no-verbose	closed	git_refs_compat::refs_verify_toggle_combinations_match_stock_git	last verbose toggle wins, so trailing no-verbose suppresses the verification trace like stock Git
Plumbing Commands	refs	--no-verbose	<empty>	--verbose	committed repository with branch and tag	local	all	git refs verify --no-verbose --verbose	closed	git_refs_compat::refs_verify_toggle_combinations_match_stock_git	last verbose toggle wins, so trailing verbose restores the verification trace like stock Git
Plumbing Commands	refs	--dry-run	<empty>	verify subcommand	committed repository with branch and tag	local	all	git refs verify --dry-run	invalid-input	git_refs_compat::refs_verify_invalid_option_failures_match_stock_git	stock Git rejects dry-run for refs verify with exit 129 and matching usage stderr
Plumbing Commands	refs	--ref-format	files	verify subcommand	committed repository with branch and tag	local	all	git refs verify --ref-format=files	invalid-input	git_refs_compat::refs_verify_invalid_option_failures_match_stock_git	stock Git rejects ref-format=files for refs verify with exit 129 and matching usage stderr
Plumbing Commands	refs	--ref-format	reftable	verify subcommand	committed repository with branch and tag	local	all	git refs verify --ref-format=reftable	invalid-input	git_refs_compat::refs_verify_invalid_option_failures_match_stock_git	stock Git rejects ref-format=reftable for refs verify with exit 129 and matching usage stderr
Plumbing Commands	refs	--ref-format	<empty>	verify subcommand	committed repository with branch and tag	local	all	git refs verify --ref-format=	invalid-input	git_refs_compat::refs_verify_invalid_option_failures_match_stock_git	stock Git rejects empty ref-format for refs verify with exit 129 and matching usage stderr
