group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Sharing and Updating Projects	fetch	<none>	<empty>	named remote	configured remote with branches and tags	local/file	all	git fetch origin	closed	git_transport_local_compat::fetch_local_remote_updates_remote_refs_like_stock_git	default named remote refspecs update remote-tracking refs and followed tags
Sharing and Updating Projects	fetch	<none>	<empty>	no remote	current branch has configured remote	local/file	all	git fetch	closed	git_transport_local_compat::fetch_without_remote_uses_current_branch_remote_like_stock_git	uses branch remote when remote argument is omitted
Sharing and Updating Projects	fetch	<refspec>	multiple explicit	--prune	named remote with branch and tag refs	local/file	all	git fetch --prune origin refs/tags/*:refs/tags/* +refs/heads/*:refs/remotes/origin/*	closed	git_transport_local_compat::fetch_named_remote_accepts_multiple_explicit_refspecs_like_stock_git	multiple explicit refspecs update both branch and tag destinations
Sharing and Updating Projects	fetch	--depth	1	named remote branch	linear history	local/file	all	git fetch --depth=1 origin main	closed	git_transport_local_compat::fetch_with_depth_like_stock_git_for_local_remote	shallow file transport state matches stock Git
Sharing and Updating Projects	fetch	--depth	1	named remote multiple explicit refspecs	two shallow branches	local/file	all	git fetch --depth=1 origin refs/heads/main:refs/remotes/origin/main refs/heads/feature:refs/remotes/origin/feature	closed	git_transport_local_compat::fetch_depth_named_remote_accepts_multiple_explicit_refspecs_like_stock_git	shallow file transport with multiple explicit refspecs
Sharing and Updating Projects	fetch	--depth	1	explicit file URL branch	linear history	file URL	all	git fetch --depth=1 file://repo main	closed	git_transport_local_compat::fetch_depth_explicit_file_url_branch_writes_fetch_head_like_stock_git	explicit location writes stock-shaped FETCH_HEAD
Sharing and Updating Projects	fetch	--depth	1	explicit file URL refspec	linear history	file URL	all	git fetch --depth=1 file://repo refs/heads/main:refs/remotes/origin/main	closed	git_transport_local_compat::fetch_depth_explicit_file_url_refspec_updates_ref_like_stock_git	explicit location refspec updates destination ref and FETCH_HEAD
Sharing and Updating Projects	fetch	--depth	1	explicit file URL multiple refspecs	two shallow branches	file URL	all	git fetch --depth=1 file://repo refs/heads/main:refs/remotes/origin/main refs/heads/feature:refs/remotes/origin/feature	closed	git_transport_local_compat::fetch_depth_explicit_file_url_multiple_refspecs_like_stock_git	original WebStorm-style gap: depth plus multiple explicit file URL refspecs
Sharing and Updating Projects	fetch	--depth	1	bundle multiple explicit refspecs	two branches	bundle	all	git fetch --depth=1 repo.bundle refs/heads/main:refs/remotes/origin/main refs/heads/feature:refs/remotes/origin/feature	closed	git_transport_local_compat::fetch_depth_bundle_multiple_explicit_refspecs_ignores_depth_like_stock_git	bundle transport warns that depth is ignored like stock Git
Sharing and Updating Projects	fetch	--depth	1	smart HTTP branch	linear history	smart HTTP	all	git fetch --depth=1 origin main	closed	git_transport_http_compat::fetch_reads_shallow_smart_http_pack_like_stock_git	smart HTTP shallow pack state matches stock Git
Sharing and Updating Projects	fetch	--depth	1	smart HTTP multiple explicit refspecs	two shallow branches	smart HTTP	all	git fetch --depth=1 origin refs/heads/main:refs/remotes/origin/main refs/heads/feature:refs/remotes/origin/feature	closed	git_transport_http_compat::fetch_depth_smart_http_multiple_explicit_refspecs_like_stock_git	smart HTTP depth plus multiple explicit refspecs
Sharing and Updating Projects	fetch	--depth	1	SSH branch	linear history	SSH	all	git fetch --depth=1 origin main	closed	git_transport_http_compat::fetch_reads_shallow_ssh_remote_like_stock_git	fake SSH upload-pack shallow fetch state matches stock Git
Sharing and Updating Projects	fetch	--depth	1	SSH multiple explicit refspecs	two shallow branches	SSH	all	git fetch --depth=1 origin refs/heads/main:refs/remotes/origin/main refs/heads/feature:refs/remotes/origin/feature	closed	git_transport_http_compat::fetch_depth_ssh_multiple_explicit_refspecs_like_stock_git	SSH depth plus multiple explicit refspecs
Sharing and Updating Projects	fetch	--depth	1	git daemon branch	linear history	git daemon	all	git fetch --depth=1 origin main	closed	git_transport_http_compat::fetch_reads_shallow_git_daemon_remote_like_stock_git	git protocol shallow fetch state matches stock Git
Sharing and Updating Projects	fetch	--depth	1	git daemon multiple explicit refspecs	two shallow branches	git daemon	all	git fetch --depth=1 origin refs/heads/main:refs/remotes/origin/main refs/heads/feature:refs/remotes/origin/feature	closed	git_transport_http_compat::fetch_depth_git_daemon_multiple_explicit_refspecs_like_stock_git	git protocol depth plus multiple explicit refspecs
Sharing and Updating Projects	fetch	--prune	<empty>	named remote	stale remote-tracking refs	local/file	all	git fetch --prune origin	closed	git_transport_local_compat::fetch_prune_removes_stale_remote_tracking_refs_like_stock_git	prunes stale remote-tracking refs
Sharing and Updating Projects	fetch	--prune	<empty>	explicit refspec	stale destination namespace	local/file	all	git fetch --prune origin +refs/heads/*:refs/remotes/origin/*	closed	git_transport_local_compat::fetch_prune_explicit_refspec_prunes_only_destination_namespace_like_stock_git	prunes only the explicit destination namespace
Sharing and Updating Projects	fetch	--no-prune	<empty>	--prune config	stale remote-tracking refs	local/file	all	git fetch --no-prune origin	closed	git_transport_local_compat::fetch_no_prune_option_is_accepted_like_stock_git	explicit no-prune is accepted and resets prune config
Sharing and Updating Projects	fetch	--prune-tags	<empty>	--prune	stale tags	local/file	all	git fetch --prune --prune-tags origin	closed	git_transport_local_compat::fetch_prune_tags_with_prune_removes_stale_tags_like_stock_git	prunes stale tags when prune is enabled
Sharing and Updating Projects	fetch	--no-tags	<empty>	explicit wildcard refspec	tag reachable from fetched commit	local/file	all	git fetch origin +refs/heads/*:refs/remotes/origin/* --no-tags	closed	git_transport_local_compat::fetch_no_tags_option_skips_auto_followed_tags_like_stock_git	skips auto-followed tags
Sharing and Updating Projects	fetch	--tags	<empty>	direct file URL	tags only remote	file URL	all	git fetch --tags file://repo	closed	git_transport_local_compat::fetch_tags_from_direct_file_url_without_configured_remote_like_stock_git	fetches tags from an explicit file URL without configured remote
Sharing and Updating Projects	fetch	--atomic	<empty>	named remote	branch update success	local/file	all	git fetch --atomic origin	closed	git_transport_local_compat::fetch_atomic_updates_single_local_remote_like_stock_git	atomic success writes refs and FETCH_HEAD like stock Git
