group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Administration	commit-graph	verify	<empty>	checksum-valid bad signature	local commit-graph	local	all	git commit-graph verify	invalid-input	git_maintenance_compat::commit_graph_verify_header_variants_match_stock_git	stock Git rejects a bad commit-graph signature with a signature diagnostic and exit 1
Administration	commit-graph	verify	<empty>	checksum-valid bad version	local commit-graph	local	all	git commit-graph verify	invalid-input	git_maintenance_compat::commit_graph_verify_header_variants_match_stock_git	stock Git rejects commit-graph version 2 with a version diagnostic and exit 1
Administration	commit-graph	verify	<empty>	checksum-valid bad hash version	local commit-graph	local	all	git commit-graph verify	invalid-input	git_maintenance_compat::commit_graph_verify_header_variants_match_stock_git	stock Git rejects commit-graph hash version 2 with a hash-version diagnostic and exit 1
Administration	commit-graph	write	<empty>	--reachable	local repository with reachable commits	local	all	git commit-graph write --reachable	closed	git_maintenance_compat::commit_graph_write_creates_stock_verifiable_graph; git_maintenance_compat::commit_graph_write_handles_octopus_merge_edge_chunk	writes a commit-graph that stock Git verifies successfully and handles octopus merge edge chunks
Administration	commit-graph	write	--progress	--reachable	local repository with reachable commits	local	all	git commit-graph write --reachable --progress	closed	git_maintenance_compat::commit_graph_option_combinations_match_stock_git	progress write output, exit and commit-graph side effects match stock Git
Administration	commit-graph	write	--no-progress	--reachable	local repository with reachable commits	local	all	git commit-graph write --reachable --no-progress	closed	git_maintenance_compat::commit_graph_option_combinations_match_stock_git	no-progress write output, exit and commit-graph side effects match stock Git
Administration	commit-graph	write	.git/objects	--object-dir --reachable	local repository with reachable commits	local	all	git commit-graph write --object-dir=.git/objects --reachable	closed	git_maintenance_compat::commit_graph_option_combinations_match_stock_git	object-dir write stores the commit-graph in the selected objects directory like stock Git
Administration	commit-graph	write	--progress	--reachable --no-progress	local repository with reachable commits	local	all	git commit-graph write --reachable --progress --no-progress	closed	git_maintenance_compat::commit_graph_option_combinations_match_stock_git	last progress toggle wins, so trailing no-progress suppresses write progress like stock Git
Administration	commit-graph	write	--no-progress	--reachable --progress	local repository with reachable commits	local	all	git commit-graph write --reachable --no-progress --progress	closed	git_maintenance_compat::commit_graph_option_combinations_match_stock_git	last progress toggle wins, so trailing progress restores write progress mode like stock Git
Administration	commit-graph	verify	--progress	<empty>	existing reachable commit-graph	local	all	git commit-graph verify --progress	closed	git_maintenance_compat::commit_graph_option_combinations_match_stock_git	progress verify output, exit and repository state match stock Git
Administration	commit-graph	verify	--no-progress	<empty>	existing reachable commit-graph	local	all	git commit-graph verify --no-progress	closed	git_maintenance_compat::commit_graph_option_combinations_match_stock_git	no-progress verify output, exit and repository state match stock Git
Administration	commit-graph	verify	.git/objects	--object-dir	existing reachable commit-graph	local	all	git commit-graph verify --object-dir=.git/objects	closed	git_maintenance_compat::commit_graph_option_combinations_match_stock_git	object-dir verify reads the commit-graph from the selected objects directory like stock Git
Administration	commit-graph	verify	--progress	--no-progress	existing reachable commit-graph	local	all	git commit-graph verify --progress --no-progress	closed	git_maintenance_compat::commit_graph_option_combinations_match_stock_git	last progress toggle wins, so trailing no-progress suppresses verify progress like stock Git
Administration	commit-graph	verify	--no-progress	--progress	existing reachable commit-graph	local	all	git commit-graph verify --no-progress --progress	closed	git_maintenance_compat::commit_graph_option_combinations_match_stock_git	last progress toggle wins, so trailing progress restores verify progress output like stock Git
