group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Basic Snapshotting	stage	--all	<empty>	tracked modification, deletion and untracked path	tracked modification plus deletion plus untracked path	local	all	git stage --all	closed	tools/git-stage-schema-oracle-smoke.sh::stage_all_long	stage alias stages tracked update, tracked deletion and untracked path with stock-compatible stdout/stderr, status and index shape
Basic Snapshotting	stage	-A	<empty>	tracked modification, deletion and untracked path	tracked modification plus deletion plus untracked path	local	all	git stage -A	closed	tools/git-stage-schema-oracle-smoke.sh::stage_all_short	short all option stages tracked update, tracked deletion and untracked path with stock-compatible stdout/stderr, status and index shape
Basic Snapshotting	stage	--no-all	<empty>	no pathspec	clean repository	local	all	git stage --no-all	closed	tools/git-stage-schema-oracle-smoke.sh::stage_no_all_empty	no-all without a pathspec matches stock empty-pathspec advisory, exit, stdout, status and index shape
Basic Snapshotting	stage	--no-all	.	ignore removal pathspec	tracked deletion plus untracked path	local	all	git stage --no-all .	closed	tools/git-stage-schema-oracle-smoke.sh::stage_no_all_path	no-all with a pathspec stages the new path while leaving tracked deletion unstaged like stock Git
Basic Snapshotting	stage	--ignore-removal	.	ignore removal pathspec	tracked deletion plus untracked path	local	all	git stage --ignore-removal .	closed	tools/git-stage-schema-oracle-smoke.sh::stage_ignore_removal_long	ignore-removal long alias stages the new path while leaving tracked deletion unstaged like stock Git
Basic Snapshotting	stage	--no-ignore-removal	.	stage removal pathspec	tracked deletion plus untracked path	local	all	git stage --no-ignore-removal .	closed	tools/git-stage-schema-oracle-smoke.sh::stage_no_ignore_removal_long	no-ignore-removal stages both the new path and tracked deletion like stock Git
Basic Snapshotting	stage	--chmod	+x	stage executable bit	tracked regular file	local	all	git stage --chmod=+x mode.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_chmod_long	stage alias chmod mode change leaves index shape matching stock Git
Basic Snapshotting	stage	--no-chmod	mode-default.txt	default new path add	clean repository with untracked path	local	all	git stage --no-chmod mode-default.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_no_chmod_long	no-chmod long negation behaves like default stage, staging an untracked path like stock Git
Basic Snapshotting	stage	--dry-run	dry.txt	dry-run new path	clean repository with untracked path	local	all	git stage --dry-run dry.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_dry_run_long	long dry-run option reports the add and leaves status and index unchanged like stock Git
Basic Snapshotting	stage	-n	dry.txt	dry-run new path	clean repository with untracked path	local	all	git stage -n dry.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_dry_run_short	short dry-run option reports the add and leaves status and index unchanged like stock Git
Basic Snapshotting	stage	-n	new.txt	repeated dry-run new path	clean repository with untracked path	local	all	git stage -n -n new.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_dry_run_repeated	repeated dry-run short form reports the add and leaves status and index unchanged like stock Git
Basic Snapshotting	stage	-n	new.txt	-v dry-run plus verbose new path	clean repository with untracked path	local	all	git stage -n -v new.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_dry_run_verbose_short	dry-run plus verbose short forms report the add and leave status and index unchanged like stock Git
Basic Snapshotting	stage	--dry-run	new.txt	--verbose dry-run plus verbose new path	clean repository with untracked path	local	all	git stage --dry-run --verbose new.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_dry_run_verbose_long	dry-run plus verbose long forms report the add and leave status and index unchanged like stock Git
Basic Snapshotting	stage	--no-dry-run	real.txt	default new path add	clean repository with untracked path	local	all	git stage --no-dry-run real.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_no_dry_run_long	no-dry-run long negation behaves like default stage, staging an untracked path like stock Git
Basic Snapshotting	stage	--force	force.ignored	explicit ignored path	clean repository with ignore rule	local	all	git stage --force force.ignored	closed	tools/git-stage-schema-oracle-smoke.sh::stage_force_long	long force option stages an explicitly ignored path with stock-compatible stdout/stderr, status and index shape
Basic Snapshotting	stage	-f	force.ignored	explicit ignored path	clean repository with ignore rule	local	all	git stage -f force.ignored	closed	tools/git-stage-schema-oracle-smoke.sh::stage_force_short	short force option stages an explicitly ignored path with stock-compatible stdout/stderr, status and index shape
Basic Snapshotting	stage	-f	force.ignored	repeated force explicit ignored path	clean repository with ignore rule	local	all	git stage -f -f force.ignored	closed	tools/git-stage-schema-oracle-smoke.sh::stage_force_repeated	repeated force short form stages an explicitly ignored path with stock-compatible stdout/stderr, status and index shape
Basic Snapshotting	stage	--force	force.ignored	--dry-run explicit ignored path	clean repository with ignore rule	local	all	git stage --force --dry-run force.ignored	closed	tools/git-stage-schema-oracle-smoke.sh::stage_force_dry_run	force plus dry-run reports the ignored path add and leaves status and index unchanged like stock Git
Basic Snapshotting	stage	--no-ignore-errors	errors-off.txt	default new path add	clean repository with untracked path	local	all	git stage --no-ignore-errors errors-off.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_no_ignore_errors_long	no-ignore-errors long negation behaves like default stage, staging an untracked path like stock Git
Basic Snapshotting	stage	--ignore-errors	.	unreadable sibling	clean repository with readable and unreadable files	local	unix	git stage --ignore-errors .	closed	tools/git-stage-schema-gap-probe.sh::stage_ignore_errors_unreadable_sibling	ignore-errors warns, exits 0, and stages readable sibling with stock stdout/stderr/status parity
Basic Snapshotting	stage	--ignore-missing	tracked.txt missing.txt	--dry-run with tracked and missing paths	dirty tracked file and missing path	local	all	git stage --dry-run --ignore-missing tracked.txt missing.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_ignore_missing_long	long ignore-missing dry-run form reports stock-compatible output and leaves status and index unchanged
Basic Snapshotting	stage	--no-ignore-missing	missing-off.txt	default new path add	clean repository with untracked path	local	all	git stage --no-ignore-missing missing-off.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_no_ignore_missing_long	no-ignore-missing long negation behaves like default stage, staging an untracked path like stock Git
Basic Snapshotting	stage	--intent-to-add	intent.txt	intent-to-add new path	clean repository with untracked path	local	all	git stage --intent-to-add intent.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_intent_long	intent-to-add long form creates a stock-compatible index placeholder, stdout/stderr and status
Basic Snapshotting	stage	-N	intent.txt	intent-to-add new path	clean repository with untracked path	local	all	git stage -N intent.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_intent_short	intent-to-add short form creates a stock-compatible index placeholder, stdout/stderr and status
Basic Snapshotting	stage	--no-intent-to-add	full.txt	default new path add	clean repository with untracked path	local	all	git stage --no-intent-to-add full.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_no_intent_to_add_long	no-intent-to-add long negation stages the full file like default stage and stock Git
Basic Snapshotting	stage	--pathspec-file-nul	<empty>	--pathspec-from-file paths.nul with tracked and untracked paths	tracked modification plus untracked pathspec file	local	all	git stage --pathspec-from-file=paths.nul --pathspec-file-nul	closed	tools/git-stage-schema-oracle-smoke.sh::stage_pathspec_file_nul	NUL pathspec-file mode stages listed tracked and untracked paths with stock-compatible stdout/stderr, status and index shape
Basic Snapshotting	stage	--no-pathspec-file-nul	lf-pathspec.txt	default new path add	clean repository with untracked path	local	all	git stage --no-pathspec-file-nul lf-pathspec.txt	closed	tools/git-stage-schema-oracle-smoke.sh::stage_no_pathspec_file_nul_long	no-pathspec-file-nul long negation behaves like default stage without pathspec-from-file, matching stock Git
