group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	ls-files	<none>	<empty>	<none>	tracked clean index	local	all	git ls-files	closed	git_ls_files_compat::ls_files_modes_match_stock_git	default cached path listing matches stock Git
Plumbing Commands	ls-files	--stage	<empty>	<none>	tracked clean index	local	all	git ls-files --stage	closed	git_ls_files_compat::ls_files_modes_match_stock_git	stage format matches mode object id stage and path output
Plumbing Commands	ls-files	--stage	<empty>	-z through replacement shim	tracked clean index	local	all	git ls-files --stage -z	closed	tools/git-replacement-dogfood-smoke.sh::ls_files_stage_z	NUL-delimited stage records match stock Git through a git-in-PATH replacement shim
Plumbing Commands	ls-files	-s	<empty>	-z	tracked clean index	local	all	git ls-files -s -z	closed	git_ls_files_compat::ls_files_modes_match_stock_git	short stage alias with NUL output matches stock Git
Plumbing Commands	ls-files	--abbrev	<empty>	--stage	tracked clean index	local	all	git ls-files --stage --abbrev	closed	git_ls_files_compat::ls_files_modes_match_stock_git	default abbreviation option with stage output matches stock Git
Plumbing Commands	ls-files	--abbrev	12	--stage	tracked clean index	local	all	git ls-files --stage --abbrev=12	closed	git_ls_files_compat::ls_files_modes_match_stock_git	abbreviated stage object names match stock Git
Plumbing Commands	ls-files	--format	objectname/path	--abbrev=12	tracked clean index	local	all	git ls-files --format=%(objectname) %(path) --abbrev=12	closed	git_ls_files_compat::ls_files_modes_match_stock_git	format atoms for objectname and path match stock Git
Plumbing Commands	ls-files	--format	path	<none>	tracked clean index	local	all	git ls-files --format=%(path)	closed	git_ls_files_compat::ls_files_modes_match_stock_git	path-only format atom output matches stock Git
Plumbing Commands	ls-files	--format	objectmode/objectname/stage/path	<none>	tracked clean index	local	all	git ls-files --format=%(objectmode) %(objectname) %(stage) %(path)	closed	git_ls_files_compat::ls_files_modes_match_stock_git	format atoms for mode object stage and path match stock Git
Plumbing Commands	ls-files	--format	path	-z	tracked clean index	local	all	git ls-files -z --format=%(path)	closed	git_ls_files_compat::ls_files_modes_match_stock_git	NUL-delimited path-only format output matches stock Git
Plumbing Commands	ls-files	--format	literal and %xNN escapes	<none>	tracked clean index	local	all	git ls-files --format=%% %(path) %x09 end	closed	git_ls_files_compat::ls_files_modes_match_stock_git	literal percent and hex escapes match stock Git
