group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Administration	gc	--prune	now	--quiet reachable-object packing	repository with loose reachable objects	local	all	git gc --prune=now --quiet	closed	git_maintenance_compat::gc_packs_reachable_objects_and_keeps_head_readable	prune-now packs reachable objects, prunes loose copies and keeps HEAD readable
Administration	gc	--prune	<default>	--quiet implicit now pruning	repository with loose reachable objects	local	all	git gc --prune --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	bare --prune matches stock Git's default-missing-value now behavior, output and repository side effects
Administration	gc	--quiet	<empty>	default reachable-object packing	repository with reachable commits	local	all	git gc --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	long quiet gc matches stock exit, stdout, stderr, commit-graph and object-pack side effects
Administration	gc	--quiet	<empty>	--prune=now reachable-object packing	repository with loose reachable objects	local	all	git gc --prune=now --quiet	closed	git_maintenance_compat::gc_packs_reachable_objects_and_keeps_head_readable	quiet prune-now gc emits stock-compatible empty output and side effects
Administration	gc	--auto	<empty>	auto threshold no-op	small repository below auto-gc thresholds	local	all	git gc --auto	closed	tools/git-gc-schema-oracle-smoke.sh::gc_auto_long	auto-gc no-op matches stock exit, stdout, stderr and object-file side effects
Administration	gc	--auto	<empty>	--quiet auto threshold no-op	small repository below auto-gc thresholds	local	all	git gc --auto --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	auto plus quiet stays a no-op with stock-compatible output and repository side effects
Administration	gc	-q	<empty>	default reachable-object packing	repository with reachable commits	local	all	git gc -q	closed	tools/git-gc-schema-oracle-smoke.sh::gc_quiet_short	default quiet gc matches stock exit, stdout, stderr, commit-graph and object-pack side effects
Administration	gc	--no-prune	<empty>	--quiet reachable-object packing	repository with reachable commits	local	all	git gc --no-prune --quiet	closed	tools/git-gc-schema-oracle-smoke.sh::gc_no_prune_long	no-prune quiet gc matches stock exit, stdout, stderr, commit-graph and object-pack side effects
Administration	gc	--aggressive	<empty>	--quiet delta pack generation	repository with related blobs	local	all	git gc --aggressive --quiet	closed	git_maintenance_compat::gc_aggressive_writes_stock_readable_delta_pack	aggressive gc writes stock-readable delta pack with matching delta base linkage
Administration	gc	--detach	<empty>	--auto auto threshold no-op	small repository below auto-gc thresholds	local	all	git gc --detach --auto	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	detach plus auto stays a stock-compatible no-op on repositories below auto-gc thresholds
Administration	gc	--no-detach	<empty>	--auto auto threshold no-op	small repository below auto-gc thresholds	local	all	git gc --no-detach --auto	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	no-detach plus auto stays a stock-compatible no-op on repositories below auto-gc thresholds
Administration	gc	--force	<empty>	--quiet reachable-object packing	repository with reachable commits	local	all	git gc --force --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	force quiet gc matches stock output plus pack and commit-graph side effects on helper-free repositories
Administration	gc	--keep-largest-pack	<empty>	--quiet reachable-object packing	repository with reachable commits	local	all	git gc --keep-largest-pack --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	keep-largest-pack quiet gc matches stock output and repository side effects on single-pack helper-free repositories
Administration	gc	--cruft	<empty>	--quiet reachable-object packing	repository with reachable commits	local	all	git gc --cruft --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	cruft quiet gc matches stock output and helper-free repository side effects for reachable-object packing
Administration	gc	--no-cruft	<empty>	--quiet reachable-object packing	repository with reachable commits	local	all	git gc --no-cruft --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	no-cruft quiet gc matches stock output and helper-free repository side effects for reachable-object packing
Administration	gc	--max-cruft-size	1	--quiet reachable-object packing with minimum-size warning	repository with reachable commits	local	all	git gc --max-cruft-size=1 --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	max-cruft-size below 1 MiB emits the stock warning while keeping quiet gc side effects aligned
Administration	gc	--max-cruft-size	1	--quiet reachable-object packing with separate value form	repository with reachable commits	local	all	git gc --max-cruft-size 1 --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	separate max-cruft-size value form matches stock warning, exit status and repository side effects
Administration	gc	--max-cruft-size	1	--no-cruft --quiet suppress minimum-size warning	repository with reachable commits	local	all	git gc --no-cruft --max-cruft-size=1 --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	no-cruft suppresses the minimum-size warning while keeping stock quiet gc side effects
Administration	gc	--max-cruft-size	2m	--max-cruft-size=1 --quiet repeated last-one-wins warning path	repository with reachable commits	local	all	git gc --max-cruft-size=2m --max-cruft-size=1 --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	repeated max-cruft-size uses the last value, so a trailing small limit still emits the stock warning
Administration	gc	--max-cruft-size	2m	--max-cruft-size=1 --quiet repeated last-one-wins silent path	repository with reachable commits	local	all	git gc --max-cruft-size=1 --max-cruft-size=2m --quiet	closed	git_maintenance_compat::gc_supported_documented_option_combinations_match_stock_git	repeated max-cruft-size uses the last value, so a trailing 2 MiB limit suppresses the warning like stock Git
Administration	gc	--max-cruft-size	bogus	--quiet invalid cruft-size value	repository with reachable commits	local	all	git gc --max-cruft-size=bogus --quiet	closed	git_maintenance_compat::gc_invalid_max_cruft_size_matches_stock_git	invalid max-cruft-size value exits with the stock diagnostic and no repository side effects
