group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Basic Snapshotting	status	<none>	<empty>	<none>	unborn clean/dirty/staged/tracked dirty/untracked	local	all	git status	closed	git_status_compat::status_human_matches_stock_git_for_common_states	human common states only
Basic Snapshotting	status	--porcelain	<empty>	<none>	clean/dirty/untracked	local	all	git status --porcelain	closed	git_status_compat::status_porcelain_matches_stock_git_for_clean_dirty_and_ignored_worktrees	defaults to v1
Basic Snapshotting	status	--porcelain	v1	same-size same-mtime content change	modified tracked file	local	unix	git status --porcelain=v1	closed	git_status_compat::status_detects_same_size_same_mtime_content_change_like_stock_git	racy-looking same-size same-mtime rewrite is detected like stock Git on Unix
Basic Snapshotting	status	--porcelain	v1	--branch	clean/dirty/untracked/upstream ahead	local	all	git status --porcelain=v1 --branch	closed	git_status_compat::status_porcelain_matches_stock_git_for_clean_dirty_and_ignored_worktrees; git_status_compat::status_branch_reports_upstream_ahead_count	common branch header coverage
Basic Snapshotting	status	--porcelain	v1	--branch -z	clean/dirty/untracked	local	all	git status --porcelain=v1 --branch -z	closed	git_status_compat::status_porcelain_matches_stock_git_for_clean_dirty_and_ignored_worktrees	NUL records
Basic Snapshotting	status	--porcelain	v2	--branch	clean/dirty/staged	local	all	git status --porcelain=v2 --branch	closed	git_status_compat::status_porcelain_matches_stock_git_for_clean_dirty_and_ignored_worktrees; git_status_compat::status_porcelain_v2_matches_stock_git_for_staged_states	common v2 tracked state coverage
Basic Snapshotting	status	--porcelain	v2	--branch -z	clean/dirty/staged	local	all	git status --porcelain=v2 --branch -z	closed	git_status_compat::status_porcelain_matches_stock_git_for_clean_dirty_and_ignored_worktrees; git_status_compat::status_porcelain_v2_matches_stock_git_for_staged_states	NUL records
Basic Snapshotting	status	--porcelain	v2	--branch staged add/modify/delete mix	modified tracked plus added plus removed tracked files	local	all	git status --porcelain=v2 --branch	closed	git_status_compat::status_porcelain_v2_matches_stock_git_for_staged_states	porcelain v2 branch output for simultaneous staged add, modify and delete matches stock Git
Basic Snapshotting	status	--porcelain	v2	--branch -z staged add/modify/delete mix	modified tracked plus added plus removed tracked files	local	all	git status --porcelain=v2 -z --branch	closed	git_status_compat::status_porcelain_v2_matches_stock_git_for_staged_states	NUL-delimited porcelain v2 branch output for simultaneous staged add, modify and delete matches stock Git
Basic Snapshotting	status	--porcelain	v2	--branch -z through replacement shim	cloned repository status	local	all	git status --porcelain=v2 -z --branch	closed	tools/git-replacement-dogfood-smoke.sh::status_v2_z_branch	NUL-delimited porcelain v2 branch status matches stock Git through a git-in-PATH replacement shim
Basic Snapshotting	status	--untracked-files	no	--porcelain=v2 -z --branch through replacement shim	cloned repository dirty/untracked	local	all	git status --porcelain=v2 -z --branch --untracked-files=no	closed	tools/git-replacement-dogfood-smoke.sh::status_v2_z_branch_untracked_no	NUL-delimited porcelain v2 branch output with untracked files suppressed matches stock Git through a git-in-PATH replacement shim
Basic Snapshotting	status	-z	<empty>	<none>	clean/dirty/untracked	local	all	git status -z	closed	git_status_compat::status_porcelain_matches_stock_git_for_clean_dirty_and_ignored_worktrees	stock implies porcelain v1
Basic Snapshotting	status	-z	<empty>	through replacement shim	cloned repository dirty/untracked	local	all	git status -z	closed	tools/git-replacement-dogfood-smoke.sh::status_z	NUL-delimited implicit porcelain v1 output matches stock Git through a git-in-PATH replacement shim
Basic Snapshotting	status	--null	<empty>	<none>	clean/dirty/untracked	local	all	git status --null	closed	git_status_compat::status_porcelain_matches_stock_git_for_clean_dirty_and_ignored_worktrees	stock implies porcelain v1
Basic Snapshotting	status	-s	<empty>	-b	clean	local	all	git status -sb	closed	git_status_compat::status_porcelain_matches_stock_git_for_clean_dirty_and_ignored_worktrees	short plus branch
Basic Snapshotting	status	--short	<empty>	<none>	dirty/untracked	local	all	git status --short	closed	git_status_compat::status_porcelain_matches_stock_git_for_clean_dirty_and_ignored_worktrees	exact short form
Basic Snapshotting	status	--short	<empty>	through replacement shim	cloned repository dirty/untracked	local	all	git status --short	closed	tools/git-replacement-dogfood-smoke.sh::status_short	short dirty/untracked output matches stock Git through a git-in-PATH replacement shim
Basic Snapshotting	status	--short	<empty>	--branch through replacement shim	cloned repository dirty/untracked with upstream	local	all	git status --short --branch	closed	tools/git-replacement-dogfood-smoke.sh::status_short_branch	short branch dirty/untracked output matches stock Git through a git-in-PATH replacement shim
