group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Other Git 2.47 commands	sparse-checkout	subcommand	bogus	unknown subcommand	local repository	local	all	git sparse-checkout bogus	invalid-input	git_sparse_checkout_compat::sparse_checkout_unknown_subcommand_matches_stock_git	unknown top-level sparse-checkout subcommand prints stock unknown-subcommand usage with exit 129 instead of a custom unsupported-subcommand fatal diagnostic
Other Git 2.47 commands	sparse-checkout	set option	--bad	invalid option	local repository	local	all	git sparse-checkout set --bad	invalid-input	git_sparse_checkout_compat::sparse_checkout_set_unknown_option_matches_stock_git_usage	unknown sparse-checkout set option prints stock command-specific usage with exit 129 instead of a custom fatal diagnostic
Other Git 2.47 commands	sparse-checkout	init option	--bad	invalid option	local repository	local	all	git sparse-checkout init --bad	invalid-input	git_sparse_checkout_compat::sparse_checkout_init_unknown_option_matches_stock_git_usage	unknown sparse-checkout init option prints stock command-specific usage with exit 129 instead of a custom fatal diagnostic
Other Git 2.47 commands	sparse-checkout	add option	--bad	invalid option	non-sparse repository	local	all	git sparse-checkout add --bad	invalid-input	git_sparse_checkout_compat::sparse_checkout_non_sparse_failures_match_stock_git	stock Git rejects the non-sparse repository state before option parsing, with exit 128 and fatal no sparse-checkout diagnostic
Other Git 2.47 commands	sparse-checkout	add option	--bad	invalid option	sparse-checkout enabled	local	all	git sparse-checkout add --bad	invalid-input	git_sparse_checkout_compat::sparse_checkout_add_unknown_option_matches_stock_git_usage_when_enabled	unknown sparse-checkout add option prints stock command-specific usage with exit 129 after sparse-checkout is enabled
Other Git 2.47 commands	sparse-checkout	<args>	docs	set positional directory pattern	committed repository	local	all	git sparse-checkout set docs	closed	git_sparse_checkout_compat::sparse_checkout_set_list_disable_matches_stock_git_files	positional sparse-checkout pattern exits 0 like stock Git and matches stock sparse-checkout list and visible working-tree files
Other Git 2.47 commands	sparse-checkout	<pathspec>	.. and a\\b	set/add pathspec edge cases	committed repository	local	all	git sparse-checkout set ..; git sparse-checkout set 'a\\b'; git sparse-checkout add ..	closed	git_sparse_checkout_compat::sparse_checkout_pathspec_edge_cases_match_stock_git	rejects parent-directory pathspecs with stock failure output and matches list plus skip-worktree state for backslash-containing patterns
Other Git 2.47 commands	sparse-checkout	set --skip-checks	valid directory pattern	no additional options	committed repository	local	all	git sparse-checkout set --skip-checks docs	closed	git_sparse_checkout_compat::sparse_checkout_skip_checks_option_matches_stock_git	--skip-checks with a valid directory pattern exits 0 with empty stdout/stderr and matches stock sparse-checkout list, index skip-worktree bits and visible working-tree files
Other Git 2.47 commands	sparse-checkout	set --stdin	stdin pattern	with positional pattern	committed repository	local	all	printf 'src\n' | git sparse-checkout set --stdin docs	closed	git_sparse_checkout_compat::sparse_checkout_stdin_and_config_options_match_stock_git	--stdin patterns override positional patterns, update sparse-checkout list and working tree, and exit 0 like stock Git
Other Git 2.47 commands	sparse-checkout	add --stdin	stdin pattern	with positional pattern	sparse-checkout enabled	local	all	printf 'src\n' | git sparse-checkout add --stdin missing	closed	git_sparse_checkout_compat::sparse_checkout_add_stdin_ignores_positional_patterns_like_stock_git	--stdin patterns override positional patterns while adding to existing sparse-checkout patterns, with matching list and working tree side effects
Other Git 2.47 commands	sparse-checkout	--sparse-index	<empty>	set docs and init --no-cone	sparse-checkout enabled repository and fresh repo init	local	all	git sparse-checkout set --sparse-index docs; git sparse-checkout init --sparse-index --no-cone	closed	git_sparse_checkout_compat::sparse_checkout_sparse_index_options_match_stock_git	matches stock sparse-checkout config keys, sparse-checkout list and visible worktree files for both set and init sparse-index flows
