row_type	id	kind	parent	surface	evidence	status	anchor	scope
primary	command.hooks	command	-	hooks	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	Hooks {	schema.command
primary	command.save	command	-	save	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/cms.rs;crates/zmin-cli/src/cli/commands/cms_impl.rs;crates/zmin-cli/tests/git_cms_porcelain_compat.rs	stable	Save {	schema.command
primary	command.changes	command	-	changes	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/cms.rs;crates/zmin-cli/src/cli/commands/cms_impl.rs;crates/zmin-cli/tests/git_cms_porcelain_compat.rs	stable	Changes,	schema.command
primary	command.publish	command	-	publish	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/cms.rs;crates/zmin-cli/src/cli/commands/cms_impl.rs;crates/zmin-cli/tests/git_cms_porcelain_compat.rs	stable	Publish,	schema.command
primary	command.update	command	-	update	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/cms.rs;crates/zmin-cli/src/cli/commands/cms_impl.rs;crates/zmin-cli/tests/git_cms_porcelain_compat.rs	stable	Update,	schema.command
primary	command.undo	command	-	undo	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/cms.rs;crates/zmin-cli/src/cli/commands/cms_impl.rs;crates/zmin-cli/tests/git_cms_porcelain_compat.rs	stable	Undo,	schema.command
primary	command.timeline	command	-	timeline	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/cms.rs;crates/zmin-cli/src/cli/commands/cms_impl.rs;crates/zmin-cli/tests/git_cms_porcelain_compat.rs	stable	Timeline,	schema.command
primary	command.recover	command	-	recover	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/cms.rs;crates/zmin-cli/src/cli/commands/cms_impl.rs;crates/zmin-cli/tests/git_cms_porcelain_compat.rs	stable	Recover {	schema.command
primary	command.compatibility	command	-	compatibility	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/mod.rs;crates/zmin-cli/tests/compatibility_command.rs	stable	Compatibility {	schema.command
primary	command.lfs	command	-	lfs	crates/zmin-cli/src/cli/commands/lfs_impl.rs;crates/zmin-cli/tests/git_lfs_local_compat.rs;crates/zmin-cli/tests/git_lfs_network_commands.rs	stable	pub(crate) fn lfs_command(args: Vec<String>) -> Result<()> {	runtime.lfs-command
