group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Administration	maintenance	<positional:operation>	frobnicate	unknown subcommand	clean repository	local	all	git maintenance frobnicate	invalid-input	git_maintenance_compat::maintenance_unknown_subcommand_failure_matches_stock_git	unknown maintenance subcommand fails with stock usage shape, exit code and stderr
Administration	maintenance	--schedule	invalid	run	clean repository	local	all	git maintenance run --schedule=invalid	invalid-input	git_maintenance_compat::maintenance_run_invalid_schedule_failure_matches_stock_git	unsupported maintenance schedule guard exits with stock diagnostic and exit code
Administration	maintenance	--no-schedule	<empty>	run	clean repository	local	all	git maintenance run --no-schedule	invalid-input	git_maintenance_compat::maintenance_no_schedule_failures_match_stock_git	stock Git rejects no-schedule for maintenance run with fatal exit 128 and matching stderr
Administration	maintenance	--no-schedule	<empty>	--schedule=daily	clean repository	local	all	git maintenance run --schedule=daily --no-schedule	invalid-input	git_maintenance_compat::maintenance_no_schedule_failures_match_stock_git	stock Git rejects no-schedule even when schedule was provided first
Administration	maintenance	--no-schedule	<empty>	--task=gc	clean repository	local	all	git maintenance run --task=gc --no-schedule	invalid-input	git_maintenance_compat::maintenance_no_schedule_failures_match_stock_git	stock Git rejects no-schedule when combined with an explicit task
Administration	maintenance	--no-schedule	<empty>	--schedule=hourly --task=gc	clean repository	local	all	git maintenance run --schedule=hourly --no-schedule --task=gc	invalid-input	git_maintenance_compat::maintenance_no_schedule_failures_match_stock_git	stock Git rejects no-schedule after schedule plus task options
Administration	maintenance	--no-schedule	<empty>	--schedule=hourly --task=gc reordered	clean repository	local	all	git maintenance run --no-schedule --schedule=hourly --task=gc	invalid-input	git_maintenance_compat::maintenance_no_schedule_failures_match_stock_git	stock Git rejects no-schedule before later schedule plus task options
Administration	maintenance	--schedule	invalid	--task=gc	clean repository	local	all	git maintenance run --schedule=invalid --task=gc	invalid-input	git_maintenance_compat::maintenance_run_schedule_task_and_auto_failures_match_stock_git	invalid schedule combined with explicit task exits with stock diagnostic and exit code
Administration	maintenance	--schedule	daily	--auto	clean repository	local	all	git maintenance run --auto --schedule=daily	invalid-input	git_maintenance_compat::maintenance_run_schedule_task_and_auto_failures_match_stock_git	auto mode rejects explicit schedule like stock Git
Administration	maintenance	--task	missing	--schedule=daily	clean repository	local	all	git maintenance run --task=missing --schedule=daily	invalid-input	git_maintenance_compat::maintenance_run_schedule_task_and_auto_failures_match_stock_git	unknown maintenance task combined with schedule exits with stock diagnostic and exit code
Administration	maintenance	--scheduler	crontab	start on macOS	macOS repository	local	macos	git maintenance start --scheduler=crontab	invalid-input	git_maintenance_compat::maintenance_unavailable_schedulers_match_stock_git_on_macos	unavailable crontab scheduler on macOS fails with stock exit code, stdout and stderr when the local scheduler runtime itself is available
Administration	maintenance	--scheduler	systemd-timer	start on macOS	macOS repository	local	macos	git maintenance start --scheduler=systemd-timer	invalid-input	git_maintenance_compat::maintenance_unavailable_schedulers_match_stock_git_on_macos	unavailable systemd-timer scheduler on macOS fails with stock exit code, stdout and stderr when the local scheduler runtime itself is available
Administration	maintenance	--scheduler	schtasks	start on macOS	macOS repository	local	macos	git maintenance start --scheduler=schtasks	invalid-input	git_maintenance_compat::maintenance_unavailable_schedulers_match_stock_git_on_macos	unavailable schtasks scheduler on macOS fails with stock exit code, stdout and stderr when the local scheduler runtime itself is available
Administration	maintenance	--scheduler	bogus	start	clean repository	local	all	git maintenance start --scheduler=bogus	invalid-input	git_maintenance_compat::maintenance_unknown_scheduler_failure_matches_stock_git	unknown scheduler value exits with stock diagnostic and exit code
Administration	maintenance	--scheduler	auto	start registers launch agent schedules	clean repository	local	macos	git maintenance start --scheduler=auto	closed	git_maintenance_compat::maintenance_start_and_stop_auto_manage_launch_agents_like_stock_git	auto scheduler start writes stock-compatible global maintenance.repo config and launch agent files on macOS when launchctl runtime is available
Administration	maintenance	--task	prefetch	run	configured origin remote	dumb HTTP	all	git maintenance run --task=prefetch	closed	git_transport_http_compat::maintenance_prefetch_reads_dumb_http_remote_like_stock_git	prefetch writes refs/prefetch remote-tracking refs and fetches object contents from dumb HTTP like stock Git
Administration	maintenance	--task	prefetch	run	configured origin remote	smart HTTP	all	git maintenance run --task=prefetch	closed	git_transport_http_compat::maintenance_prefetch_reads_smart_http_remote_like_stock_git	prefetch writes refs/prefetch remote-tracking refs and fetches object contents from smart HTTP like stock Git
Administration	maintenance	--task	prefetch	run	configured origin remote	git daemon	all	git maintenance run --task=prefetch	closed	git_transport_http_compat::maintenance_prefetch_reads_git_daemon_remote_like_stock_git	prefetch writes refs/prefetch remote-tracking refs and fetches object contents from git-daemon like stock Git
Administration	maintenance	--task	prefetch	run	configured origin remote	SSH	all	GIT_SSH_COMMAND=<fake-ssh> git maintenance run --task=prefetch	closed	git_transport_http_compat::maintenance_prefetch_reads_ssh_remote_like_stock_git	prefetch writes refs/prefetch remote-tracking refs and fetches object contents from SSH like stock Git
Administration	maintenance	--task	prefetch	run	clean repository without remotes	local	all	git maintenance run --task=prefetch	closed	git_maintenance_compat::maintenance_prefetch_noops_without_remotes_like_stock_git	prefetch noops without configured remotes like stock Git
Administration	maintenance	--quiet	true	--task=gc --task=prefetch	clean repository without remotes	local	all	git maintenance run --task=gc --task=prefetch --quiet	closed	git_maintenance_compat::maintenance_prefetch_noops_without_remotes_like_stock_git	quiet combined gc and prefetch task selection noops without remotes like stock Git
Administration	maintenance	--task	prefetch	run	configured origin remote	local path	all	git maintenance run --task=prefetch	closed	git_maintenance_compat::maintenance_prefetch_local_remote_writes_prefetch_refs_like_stock_git	prefetch writes refs/prefetch refs from a local path remote and leaves fsck --strict clean like stock Git
Administration	maintenance	--task	prefetch	run	configured unsupported remote-helper URL	remote helper	all	git maintenance run --task=prefetch	invalid-input	git_maintenance_compat::maintenance_prefetch_unsupported_remote_helper_failure_matches_stock_git	unsupported remote-helper URL prefetch exits with stock diagnostic and exit code
Administration	maintenance	--task	gc	--quiet	repository with reachable commit	local	all	git maintenance run --task=gc --quiet	closed	git_maintenance_compat::maintenance_run_gc_reuses_repository_gc	gc task writes a pack and keeps HEAD readable like repository gc
Administration	maintenance	--no-quiet	<empty>	--task=gc	repository with reachable commit	local	all	git maintenance run --task=gc --no-quiet	closed	git_maintenance_compat::maintenance_run_no_auto_and_no_quiet_match_stock_git	long no-quiet form matches stock output, exit status and repository side effects
Administration	maintenance	--no-quiet	<empty>	--task=gc --quiet	repository with reachable commit	local	all	git maintenance run --task=gc --quiet --no-quiet	closed	git_maintenance_compat::maintenance_run_no_auto_and_no_quiet_match_stock_git	later no-quiet clears earlier quiet like stock Git
Administration	maintenance	--quiet	<empty>	--task=gc --no-quiet	repository with reachable commit	local	all	git maintenance run --task=gc --no-quiet --quiet	closed	git_maintenance_compat::maintenance_run_no_auto_and_no_quiet_match_stock_git	later quiet restores quiet mode after no-quiet like stock Git
Administration	maintenance	-q	<empty>	--task=gc	repository with reachable commit	local	all	git maintenance run --task=gc -q	invalid-input	tools/git-maintenance-schema-oracle-smoke.sh::maintenance_run_gc_quiet_short	stock-compatible rejection for undocumented short quiet switch matches exit, stdout, stderr, HEAD and worktree status
Administration	maintenance	<positional:operation>	run	--task=gc --quiet	repository with reachable commit	local	all	git maintenance run --task=gc --quiet	closed	git_maintenance_compat::maintenance_run_gc_reuses_repository_gc	operation positional surface selects run mode and writes a pack while keeping HEAD readable like stock Git
Administration	maintenance	--no-auto	<empty>	--task=gc	repository with reachable commit	local	all	git maintenance run --task=gc --no-auto	closed	git_maintenance_compat::maintenance_run_no_auto_and_no_quiet_match_stock_git	long no-auto form matches stock output, exit status and repository side effects
