group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Branching and Merging	mergetool	--tool	zmintest	--no-prompt f.txt	unmerged file with configured custom mergetool	local	all	git mergetool --tool=zmintest --no-prompt f.txt	closed	git_merge_plumbing_compat::mergetool_runs_configured_tool_and_stages_resolution_like_stock_git	custom mergetool command stdout, resolved file, index stages and status match stock Git
Branching and Merging	mergetool	--no-prompt	<empty>	--tool=zmintest f.txt	unmerged file with configured custom mergetool	local	all	git mergetool --tool=zmintest --no-prompt f.txt	closed	git_merge_plumbing_compat::mergetool_runs_configured_tool_and_stages_resolution_like_stock_git	no-prompt custom mergetool run output and merge side effects match stock Git
Branching and Merging	mergetool	<positional:paths>	f.txt	--tool=zmintest --no-prompt	unmerged file with configured custom mergetool	local	all	git mergetool --tool=zmintest --no-prompt f.txt	closed	git_merge_plumbing_compat::mergetool_runs_configured_tool_and_stages_resolution_like_stock_git	positional path selection for custom mergetool output and side effects match stock Git
Branching and Merging	mergetool	-t	zmintest	--no-prompt f.txt	unmerged file with configured custom mergetool	local	all	git mergetool -t zmintest --no-prompt f.txt	closed	tools/git-mergetool-schema-oracle-smoke.sh::mergetool_tool_short	short tool alias output, resolved file, index stages and status match stock Git
Branching and Merging	mergetool	-y	<empty>	--tool=zmintest f.txt	unmerged file with configured custom mergetool	local	all	git mergetool --tool=zmintest -y f.txt	closed	tools/git-mergetool-schema-oracle-smoke.sh::mergetool_no_prompt_short	short no-prompt alias output, resolved file, index stages and status match stock Git
Branching and Merging	mergetool	--prompt	<empty>	--tool=zmintest f.txt with return response	unmerged file with configured custom mergetool	local	all	printf '\n' | git mergetool --tool=zmintest --prompt f.txt	closed	tools/git-mergetool-schema-oracle-smoke.sh::mergetool_prompt_long	prompted launch text, resolved file, index stages and status match stock Git
Branching and Merging	mergetool	-g	<empty>	--tool=zmintest --no-prompt f.txt	unmerged file with configured custom mergetool	local	all	git mergetool -g --tool=zmintest --no-prompt f.txt	closed	tools/git-mergetool-schema-oracle-smoke.sh::mergetool_gui_short	short gui toggle output, resolved file, index stages and status match stock Git
Branching and Merging	mergetool	--gui	<empty>	--tool=zmintest --no-prompt f.txt	unmerged file with configured custom mergetool	local	all	git mergetool --gui --tool=zmintest --no-prompt f.txt	closed	tools/git-mergetool-schema-oracle-smoke.sh::mergetool_gui_long	gui toggle output, resolved file, index stages and status match stock Git
Branching and Merging	mergetool	--no-gui	<empty>	--tool=zmintest --no-prompt f.txt	unmerged file with configured custom mergetool	local	all	git mergetool --no-gui --tool=zmintest --no-prompt f.txt	closed	tools/git-mergetool-schema-oracle-smoke.sh::mergetool_no_gui_long	no-gui toggle output, resolved file, index stages and status match stock Git
Branching and Merging	mergetool	--output	out.txt	invalid long output option	unmerged file with configured custom mergetool	local	all	git mergetool --output out.txt --tool=zmintest --no-prompt f.txt	invalid-input	tools/git-mergetool-schema-oracle-smoke.sh::mergetool_output_long_invalid	long output option rejection matches stock Git exit, stdout and stderr
Branching and Merging	mergetool	--auto-merge	<empty>	invalid long auto-merge option	unmerged file with configured custom mergetool	local	all	git mergetool --auto-merge --tool=zmintest --no-prompt f.txt	invalid-input	tools/git-mergetool-schema-oracle-smoke.sh::mergetool_auto_merge_invalid	auto-merge option rejection matches stock Git exit, stdout and stderr
