item_id	bucket	item_kind	command	option	value	combination	repo_state	transport	platform	implementation_source	evidence_source	evidence_kind	source_detail	next_action	notes
matrix:a710d28884e7c4a9	not implemented / broken / open	exact_open_local_oracle_unavailable	archimport	<positional:args>	archive@example.test/project--main--1--base-0:master	-v plus archive branch mapping	empty target repository with fake tla snapshot	local	all	behavior matrix	git_foreign_scm_compat::archimport_imports_tree_snapshot_into_git_repo	stock_git_oracle_test	docs/cli/matrices/archimport_v2_47.tsv:2	rerun on an environment with the missing stock Git command/tool, or keep open without claiming compatibility	local stock Git lacks git-archimport on this machine; Zmin fake-tla trace proves imported snapshot tree, metadata filtering, branch checkout and git-archimport-id commit message content, but a Git 2.47.1 helper oracle is still required before verification
matrix:d3109f19b76f9bd4	not implemented / broken / open	exact_open_local_oracle_unavailable	citool	--amend	<empty>	GUI commit amend mode	repository with committed HEAD	local	all	behavior matrix	docs/cli/variant_compatibility_plan.md citool oracle unavailable	matrix_row_evidence	docs/cli/matrices/citool_v2_47.tsv:2	rerun on an environment with the missing stock Git command/tool, or keep open without claiming compatibility	local stock Git lacks git-citool in this oracle environment; keep open until a real Git 2.47.1 git-citool oracle verifies stdout, stderr, exit code, GUI launch behavior and repository side effects
matrix:f2f8f5bb75c87f21	not implemented / broken / open	exact_open_local_oracle_unavailable	citool	--file	message.txt	GUI commit message file	repository with staged change	local	all	behavior matrix	docs/cli/variant_compatibility_plan.md citool oracle unavailable	matrix_row_evidence	docs/cli/matrices/citool_v2_47.tsv:3	rerun on an environment with the missing stock Git command/tool, or keep open without claiming compatibility	local stock Git lacks git-citool in this oracle environment; keep open until a real Git 2.47.1 git-citool oracle verifies stdout, stderr, exit code, GUI launch behavior and repository side effects
matrix:ee4997ff91902deb	not implemented / broken / open	exact_open_local_oracle_unavailable	citool	-F	message.txt	GUI commit message file short form	repository with staged change	local	all	behavior matrix	docs/cli/variant_compatibility_plan.md citool oracle unavailable	matrix_row_evidence	docs/cli/matrices/citool_v2_47.tsv:4	rerun on an environment with the missing stock Git command/tool, or keep open without claiming compatibility	local stock Git lacks git-citool in this oracle environment; keep open until a real Git 2.47.1 git-citool oracle verifies stdout, stderr, exit code, GUI launch behavior and repository side effects
matrix:2cbb6692eb1db421	not implemented / broken / open	exact_open_local_oracle_unavailable	citool	--nocommit	<empty>	GUI no-commit mode	repository with staged change	local	all	behavior matrix	docs/cli/variant_compatibility_plan.md citool oracle unavailable	matrix_row_evidence	docs/cli/matrices/citool_v2_47.tsv:5	rerun on an environment with the missing stock Git command/tool, or keep open without claiming compatibility	local stock Git lacks git-citool in this oracle environment; keep open until a real Git 2.47.1 git-citool oracle verifies stdout, stderr, exit code, GUI launch behavior and repository side effects
matrix:ade9189e1a340e93	not implemented / broken / open	exact_open_local_oracle_unavailable	citool	-m	message	GUI commit inline message	repository with staged change	local	all	behavior matrix	docs/cli/variant_compatibility_plan.md citool oracle unavailable	matrix_row_evidence	docs/cli/matrices/citool_v2_47.tsv:6	rerun on an environment with the missing stock Git command/tool, or keep open without claiming compatibility	local stock Git lacks git-citool in this oracle environment; keep open until a real Git 2.47.1 git-citool oracle verifies stdout, stderr, exit code, GUI launch behavior and repository side effects
matrix:b9c3be07b75d651d	not implemented / broken / open	exact_open_local_oracle_unavailable	cvsexportcommit	-w	<cvs checkout>	HEAD in Git repo with fake CVS checkout	text-only commit adding, deleting and modifying files	local	all	behavior matrix	git_foreign_scm_compat::cvsexportcommit_exports_text_commit_to_cvs_checkout	stock_git_oracle_test	docs/cli/matrices/cvsexportcommit_v2_47.tsv:3	rerun on an environment with the missing stock Git command/tool, or keep open without claiming compatibility	local stock Git lacks git-cvsexportcommit on this machine; Zmin fake-CVS adapter trace proves patch apply, add/rm invocations, message export and worktree side effects, but a Git 2.47.1 helper oracle is still required before verification
matrix:6c4f3462137f7eb8	not implemented / broken / open	exact_open_local_oracle_unavailable	cvsimport	-P	<patchset file>	-a -R -z 0 -C <target> -d <cvsroot> module	empty target repository with fake cvs checkout and cvsps file	local	all	behavior matrix	git_foreign_scm_compat::cvsimport_imports_cvsps_patchsets_into_git_commits	stock_git_oracle_test	docs/cli/matrices/cvsimport_v2_47.tsv:3	rerun on an environment with the missing stock Git command/tool, or keep open without claiming compatibility	local stock Git lacks git-cvsimport on this machine; Zmin fake-cvs/cvsps trace proves imported files, origin history, tag placement and cvs revision bookkeeping, but stock-helper oracle evidence is still required before verification
matrix:70243dfc008b2f8f	not implemented / broken / open	exact_open_local_oracle_unavailable	cvsimport	-C	<target>	-d <cvsroot> module without -P	empty target repository with fake cvs checkout and fake cvsps on PATH	local	all	behavior matrix	git_foreign_scm_compat::cvsimport_runs_cvsps_when_patchset_file_is_not_provided	stock_git_oracle_test	docs/cli/matrices/cvsimport_v2_47.tsv:4	rerun on an environment with the missing stock Git command/tool, or keep open without claiming compatibility	local stock Git lacks git-cvsimport on this machine; Zmin fake-cvsps trace proves implicit cvsps execution and imported origin history, but stock-helper oracle evidence is still required before verification
matrix:a5910eacdab63249	not implemented / broken / open	exact_open_local_oracle_unavailable	instaweb	--browser	<browser>	--start	web-capable repository	local	all	behavior matrix	tools/git-instaweb-local-oracle-gap-probe.sh::local_stock_git_instaweb_help	real_tool_trace	docs/cli/matrices/instaweb_v2_47.tsv:2	rerun on an environment with the missing stock Git command/tool, or keep open without claiming compatibility	Git 2.47.1 documents this option, but local stock Git lacks instaweb, so exact stock oracle evidence is unavailable in this environment
