group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Other Git 2.47 commands	whatchanged	--all	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --all --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_all	whatchanged --all output matches stock Git with default raw diff and max-count
Other Git 2.47 commands	whatchanged	--cc	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --cc --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_cc	whatchanged --cc output matches stock Git patch output for non-merge commit
Other Git 2.47 commands	whatchanged	--date	iso	--max-count 1	two-commit history	local	all	git whatchanged --date=iso --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_date	whatchanged --date=iso output matches stock Git
Other Git 2.47 commands	whatchanged	--format	%H	--max-count 1	two-commit history	local	all	git whatchanged --format=%H --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_format	whatchanged --format=%H output matches stock Git
Other Git 2.47 commands	whatchanged	--i-still-use-this	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --i-still-use-this --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_i_still_use_this	invalid-input parity: stock Git and Zmin reject --i-still-use-this with matching exit and stderr
Other Git 2.47 commands	whatchanged	--max-count	1	<none>	two-commit history	local	all	git whatchanged --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_max_count	whatchanged --max-count output matches stock Git
Other Git 2.47 commands	whatchanged	--name-only	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --name-only --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_name_only	whatchanged --name-only output matches stock Git
Other Git 2.47 commands	whatchanged	--name-status	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --name-status --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_name_status	whatchanged --name-status output matches stock Git
Other Git 2.47 commands	whatchanged	--numstat	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --numstat --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_numstat	whatchanged --numstat output matches stock Git
Other Git 2.47 commands	whatchanged	--oneline	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --oneline --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_oneline	whatchanged --oneline output matches stock Git
Other Git 2.47 commands	whatchanged	--parents	<empty>	--oneline --max-count 1	two-commit history	local	all	git whatchanged --parents --oneline --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_parents	whatchanged --parents --oneline output matches stock Git
Other Git 2.47 commands	whatchanged	--patch	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --patch --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_patch	whatchanged --patch output matches stock Git
Other Git 2.47 commands	whatchanged	--patch-with-stat	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --patch-with-stat --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_patch_with_stat	whatchanged --patch-with-stat output matches stock Git
Other Git 2.47 commands	whatchanged	--pickaxe-all	<empty>	-Sneedle --name-only	two-commit history	local	all	git whatchanged -Sneedle --pickaxe-all --name-only	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_pickaxe_all	whatchanged -Sneedle --pickaxe-all --name-only output matches stock Git
Other Git 2.47 commands	whatchanged	--pickaxe-regex	<empty>	-Sneed.e --name-only	two-commit history	local	all	git whatchanged -Sneed.e --pickaxe-regex --name-only	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_pickaxe_regex	whatchanged -Sneed.e --pickaxe-regex --name-only output matches stock Git
Other Git 2.47 commands	whatchanged	--pretty	oneline	--max-count 1	two-commit history	local	all	git whatchanged --pretty=oneline --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_pretty	whatchanged --pretty=oneline output matches stock Git
Other Git 2.47 commands	whatchanged	--raw	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --raw --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_raw	whatchanged --raw output matches stock Git
Other Git 2.47 commands	whatchanged	--reverse	<empty>	--format=%s	two-commit history	local	all	git whatchanged --reverse --format=%s	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_reverse	whatchanged --reverse --format=%s output matches stock Git
Other Git 2.47 commands	whatchanged	--root	<empty>	--max-count 2	two-commit history	local	all	git whatchanged --root --max-count 2	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_root	whatchanged --root output matches stock Git
Other Git 2.47 commands	whatchanged	--shortstat	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --shortstat --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_shortstat	whatchanged --shortstat output matches stock Git
Other Git 2.47 commands	whatchanged	--since	1.week.ago	--format=%s	two-commit history	local	all	git whatchanged --since=1.week.ago --format=%s	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_since	whatchanged --since output matches stock Git for the fixed fixture dates
Other Git 2.47 commands	whatchanged	--stat	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --stat --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_stat	whatchanged --stat output matches stock Git
Other Git 2.47 commands	whatchanged	--summary	<empty>	--max-count 1	two-commit history	local	all	git whatchanged --summary --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_summary	whatchanged --summary output matches stock Git
Other Git 2.47 commands	whatchanged	-G	changed	--name-only	two-commit history	local	all	git whatchanged -Gchanged --name-only	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_pickaxe_G	whatchanged -Gchanged --name-only output matches stock Git
Other Git 2.47 commands	whatchanged	-S	needle	--name-only	two-commit history	local	all	git whatchanged -Sneedle --name-only	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_pickaxe_S	whatchanged -Sneedle --name-only output matches stock Git
Other Git 2.47 commands	whatchanged	-c	<empty>	--max-count 1	two-commit history	local	all	git whatchanged -c --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_short_c	whatchanged -c output matches stock Git patch output for non-merge commit
Other Git 2.47 commands	whatchanged	-n	1	<none>	two-commit history	local	all	git whatchanged -n 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_short_n	whatchanged -n output matches stock Git
Other Git 2.47 commands	whatchanged	-p	<empty>	--max-count 1	two-commit history	local	all	git whatchanged -p --max-count 1	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_short_p	whatchanged -p output matches stock Git
Other Git 2.47 commands	whatchanged	<positional:revs>	HEAD	--oneline	two-commit history	local	all	git whatchanged --oneline HEAD	closed	tools/git-whatchanged-schema-gap-probe.sh::whatchanged_revs	whatchanged --oneline HEAD output matches stock Git
