group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Other Git 2.47 commands	replace	<positional:args>	<object> <replacement>	create replacement ref	two-commit local repository	local	all	git replace <object> <replacement>	closed	git_ref_resolution_compat::replace_matches_stock_git_for_list_create_delete	replacement ref content matches stock Git after creating a replacement object
Other Git 2.47 commands	replace	<none>	<empty>	list replacements	repository with one replacement ref	local	all	git replace	closed	git_ref_resolution_compat::replace_matches_stock_git_for_list_create_delete	default replacement list output matches stock Git
Other Git 2.47 commands	replace	-l	*	list pattern	repository with one replacement ref	local	all	git replace -l '*'	closed	git_ref_resolution_compat::replace_matches_stock_git_for_list_create_delete	short list pattern output matches stock Git
Other Git 2.47 commands	replace	--list	*	list pattern	repository with one replacement ref	local	all	git replace --list '*'	closed	git-replace-schema-oracle-smoke.sh::replace_list_long	long list pattern output matches stock Git
Other Git 2.47 commands	replace	--format	medium	list medium format	repository with one replacement ref	local	all	git replace --format=medium	closed	git_ref_resolution_compat::replace_matches_stock_git_for_list_create_delete	medium format replacement list output matches stock Git
Other Git 2.47 commands	replace	--format	long	list long format	repository with one replacement ref	local	all	git replace --format=long	closed	git_ref_resolution_compat::replace_matches_stock_git_for_list_create_delete	long format replacement list output matches stock Git
Other Git 2.47 commands	replace	-d	<object-prefix>	delete replacement ref	repository with one replacement ref	local	all	git replace -d <object-prefix>	closed	git_ref_resolution_compat::replace_matches_stock_git_for_list_create_delete	short delete replacement output and ref removal match stock Git
Other Git 2.47 commands	replace	--delete	<object>	delete replacement ref	repository with one replacement ref	local	all	git replace --delete <object>	closed	git-replace-schema-oracle-smoke.sh::replace_delete_long	long delete replacement output and ref removal match stock Git
Other Git 2.47 commands	replace	--graft	<commit>	reparent commit without explicit parents	three-commit local repository	local	all	git replace --graft <commit>	closed	git_ref_resolution_compat::replace_graft_matches_stock_git_for_reparenting_commit	graft replacement ref, long-format listing and replacement commit contents match stock Git
Other Git 2.47 commands	replace	-g	<commit>	reparent commit without explicit parents	three-commit local repository	local	all	git replace -g <commit>	closed	git-replace-schema-oracle-smoke.sh::replace_graft_short	short graft replacement ref and replacement commit payload match stock Git
Other Git 2.47 commands	replace	--edit	<commit>	GIT_EDITOR commit message edit	single-commit local repository with executable editor	local	all	git replace --edit <commit>	closed	git_ref_resolution_compat::replace_edit_matches_stock_git_for_commit_message_edit	edit replacement command output, replacement ref and edited commit contents match stock Git
Other Git 2.47 commands	replace	-e	<commit>	GIT_EDITOR commit message edit	single-commit local repository with executable editor	local	all	git replace -e <commit>	closed	git-replace-schema-oracle-smoke.sh::replace_edit_short	short edit replacement command output, replacement ref and edited commit contents match stock Git
Other Git 2.47 commands	replace	--convert-graft-file	<empty>	convert .git/info/grafts entry	two-branch local repository with grafts file	local	all	git replace --convert-graft-file	closed	git_ref_resolution_compat::replace_convert_graft_file_matches_stock_git_for_reparenting_entries	convert-graft-file output, graft-file removal, replacement ref and replacement commit contents match stock Git
Other Git 2.47 commands	replace	--force	<empty>	replace existing replacement ref	three-commit local repository with existing replacement ref	local	all	git replace --force <object> <replacement>	closed	git-replace-schema-oracle-smoke.sh::replace_force_long	force long form replaces an existing replacement ref with stdout, stderr, exit status and refs/replace matching stock Git
Other Git 2.47 commands	replace	-f	<empty>	replace existing replacement ref	three-commit local repository with existing replacement ref	local	all	git replace -f <object> <replacement>	closed	git-replace-schema-oracle-smoke.sh::replace_force_short	force short form replaces an existing replacement ref with stdout, stderr, exit status and refs/replace matching stock Git
Other Git 2.47 commands	replace	--raw	<empty>	--edit with no-op editor	three-commit local repository	local	all	GIT_EDITOR=noop git replace --raw --edit <commit>	open	git-replace-schema-gap-probe.sh::replace_raw_edit_noop	stock Git exits 255 and rejects a no-op raw edit as the same object, while Zmin exits 0
Other Git 2.47 commands	replace	--no-raw	<empty>	--edit with no-op editor	three-commit local repository	local	all	GIT_EDITOR=noop git replace --no-raw --edit <commit>	open	git-replace-schema-gap-probe.sh::replace_no_raw_edit_noop	stock Git exits 255 and rejects a no-op pretty edit as the same object, while Zmin exits 0
