group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Other Git 2.47 commands	column	--mode	bad	invalid mode value	stdin input	n/a	all	git column --mode=bad	invalid-input	git_text_tools_compat::column_matches_stock_git_for_common_modes	unsupported column mode guard is classified as stock-compatible invalid input with exit code and error diagnostic parity
Other Git 2.47 commands	column	--mode	<empty>	--width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --mode --width=20	closed	tools/git-column-oracle-smoke.sh::column_mode_missing_value	bare mode option without an explicit value enters stock default column layout
Other Git 2.47 commands	column	--mode	<empty>	equals empty plus --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --mode= --width=20	closed	tools/git-column-oracle-smoke.sh::column_mode_empty_value	empty equals mode value also enters stock default column layout
Other Git 2.47 commands	column	--no-mode	<empty>	--width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --no-mode --width=20	closed	tools/git-column-oracle-smoke.sh::column_no_mode	no-mode clears column layout selection and restores stock plain output
Other Git 2.47 commands	column	--padding	2	--mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --mode=column --padding=2 --width=20	closed	tools/git-column-oracle-smoke.sh::column_padding_width	padding with explicit column mode and width matches stock stdout/stderr/exit and leaves worktree status unchanged
Other Git 2.47 commands	column	--padding	<empty>	equals empty rejection	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --padding=	invalid-input	tools/git-column-oracle-smoke.sh::column_padding_empty	empty padding value is rejected with stock numeric-value diagnostic and exit 129
Other Git 2.47 commands	column	--no-padding	<empty>	after --padding=2 --mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --padding=2 --mode=column --width=20 --no-padding	closed	tools/git-column-oracle-smoke.sh::column_no_padding	no-padding resets an earlier explicit padding to stock zero-gap column output
Other Git 2.47 commands	column	--width	20	default mode	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --width=20	closed	tools/git-column-oracle-smoke.sh::column_width	width-only layout matches stock stdout/stderr/exit and leaves worktree status unchanged
Other Git 2.47 commands	column	--width	<empty>	equals empty rejection	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --width=	invalid-input	tools/git-column-oracle-smoke.sh::column_width_empty	empty width value is rejected with stock numeric-value diagnostic and exit 129
Other Git 2.47 commands	column	--no-width	<empty>	after --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --width=20 --no-width	closed	tools/git-column-oracle-smoke.sh::column_no_width	no-width clears an earlier width and restores stock plain output
Other Git 2.47 commands	column	--raw-mode	16	--width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --raw-mode=16 --width=20	closed	tools/git-column-oracle-smoke.sh::column_raw_mode	raw numeric mode layout matches stock stdout/stderr/exit and leaves worktree status unchanged
Other Git 2.47 commands	column	--raw-mode	1	--width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --raw-mode=1 --width=20	closed	tools/git-column-oracle-smoke.sh::column_raw_mode_one	raw mode one keeps stock plain output
Other Git 2.47 commands	column	--raw-mode	17	--width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --raw-mode=17 --width=20	closed	tools/git-column-oracle-smoke.sh::column_raw_mode_seventeen	raw mode seventeen selects stock row-major layout
Other Git 2.47 commands	column	--raw-mode	0	before --mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --raw-mode=0 --mode=column --width=20	closed	tools/git-column-oracle-smoke.sh::column_raw_mode_zero_then_mode	later mode overrides earlier raw-mode zero like stock Git
Other Git 2.47 commands	column	--raw-mode	0	after --mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --mode=column --raw-mode=0 --width=20	closed	tools/git-column-oracle-smoke.sh::column_mode_then_raw_mode_zero	later raw-mode zero clears earlier column mode like stock Git
Other Git 2.47 commands	column	--raw-mode	1	before --mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --raw-mode=1 --mode=column --width=20	closed	tools/git-column-oracle-smoke.sh::column_raw_mode_one_then_mode	later mode overrides earlier raw-mode one like stock Git
Other Git 2.47 commands	column	--raw-mode	1	after --mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --mode=column --raw-mode=1 --width=20	closed	tools/git-column-oracle-smoke.sh::column_mode_then_raw_mode_one	later raw-mode one clears earlier column mode like stock Git
Other Git 2.47 commands	column	--raw-mode	1	plus --padding=2 --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --raw-mode=1 --padding=2 --width=20	closed	tools/git-column-oracle-smoke.sh::column_raw_mode_one_padding	raw-mode plain output ignores explicit padding like stock Git
Other Git 2.47 commands	column	--raw-mode	1	plus --indent=>> --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --raw-mode=1 --indent='>>' --width=20	closed	tools/git-column-oracle-smoke.sh::column_raw_mode_one_indent	raw-mode plain output ignores explicit indent like stock Git
Other Git 2.47 commands	column	--raw-mode	1	plus --nl=ZZ --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --raw-mode=1 --nl=ZZ --width=20	closed	tools/git-column-oracle-smoke.sh::column_raw_mode_one_nl	raw-mode plain output ignores custom line terminators like stock Git
Other Git 2.47 commands	column	--raw-mode	bogus	invalid numeric value	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --raw-mode=bogus --width=20	invalid-input	tools/git-column-oracle-smoke.sh::column_raw_mode_invalid	unknown raw-mode value is rejected with stock numeric-value diagnostic and exit 129
Other Git 2.47 commands	column	--command	status	--width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --width=20	closed	tools/git-column-oracle-smoke.sh::column_command_status	command lookup surface is accepted and matches stock stdout/stderr/exit on the default no-config path
Other Git 2.47 commands	column	--command	status	column.status=column,dense	stdin input in repository config state	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git -c column.status=column,dense column --command=status	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	command lookup honors column.status=column,dense mode style like stock Git
Other Git 2.47 commands	column	--command	status	column.status=column,nodense	stdin input in repository config state	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git -c column.status=column,nodense column --command=status	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	command lookup honors column.status=column,nodense mode style like stock Git
Other Git 2.47 commands	column	--command	status	column.status=row,dense	stdin input in repository config state	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git -c column.status=row,dense column --command=status	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	command lookup honors column.status=row,dense mode style like stock Git
Other Git 2.47 commands	column	--command	status	column.status=dense	stdin input in repository config state	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git -c column.status=dense column --command=status	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	command lookup honors plain-dense config by keeping stock dense default behavior
Other Git 2.47 commands	column	--command	status	column.status=nodense	stdin input in repository config state	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git -c column.status=nodense column --command=status	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	command lookup honors plain-nodense config by keeping stock default plain behavior
Other Git 2.47 commands	column	--command	status	column.status=row,nodense	stdin input in repository config state	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git -c column.status=row,nodense column --command=status	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	command lookup honors row,nodense mode style like stock Git
Other Git 2.47 commands	column	--command	status	plus --mode=column	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --mode=column	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	explicit mode=column after command lookup overrides default plain command behavior like stock Git
Other Git 2.47 commands	column	--command	status	plus --mode=row	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --mode=row	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	explicit mode=row after command lookup overrides default plain command behavior like stock Git
Other Git 2.47 commands	column	--command	status	plus --mode=plain	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --mode=plain	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	explicit mode=plain after command lookup keeps stock plain output
Other Git 2.47 commands	column	--command	status	plus --mode=nodense	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --mode=nodense	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	explicit mode=nodense after command lookup follows stock plain behavior
Other Git 2.47 commands	column	--command	status	plus --mode=row,nodense	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --mode=row,nodense	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes_nodense	explicit row,nodense mode after command lookup matches stock row layout
Other Git 2.47 commands	column	--command	status	plus --mode=column,nodense	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --mode=column,nodense	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes_nodense	explicit column,nodense mode after command lookup matches stock column layout
Other Git 2.47 commands	column	--command	status	plus --mode= empty	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --mode=	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	explicit empty mode after command lookup falls back to stock default column layout
Other Git 2.47 commands	column	--command	status	plus --no-mode	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --no-mode	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	no-mode after command lookup keeps stock default plain behavior
Other Git 2.47 commands	column	--command	status	plus --raw-mode=0	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --raw-mode=0	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	raw-mode zero after command lookup keeps stock plain behavior
Other Git 2.47 commands	column	--command	status	plus --raw-mode=16	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --raw-mode=16	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	raw-mode sixteen after command lookup selects stock column layout
Other Git 2.47 commands	column	--command	status	plus --raw-mode=17	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --raw-mode=17	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	raw-mode seventeen after command lookup selects stock row layout
Other Git 2.47 commands	column	--command	status	separate value form	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command status	invalid-input	git_text_tools_compat::column_matches_stock_git_for_common_modes	separate command value form fails with stock first-argument fatal diagnostic
Other Git 2.47 commands	column	--command	<empty>	with --mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command= --mode=column --width=20	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	empty command value behaves like no command lookup and still respects explicit mode and width like stock Git
Other Git 2.47 commands	column	--command	<empty>	with --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command= --width=20	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	empty command value keeps stock plain output with explicit width
Other Git 2.47 commands	column	--command	<empty>	with --raw-mode=16 --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command= --raw-mode=16 --width=20	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	empty command value still allows explicit raw-mode sixteen stock column layout
Other Git 2.47 commands	column	--command	<empty>	before --no-command --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command= --no-command --width=20	invalid-input	git_text_tools_compat::column_matches_stock_git_for_common_modes	empty command followed by no-command fails with stock first-argument fatal diagnostic
Other Git 2.47 commands	column	--no-command	<empty>	with --mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --no-command --mode=column --width=20	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	no-command leaves explicit mode=column free to control layout like stock Git
Other Git 2.47 commands	column	--no-command	<empty>	with --raw-mode=16 --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --no-command --raw-mode=16 --width=20	closed	git_text_tools_compat::column_matches_stock_git_for_common_modes	no-command leaves explicit raw-mode sixteen free to control layout like stock Git
Other Git 2.47 commands	column	--command	status	after --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --width=20 --command=status	invalid-input	git_text_tools_compat::column_matches_stock_git_for_common_modes	later command option fails with stock first-argument fatal diagnostic
Other Git 2.47 commands	column	--no-command	<empty>	after --command=status	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --command=status --no-command	invalid-input	git_text_tools_compat::column_matches_stock_git_for_common_modes	later no-command after command lookup fails with stock first-argument fatal diagnostic
Other Git 2.47 commands	column	--no-command	<empty>	--width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --no-command --width=20	closed	tools/git-column-oracle-smoke.sh::column_no_command	no-command resets command lookup and keeps default plain output like stock Git
Other Git 2.47 commands	column	--indent	>>	--mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --mode=column --indent='>>' --width=20	closed	tools/git-column-oracle-smoke.sh::column_indent	left indent prefix in column mode matches stock stdout/stderr/exit and leaves worktree status unchanged
Other Git 2.47 commands	column	--no-indent	<empty>	after --indent=>> --mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --indent='>>' --no-indent --mode=column --width=20	closed	tools/git-column-oracle-smoke.sh::column_no_indent	no-indent clears an earlier indent and restores stock default column output
Other Git 2.47 commands	column	--nl	ZZ	--mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --mode=column --nl=ZZ --width=20	closed	tools/git-column-oracle-smoke.sh::column_nl	custom row terminator in column mode matches stock stdout/stderr/exit and leaves worktree status unchanged
Other Git 2.47 commands	column	--no-nl	<empty>	after --nl=ZZ --mode=column --width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --nl=ZZ --no-nl --mode=column --width=20	closed	tools/git-column-oracle-smoke.sh::column_no_nl	no-nl clears an earlier custom terminator and restores stock newline-separated column output
Other Git 2.47 commands	column	--raw-mode	0	--width=20	stdin input	n/a	all	printf 'alpha\\nbeta\\ngamma\\ndelta\\n' | git column --raw-mode=0 --width=20	closed	tools/git-column-oracle-smoke.sh::column_raw_mode_zero	raw mode zero preserves plain output like stock Git
