group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Basic Snapshotting	reset	<positional:args>	-- missing	pathspec reset with missing path	repository with committed tracked file	local	all	git reset -- missing	invalid-input	git_cli_failure_compat::invalid_option_combinations_match_stock_git_failures	missing pathspec reset failure output and exit status match stock Git
Basic Snapshotting	reset	<positional:args>	HEAD -- missing	tree-ish plus missing pathspec reset	repository with committed tracked file	local	all	git reset HEAD -- missing	invalid-input	git_cli_failure_compat::invalid_option_combinations_match_stock_git_failures	tree-ish plus missing pathspec reset failure output and exit status match stock Git
Basic Snapshotting	reset	--mixed	<empty>	pathspec form	repository with committed tracked file	local	all	git reset --mixed -- a.txt	invalid-input	git_cli_failure_compat::invalid_option_combinations_match_stock_git_failures	mixed reset with pathspec rejection output and exit status match stock Git
Basic Snapshotting	reset	--soft	<empty>	pathspec form	repository with committed tracked file	local	all	git reset --soft -- a.txt	invalid-input	git_cli_failure_compat::invalid_option_combinations_match_stock_git_failures	soft reset with pathspec rejection output and exit status match stock Git
Basic Snapshotting	reset	--hard	<empty>	pathspec form	repository with committed tracked file	local	all	git reset --hard -- a.txt	invalid-input	git_cli_failure_compat::invalid_option_combinations_match_stock_git_failures	hard reset with pathspec rejection output and exit status match stock Git
Basic Snapshotting	reset	--soft	<commit-ish>	mode reset to HEAD~1	two-commit repository	local	all	git reset --soft HEAD~1	closed	git_worktree_state_compat::reset_modes_match_stock_git_state	soft reset to the previous commit matches stock HEAD, tree and index/worktree state
Basic Snapshotting	reset	--mixed	<commit-ish>	mode reset to HEAD~1	two-commit repository	local	all	git reset --mixed HEAD~1	closed	git_worktree_state_compat::reset_modes_match_stock_git_state	mixed reset to the previous commit matches stock HEAD, tree and index/worktree state
Basic Snapshotting	reset	--hard	<commit-ish>	mode reset to HEAD~1	two-commit repository	local	all	git reset --hard HEAD~1	closed	git_worktree_state_compat::reset_modes_match_stock_git_state	hard reset to the previous commit matches stock HEAD, tree, worktree bytes and path removal
Basic Snapshotting	reset	-q	<commit-ish>	quiet mixed reset to HEAD~1	two-commit repository	local	all	git reset -q --mixed HEAD~1	closed	git_worktree_state_compat::reset_additional_documented_options_match_stock_git	short quiet alias suppresses mixed reset output while preserving stock HEAD and worktree state
Basic Snapshotting	reset	--quiet	<commit-ish>	quiet hard reset to HEAD~1	two-commit repository	local	all	git reset --quiet --hard HEAD~1	closed	git_worktree_state_compat::reset_additional_documented_options_match_stock_git	long quiet form suppresses hard reset output while preserving stock HEAD and worktree state
Basic Snapshotting	reset	--refresh	<commit-ish>	refresh mixed reset to HEAD~1	two-commit repository	local	all	git reset --refresh --mixed HEAD~1	closed	git_worktree_state_compat::reset_additional_documented_options_match_stock_git	refresh prints the stock unstaged-changes summary on mixed reset while preserving HEAD and worktree state
Basic Snapshotting	reset	--no-refresh	<commit-ish>	no-refresh mixed reset to HEAD~1	two-commit repository	local	all	git reset --no-refresh --mixed HEAD~1	closed	git_worktree_state_compat::reset_additional_documented_options_match_stock_git	no-refresh suppresses the mixed reset summary while preserving stock HEAD and worktree state
Basic Snapshotting	reset	<positional:args>	HEAD~1 --hard	revision before mode	two-commit repository	local	all	git reset HEAD~1 --hard	closed	git_worktree_state_compat::reset_mode_after_revision_matches_stock_git_state	revision-before-mode hard reset matches stock HEAD, status and worktree bytes
Basic Snapshotting	reset	<pathspec>	a.txt new.txt	tree-ish plus multi-path unstage	staged modification and staged addition after initial commit	local	all	git reset HEAD -- a.txt new.txt	closed	git_worktree_state_compat::reset_paths_match_stock_git_state	tree-ish path reset matches stock status and cached diff state for modified and added paths
Basic Snapshotting	reset	<pathspec>	a.txt	default path reset	staged modification after re-adding tracked file	local	all	git reset -- a.txt	closed	git_worktree_state_compat::reset_paths_match_stock_git_state	default path reset unstages the tracked file with stock-matching status
Basic Snapshotting	reset	--pathspec-from-file	<pathspec file>	tree-ish plus newline-delimited pathspec file unstage	staged modification and staged addition after second commit	local	all	git reset HEAD --pathspec-from-file=paths.txt	closed	git_worktree_state_compat::reset_additional_documented_options_match_stock_git	newline-delimited pathspec-from-file unstages tracked and added paths with stock stdout, status, and cached diff parity
Basic Snapshotting	reset	--pathspec-file-nul	<pathspec file>	tree-ish plus NUL-delimited pathspec file unstage	staged modification and staged addition after second commit	local	all	git reset HEAD --pathspec-from-file=paths.nul --pathspec-file-nul	closed	git_worktree_state_compat::reset_additional_documented_options_match_stock_git	NUL-delimited pathspec-from-file input unstages tracked and added paths with stock stdout, status, and cached diff parity
