item_id	bucket	item_kind	command	option	value	combination	repo_state	transport	platform	implementation_source	evidence_source	evidence_kind	source_detail	next_action	notes
oracle:06e24126cf1096be	oracle evidence layer	stock_oracle_test_function	<none>	compatibility_command::compatibility_profile_v2_47_keeps_current_acceptance_gate	missing_or_unclassified	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	compatibility_command::compatibility_profile_v2_47_keeps_current_acceptance_gate	stock_git_oracle_test	compatibility_command.rs body_lines=100 evidence_refs=0	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:5348e1387ea27281	oracle evidence layer	stock_oracle_test_function	add	git_add_compat::add_process_filter_unknown_capability_matches_stock_git	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_add_compat::add_process_filter_unknown_capability_matches_stock_git	stock_git_oracle_test	git_add_compat.rs body_lines=35 evidence_refs=1	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:382d42f07a520213	oracle evidence layer	stock_oracle_test_function	add,status	git_add_compat::add_process_filter_unknown_status_matches_stock_git	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_add_compat::add_process_filter_unknown_status_matches_stock_git	stock_git_oracle_test	git_add_compat.rs body_lines=35 evidence_refs=1	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:68244bd60a77012e	oracle evidence layer	stock_oracle_test_function	add,clean,status	git_add_compat::add_process_filter_delayed_clean_status_matches_stock_git	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_add_compat::add_process_filter_delayed_clean_status_matches_stock_git	stock_git_oracle_test	git_add_compat.rs body_lines=35 evidence_refs=1	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:052c0df0e43876d1	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::optional_gitk_and_gitweb_match_stock_unavailable_shape	missing_or_unclassified	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::optional_gitk_and_gitweb_match_stock_unavailable_shape	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=19 evidence_refs=0	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:cb9ebf3b51067fdf	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::for_each_repo_matches_stock_git_for_configured_repositories	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::for_each_repo_matches_stock_git_for_configured_repositories	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=24 evidence_refs=1	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:b585f69774ea659a	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::for_each_repo_missing_repo_failures_match_stock_git	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::for_each_repo_missing_repo_failures_match_stock_git	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=58 evidence_refs=3	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:f5ad8dad0e1f80c4	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::repo_command_is_tracked_zmin_only_extension	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::repo_command_is_tracked_zmin_only_extension	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=46 evidence_refs=1	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:f62ec786541f0367	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::bugreport_suffix_modes_match_stock_git_files	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::bugreport_suffix_modes_match_stock_git_files	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=67 evidence_refs=3	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:caa5ca524ae93dd0	oracle evidence layer	stock_oracle_test_function	archive	git_admin_tools_compat::diagnose_creates_zip_archive_with_stats_files	missing_or_unclassified	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::diagnose_creates_zip_archive_with_stats_files	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=32 evidence_refs=0	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:36fdd2e89d9583cd	oracle evidence layer	stock_oracle_test_function	archive,diagnose	git_admin_tools_compat::bugreport_diagnose_creates_report_and_diagnostics_archive	missing_or_unclassified	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::bugreport_diagnose_creates_report_and_diagnostics_archive	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=35 evidence_refs=0	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:61b1606615555012	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::backfill_matches_stock_git_for_complete_repository_noop	missing_or_unclassified	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::backfill_matches_stock_git_for_complete_repository_noop	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=21 evidence_refs=0	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:ce606ecdbb6caa56	oracle evidence layer	stock_oracle_test_function	remote	git_admin_tools_compat::backfill_promisor_remote_recovers_missing_local_objects	missing_or_unclassified	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::backfill_promisor_remote_recovers_missing_local_objects	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=57 evidence_refs=0	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:32856e872fa26046	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::replay_matches_stock_git_for_linear_range	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::replay_matches_stock_git_for_linear_range	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=105 evidence_refs=4	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:28965081157234aa	oracle evidence layer	stock_oracle_test_function	branch	git_admin_tools_compat::history_reword_dry_run_prints_ref_updates_without_moving_branch	missing_or_unclassified	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::history_reword_dry_run_prints_ref_updates_without_moving_branch	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=34 evidence_refs=0	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:1b3e96800ba62d88	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::history_split_dry_run_splits_selected_file_hunks	missing_or_unclassified	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::history_split_dry_run_splits_selected_file_hunks	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=58 evidence_refs=0	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:4ae4e384db10ed5c	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::history_split_pathspec_can_select_all_matching_hunks	missing_or_unclassified	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::history_split_pathspec_can_select_all_matching_hunks	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=42 evidence_refs=0	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:39b266adb90c3926	oracle evidence layer	stock_oracle_test_function	add	git_admin_tools_compat::managed_hooks_add_list_remove_and_protect_manual_hooks	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::managed_hooks_add_list_remove_and_protect_manual_hooks	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=157 evidence_refs=1	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:7ba9dbcb31a36849	oracle evidence layer	stock_oracle_test_function	hook	git_admin_tools_compat::managed_hooks_reject_unsupported_hook_names_as_zmin_extension_validation	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::managed_hooks_reject_unsupported_hook_names_as_zmin_extension_validation	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=35 evidence_refs=1	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:77fc7d922b56506a	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::config_get_set_and_list_match_stock_git	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::config_get_set_and_list_match_stock_git	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=70 evidence_refs=12	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:3ece1fc24f9161de	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::config_local_scope_matches_stock_git	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::config_local_scope_matches_stock_git	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=28 evidence_refs=3	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:2c6c2b7f9e170b8f	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::config_set_append_preserves_multivalue_entries_like_stock_git	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::config_set_append_preserves_multivalue_entries_like_stock_git	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=55 evidence_refs=3	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:67551da290b77587	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::config_include_origin_and_scope_match_stock_git	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::config_include_origin_and_scope_match_stock_git	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=162 evidence_refs=14	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:d349222c24807ed6	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::config_include_hasconfig_matches_stock_git	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::config_include_hasconfig_matches_stock_git	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=126 evidence_refs=5	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:7f96778ff2623711	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::config_type_bool_matches_stock_git_for_get_set_and_failures	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::config_type_bool_matches_stock_git_for_get_set_and_failures	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=67 evidence_refs=9	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
oracle:6ffd88662665ee3d	oracle evidence layer	stock_oracle_test_function	<none>	git_admin_tools_compat::config_type_int_and_bool_or_int_match_stock_git	represented	<test-function>	<from-test>	<from-test>	all	existing oracle inventory	git_admin_tools_compat::config_type_int_and_bool_or_int_match_stock_git	stock_git_oracle_test	git_admin_tools_compat.rs body_lines=75 evidence_refs=19	use only after independent command/docs/schema census identifies the row shape	not a primary backlog source
