group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Email	mailinfo	<none>	<empty>	stdin patch mail to msg and patch files	no repository state required	local	all	git mailinfo git-msg git-patch < patch-mail.txt	closed	git_mail_tools_compat::mailinfo_matches_stock_git_for_common_patch_mail	default patch mail split stdout plus msg and patch files match stock Git
Email	mailinfo	<positional:msg>	git-msg	stdin patch mail to msg file	no repository state required	local	all	git mailinfo git-msg git-patch < patch-mail.txt	closed	git_mail_tools_compat::mailinfo_matches_stock_git_for_common_patch_mail	positional message output path receives the same parsed commit message as stock Git
Email	mailinfo	<positional:patch>	git-patch	stdin patch mail to patch file	no repository state required	local	all	git mailinfo git-msg git-patch < patch-mail.txt	closed	git_mail_tools_compat::mailinfo_matches_stock_git_for_common_patch_mail	positional patch output path receives the same parsed patch body as stock Git
Email	mailinfo	-k	<empty>	stdin patch mail to msg and patch files	no repository state required	local	all	git mailinfo -k git-msg git-patch < patch-mail.txt	closed	git_mail_tools_compat::mailinfo_matches_stock_git_for_common_patch_mail	-k subject handling output plus msg and patch files match stock Git
Email	mailinfo	-b	<empty>	stdin patch mail to msg and patch files	no repository state required	local	all	git mailinfo -b git-msg git-patch < patch-mail.txt	closed	git_mail_tools_compat::mailinfo_matches_stock_git_for_common_patch_mail	-b bracket handling output plus msg and patch files match stock Git
Email	mailinfo	-m	<empty>	stdin patch mail to msg and patch files	no repository state required	local	all	git mailinfo -m git-msg git-patch < patch-mail.txt	closed	git_mail_tools_compat::mailinfo_matches_stock_git_for_common_patch_mail	-m message-id handling output plus msg and patch files match stock Git
Email	mailinfo	--encoding	UTF-8	stdin UTF-8 patch mail to msg and patch files	no repository state required	local	all	git mailinfo --encoding UTF-8 git-msg git-patch < patch-mail.txt	closed	git-mailinfo-schema-oracle-smoke.sh::mailinfo_encoding	exact stdout, stderr, message file and patch file match stock Git for explicit UTF-8 recoding
Email	mailinfo	--quoted-cr	nowarn	stdin patch mail to msg and patch files	no repository state required	local	all	git mailinfo --quoted-cr nowarn git-msg git-patch < patch-mail.txt	closed	git-mailinfo-schema-oracle-smoke.sh::mailinfo_quoted_cr	exact stdout, stderr, message file and patch file match stock Git for quoted-CR handling set to nowarn
Email	mailinfo	--scissors	<empty>	stdin patch mail to msg and patch files	no repository state required	local	all	git mailinfo --scissors git-msg git-patch < patch-mail.txt	closed	git-mailinfo-schema-oracle-smoke.sh::mailinfo_scissors	exact stdout, stderr, message file and patch file match stock Git for scissors parsing on a mail without scissors marker
Email	mailinfo	--message-id	<empty>	stdin patch mail to msg and patch files	no repository state required	local	all	git mailinfo --message-id git-msg git-patch < patch-mail.txt	closed	git-mailinfo-schema-oracle-smoke.sh::mailinfo_message_id_long	exact stdout, stderr, message file and patch file match stock Git for long message-id spelling
Email	mailinfo	-n	<empty>	stdin UTF-8 patch mail to msg and patch files	no repository state required	local	all	git mailinfo -n git-msg git-patch < patch-mail.txt	closed	git-mailinfo-schema-oracle-smoke.sh::mailinfo_no_recode	exact stdout, stderr, message file and patch file match stock Git with metadata recoding disabled
Email	mailinfo	-u	<empty>	stdin UTF-8 patch mail to msg and patch files	no repository state required	local	all	git mailinfo -u git-msg git-patch < patch-mail.txt	closed	git-mailinfo-schema-oracle-smoke.sh::mailinfo_recode	exact stdout, stderr, message file and patch file match stock Git with metadata recoding enabled
