reference_group	command	option	value	combination	repository_state	transport	platform	example	status	evidence	notes
Other Git 2.47 commands	cvsexportcommit	<positional:args>	unknown	unknown positional outside repository	outside repository	local	macos	git cvsexportcommit unknown	closed	tools/git-foreign-helper-positional-gap-probe.sh::cvsexportcommit_positional_unknown	unavailable helper exits 1 with exact macOS not-a-git-command stderr, empty stdout and no repository side effects matching stock Git
Other Git 2.47 commands	cvsexportcommit	-P	<none>	-w plus explicit non-parent base	HEAD exported against grandparent base in Git repo with fake CVS checkout	local	all	git cvsexportcommit -P -w <cvs checkout> <grandparent> HEAD	closed	git_foreign_scm_compat::cvsexportcommit_force_parent_matches_stock_git	short force-parent option is stock-compatible on the modeled fake-CVS export lane, including matching stdout, stderr, exit status, combined diff export against a non-parent base, and CVS checkout side effects
Other Git 2.47 commands	cvsexportcommit	-W	<none>	same-worktree export-target branch	current branch at parent snapshot in Git repo doubling as CVS checkout	local	all	git cvsexportcommit -W refs/heads/export-target	closed	git_foreign_scm_compat::cvsexportcommit_same_worktree_matches_stock_git	short same-worktree option is stock-compatible on the modeled branch-backed CVS worktree lane, including matching stdout, stderr, exit status, checkout-back transcript, CVS invocation log shape, and restored worktree state
Other Git 2.47 commands	cvsexportcommit	-a	<none>	-w plus author trailer export	HEAD in Git repo with fake CVS checkout	local	all	git cvsexportcommit -a -w <cvs checkout> HEAD	closed	git_foreign_scm_compat::cvsexportcommit_option_family_matches_stock_git	short add-author option is stock-compatible on the modeled fake-CVS export lane, including matching stdout, stderr, exit status, .msg author trailer content, and CVS checkout side effects
Other Git 2.47 commands	cvsexportcommit	-c	<none>	-w plus autocommit	HEAD in Git repo with fake CVS checkout	local	all	git cvsexportcommit -c -w <cvs checkout> HEAD	closed	git_foreign_scm_compat::cvsexportcommit_option_family_matches_stock_git	short autocommit option is stock-compatible on the modeled fake-CVS export lane, including matching stdout, stderr, exit status, commit command preview, CVS commit invocation log, and cleanup side effects
Other Git 2.47 commands	cvsexportcommit	-d	/tmp/fake-root	-w plus explicit cvsroot	HEAD in Git repo with fake CVS checkout	local	all	git cvsexportcommit -d /tmp/fake-root -w <cvs checkout> HEAD	closed	git_foreign_scm_compat::cvsexportcommit_option_family_matches_stock_git	short cvsroot option is stock-compatible on the modeled fake-CVS export lane, including matching stdout, stderr, exit status, commit command preview, and `cvs -d` invocation log shape
Other Git 2.47 commands	cvsexportcommit	-f	<none>	-w plus force flag	HEAD in Git repo with fake CVS checkout	local	all	git cvsexportcommit -f -w <cvs checkout> HEAD	closed	git_foreign_scm_compat::cvsexportcommit_option_family_matches_stock_git	short force option is stock-compatible on the modeled fake-CVS export lane as a no-op on the current clean-checkout surface, including matching stdout, stderr, exit status, status probes, and CVS checkout side effects
Other Git 2.47 commands	cvsexportcommit	-k	<none>	-w plus reverse-keyword failure lane	HEAD in Git repo with fake CVS checkout containing expanded CVS keywords	local	all	git cvsexportcommit -k -w <cvs checkout> HEAD	closed	git_foreign_scm_compat::cvsexportcommit_keyword_reverse_failure_matches_stock_git	short reverse-keyword option is stock-compatible on the modeled fake-CVS failure lane, including matching stdout, normalized stderr, exit status, `.orig` backup side effects, and unchanged checkout state after patch apply failure
Other Git 2.47 commands	cvsexportcommit	-m	PREFIX:	-w plus message prefix	HEAD in Git repo with fake CVS checkout	local	all	git cvsexportcommit -m PREFIX: -w <cvs checkout> HEAD	closed	git_foreign_scm_compat::cvsexportcommit_option_family_matches_stock_git	short message-prefix option is stock-compatible on the modeled fake-CVS export lane, including matching stdout, stderr, exit status, prefixed `.msg` content, and CVS checkout side effects
Other Git 2.47 commands	cvsexportcommit	-p	<none>	-w plus pedantic patch check	HEAD in Git repo with fake CVS checkout	local	all	git cvsexportcommit -p -w <cvs checkout> HEAD	closed	git_foreign_scm_compat::cvsexportcommit_option_family_matches_stock_git	short pedantic option is stock-compatible on the modeled fake-CVS export lane, including matching stdout, stderr, exit status, and CVS checkout side effects on the current exact-context patch fixture
Other Git 2.47 commands	cvsexportcommit	-u	<none>	-w plus CVS update	HEAD in Git repo with fake CVS checkout	local	all	git cvsexportcommit -u -w <cvs checkout> HEAD	closed	git_foreign_scm_compat::cvsexportcommit_option_family_matches_stock_git	short update option is stock-compatible on the modeled fake-CVS export lane, including matching stdout update lines, stderr, exit status, and CVS invocation log shape before patch apply
Other Git 2.47 commands	cvsexportcommit	-v	<none>	-w plus verbose progress	HEAD in Git repo with fake CVS checkout	local	all	git cvsexportcommit -v -w <cvs checkout> HEAD	closed	git_foreign_scm_compat::cvsexportcommit_option_family_matches_stock_git	short verbose option is stock-compatible on the modeled fake-CVS export lane, including matching parent/commit progress stdout, stderr, exit status, and CVS checkout side effects
Other Git 2.47 commands	cvsexportcommit	-w	<cvs checkout>	HEAD in Git repo with fake CVS checkout	text-only commit adding, deleting and modifying files	local	all	git cvsexportcommit -w <cvs checkout> HEAD	closed	git_foreign_scm_compat::cvsexportcommit_exports_text_commit_to_cvs_checkout	stock Git helper parity now runs through the bundled exec-path helper, and patch apply, add/rm invocations, message export, stdout, stderr, exit status, and CVS checkout side effects all match on the modeled fake-CVS lane
